t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb
0.0,12.5,100.0,0.0,0,0.0,8.2,7.4,10.0,690.1
1.0,13.2,30.0,8.0,0,229.0,289.8,7.5,,
2.0,3.9,36.7,0.0,0,66.0,891.9,7.8,,
3.0,4.4,68.7,0.0,2,70.0,1035.4,7.9,,
4.0,10.8,38.8,5.1,2,241.0,1848.4,8.2,,
5.0,4.8,69.7,0.0,2,100.0,1966.2,8.3,,
6.0,25.8,40.0,17.0,14,4.0,3354.7,9.0,,
7.0,39.6,86.0,25.3,14,862.0,5889.7,10.3,,
8.0,45.8,87.3,23.8,14,1021.2,8911.1,11.9,,
9.0,51.0,100.0,18.2,14,1166.4,12005.5,13.7,,
10.0,59.7,96.0,23.5,14,1355.4,15961.8,16.1,,
11.0,63.3,100.0,2.0,14,1485.3,17811.0,17.4,,
12.0,63.6,100.0,2.0,14,1506.0,19869.6,18.9,,
13.0,70.5,100.0,2.0,14,1683.2,20680.3,19.6,,
14.0,80.8,100.0,27.3,14,1927.0,21701.3,20.4,,
15.0,83.6,100.0,18.0,14,1991.1,22412.2,21.0,,
16.0,93.0,100.0,47.0,14,2181.1,22797.4,21.3,,
17.0,88.0,100.0,28.3,14,2088.0,23158.1,21.5,,
18.0,88.4,100.0,32.3,14,2081.9,23174.6,21.5,,
19.0,92.5,100.0,46.0,14,2189.9,23225.9,21.5,,
20.0,93.3,100.0,24.0,14,2229.6,23356.1,21.7,100.0,10487.4
21.01,91.4,100.0,38.6,14,2173.0,23373.3,21.6,,
22.01,93.8,100.0,43.0,14,2221.7,23382.5,21.6,,
23.01,95.5,100.0,62.0,14,2281.4,23398.4,21.6,,
24.01,96.9,100.0,80.2,14,2244.7,23402.9,21.6,,
25.01,95.1,100.0,62.2,14,2239.4,23403.6,21.6,,
26.01,96.3,100.0,69.6,14,2255.0,23404.2,21.6,,
27.01,92.1,100.0,42.9,14,2178.3,23404.4,21.6,,
28.01,94.9,100.0,73.5,14,2242.0,23404.4,21.5,,
29.01,96.0,100.0,50.5,14,2285.0,23404.8,21.6,,
30.01,98.2,100.0,85.0,14,2275.1,23405.3,21.5,,
31.01,94.7,100.0,75.2,14,2256.0,23406.1,21.5,,
32.01,94.4,100.0,45.5,14,2250.7,23406.3,21.5,,
33.01,95.4,100.0,61.4,14,2278.5,23406.5,21.5,,
34.01,93.8,100.0,55.0,14,2240.4,23406.5,21.5,,
35.01,96.6,100.0,77.8,14,2300.6,23406.6,21.4,,
36.02,91.2,100.0,50.0,14,2131.6,23406.8,21.4,,
37.02,95.8,100.0,77.8,14,2233.9,23407.0,21.4,,
38.02,93.9,100.0,62.0,14,2224.9,23407.4,21.4,,
39.02,93.6,100.0,46.5,14,2233.5,23407.4,21.4,,
40.02,96.1,100.0,44.4,14,2297.4,23407.6,21.3,100.0,10556.7
41.02,96.4,100.0,66.7,14,2290.2,23407.6,21.3,,
42.02,95.8,100.0,75.8,14,2280.9,23407.8,21.3,,
43.02,94.3,100.0,58.0,14,2187.3,23407.8,21.3,,
44.02,94.1,100.0,68.0,14,2249.2,23408.0,21.3,,
45.02,95.1,100.0,61.0,14,2270.6,23408.5,21.3,,
46.02,96.7,100.0,65.0,14,2310.3,23408.5,21.3,,
47.02,98.7,100.0,93.1,14,2274.0,23408.7,21.3,,
48.02,93.8,100.0,76.5,14,2171.8,23408.7,21.3,,
49.02,94.1,100.0,44.4,14,2245.3,23408.7,21.3,,
50.02,96.2,100.0,84.8,14,2304.6,23408.7,21.3,,
51.02,96.7,100.0,43.4,14,2295.1,23408.7,21.3,,
52.03,94.4,100.0,43.0,14,2252.3,23408.9,21.3,,
53.03,93.6,100.0,68.0,14,2226.1,23408.9,21.3,,
54.03,97.2,100.0,67.0,14,2317.4,23408.9,21.3,,
55.03,91.0,100.0,50.0,14,2176.4,23408.9,21.3,,
56.03,97.7,100.0,82.0,14,2223.4,23409.3,21.3,,
57.03,98.3,100.0,76.0,14,2338.3,23409.3,21.3,,
58.03,93.7,100.0,36.4,14,2238.2,23409.3,21.3,,
59.03,96.0,100.0,16.0,14,2291.0,23409.3,21.3,,
60.03,95.6,100.0,65.0,14,2283.6,23409.3,21.3,100.0,10660.6
61.03,97.1,100.0,68.0,14,2299.6,23409.3,21.3,,
62.03,95.1,100.0,59.0,14,2273.2,23409.3,21.3,,
63.03,94.4,100.0,26.5,14,2256.0,23409.6,21.3,,
64.05,94.9,100.0,70.9,14,2249.3,23409.6,21.3,,
65.05,94.8,100.0,38.0,14,2264.1,23409.6,21.3,,
66.05,96.2,100.0,47.0,14,2294.6,23409.8,21.3,,
67.05,97.5,100.0,71.7,14,2327.6,23409.8,21.3,,
68.05,92.4,100.0,29.7,14,2203.0,23409.8,21.3,,
69.05,93.9,100.0,64.6,14,2237.7,23409.8,21.3,,
70.05,93.0,100.0,47.5,14,2218.1,23409.8,21.3,,
71.05,96.0,100.0,45.0,14,2289.8,23409.8,21.3,,
72.05,97.4,100.0,67.3,14,2326.1,23409.8,21.3,,
73.05,94.8,100.0,62.0,14,2262.0,23409.8,21.3,,
74.05,96.7,100.0,63.6,14,2314.4,23410.0,21.3,,
75.05,95.5,100.0,49.5,14,2281.4,23410.0,21.3,,
76.05,94.3,100.0,34.0,14,2242.6,23410.2,21.3,,
77.05,93.1,100.0,51.0,14,2201.0,23410.2,21.3,,
78.06,96.3,100.0,77.0,14,2297.6,23410.2,21.3,,
79.06,94.9,100.0,70.0,14,2270.1,23410.2,21.3,,
