t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,4.2,100.0,0.0,0,0.0,7.5,3.8,2.0,485.7,1.0,5.0
1.0,9.9,32.0,7.1,0,235.9,616.6,4.2,,,,
2.0,3.1,44.4,0.0,0,68.0,920.2,4.4,,,,
3.0,12.4,63.3,8.0,2,7.0,1868.9,4.9,,,,
4.0,12.2,63.0,4.0,3,8.0,2795.6,5.5,,,,
5.0,3.1,52.0,0.0,3,68.0,3059.9,5.6,,,,
6.0,3.5,77.0,0.0,3,76.0,3453.0,5.9,,,,
7.0,4.9,54.5,0.0,3,113.0,3672.2,6.1,,,,
8.0,5.6,73.0,0.0,3,125.9,1878.5,5.3,,,,
9.0,11.9,83.0,5.0,3,0.0,2795.2,5.8,,,,
10.0,4.4,99.0,0.0,3,100.0,3293.6,6.1,,,,
11.0,5.6,49.5,0.0,3,130.5,3608.4,6.3,,,,
12.0,6.6,56.0,0.0,3,155.4,3654.2,6.3,,,,
13.0,1.6,18.2,0.0,3,35.0,1878.5,5.1,,,,
14.0,11.8,80.2,5.1,3,0.0,2794.5,5.6,,,,
15.0,4.7,100.0,0.0,3,99.0,3278.4,5.9,,,,
16.0,4.5,98.0,0.0,3,103.0,3623.8,6.1,,,,
17.0,4.1,61.0,0.0,3,94.0,1878.5,5.2,,,,
18.0,12.3,81.2,8.0,3,0.0,2792.6,5.7,,,,
19.0,4.3,97.0,0.0,3,100.0,3294.0,6.0,,,,
20.0,5.2,99.0,0.0,3,119.0,3634.3,6.3,93.0,1159.1,6.0,57.0
21.0,5.8,88.9,0.0,3,133.0,3443.1,6.1,,,,
22.0,11.8,53.0,7.1,3,0.0,2794.8,5.5,,,,
23.0,4.3,96.0,0.0,3,100.0,3305.0,5.8,,,,
24.0,5.2,100.0,0.0,3,124.0,3607.1,6.1,,,,
25.0,7.5,96.0,0.0,3,174.0,3653.5,6.1,,,,
26.0,3.3,63.0,0.0,3,75.0,1878.5,5.2,,,,
27.0,12.1,84.2,8.0,3,0.0,2796.6,5.8,,,,
28.0,4.4,98.0,0.0,3,100.0,3290.1,6.1,,,,
29.0,4.5,78.0,0.0,3,103.0,3622.9,6.3,,,,
30.0,4.1,66.0,0.0,3,93.0,1878.5,5.2,,,,
31.0,11.9,85.1,8.0,3,0.0,2796.4,5.7,,,,
32.0,4.5,100.0,0.0,3,99.0,3290.3,6.0,,,,
33.0,5.0,98.0,0.0,3,113.0,3631.4,6.3,,,,
34.01,5.0,77.6,0.0,3,115.0,1878.5,5.4,,,,
35.01,11.8,54.9,8.0,3,1.0,2796.0,5.5,,,,
36.01,4.3,99.0,0.0,3,99.0,3276.9,5.8,,,,
