t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,4.2,100.0,0.0,0,0.0,7.0,3.8,1.0,518.4,0.0,15.0
1.0,12.3,74.0,8.0,0,292.9,936.0,4.4,,,,
2.0,12.5,93.9,8.0,2,3.0,1883.8,4.9,,,,
3.0,12.3,94.1,8.0,3,2.0,2811.5,5.5,,,,
4.0,4.2,98.0,0.0,3,99.0,3331.1,5.8,,,,
5.0,4.4,45.0,0.0,3,102.0,3899.4,6.4,,,,
6.0,6.5,47.5,0.0,3,150.8,3903.5,6.5,,,,
7.0,3.2,57.0,0.0,3,70.1,1885.6,5.2,,,,
8.0,12.3,63.6,8.0,3,0.0,2811.1,5.8,,,,
9.0,4.4,98.0,0.0,3,100.0,3371.8,6.1,,,,
10.0,4.6,60.0,0.0,3,104.0,3874.7,6.5,,,,
11.0,6.8,69.0,0.0,3,157.0,3921.9,6.5,,,,
12.0,2.7,47.5,0.0,3,62.0,1885.6,5.2,,,,
13.0,12.2,63.0,8.0,3,0.0,2810.7,5.5,,,,
14.0,4.3,99.0,0.0,3,99.0,3350.8,5.8,,,,
15.0,4.4,100.0,0.0,3,102.0,3850.2,6.5,,,,
16.0,4.7,91.0,0.0,3,110.0,3898.6,6.5,,,,
17.0,1.8,37.0,0.0,3,38.0,1885.6,5.3,,,,
18.0,12.2,92.9,8.0,3,0.0,2810.7,5.7,,,,
19.0,4.3,99.0,0.0,3,99.0,3350.4,6.0,,,,
20.0,4.5,100.0,0.0,3,105.0,3860.9,6.7,23.0,1251.5,0.0,23.0
21.0,6.4,59.0,0.0,3,150.0,3902.7,6.7,,,,
22.0,2.1,48.0,0.0,3,48.0,1885.6,5.4,,,,
23.0,12.2,72.0,8.0,3,0.0,2811.5,5.8,,,,
24.0,4.4,99.0,0.0,3,99.0,3359.0,6.1,,,,
25.0,4.5,96.0,0.0,3,108.0,3817.7,6.7,,,,
26.0,6.8,62.4,0.0,3,157.9,3925.8,6.9,,,,
27.0,3.4,41.0,0.0,3,78.0,1885.6,5.8,,,,
28.0,12.3,58.4,8.0,3,1.0,2810.3,6.0,,,,
29.0,4.2,99.0,0.0,3,100.0,3339.9,6.1,,,,
30.0,4.3,100.0,0.0,3,102.0,3850.5,6.7,,,,
31.0,5.1,55.6,0.0,3,111.0,3898.5,6.7,,,,
32.01,1.8,39.0,0.0,3,39.0,1885.6,5.4,,,,
33.01,12.2,59.0,8.0,3,0.0,2809.7,5.8,,,,
34.01,4.4,100.0,0.0,3,99.0,3332.3,6.0,,,,
35.01,4.4,100.0,0.0,3,106.0,3902.5,6.5,,,,
36.01,5.9,71.0,0.0,3,135.0,3899.9,6.5,,,,
37.01,2.0,46.0,0.0,3,47.0,1885.6,5.3,,,,
38.01,12.2,93.0,8.0,3,0.0,2810.2,5.8,,,,
39.01,4.2,97.0,0.0,3,100.0,3350.7,6.1,,,,
40.01,4.5,100.0,0.0,3,103.0,3889.3,6.7,27.0,1233.4,0.0,25.0
41.01,5.9,74.3,0.0,3,132.0,3902.0,6.7,,,,
42.01,2.4,51.5,0.0,3,52.0,1885.6,5.5,,,,
43.01,12.2,96.0,8.0,3,0.0,2810.4,5.9,,,,
44.01,4.3,99.0,0.0,3,99.0,3347.5,6.2,,,,
45.01,5.0,100.0,0.0,3,111.0,3817.8,6.7,,,,
46.01,6.8,99.0,0.0,3,162.7,3927.1,6.8,,,,
47.01,3.9,49.5,0.0,3,89.1,1885.6,5.4,,,,
48.01,12.2,60.2,8.0,3,0.0,2809.9,5.8,,,,
49.01,4.2,69.3,0.0,3,100.0,3343.7,6.1,,,,
50.01,4.5,59.6,0.0,3,104.0,3858.2,6.7,,,,
51.01,6.2,63.0,0.0,3,145.9,3901.5,6.7,,,,
52.01,2.4,50.5,0.0,3,54.0,1885.6,5.6,,,,
53.01,0.2,2.0,0.0,2,0.0,1885.6,5.6,,,,
54.01,12.3,59.6,8.0,2,0.0,1839.6,5.2,,,,
55.01,41.3,70.0,17.0,12,1835.9,10087.8,9.8,,,,
56.01,46.8,100.0,0.0,12,1113.0,12514.4,11.2,,,,
57.01,44.4,100.0,0.0,12,1055.0,15141.1,13.0,,,,
58.01,55.8,100.0,0.0,12,1323.4,18354.3,16.1,,,,
59.01,59.7,100.0,1.0,12,1425.0,20199.5,18.2,,,,
