t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,0.0,0.0,0.0,0,0.0,7.3,3.8,70.0,510.4,2.0,75.0
1.0,12.5,94.9,8.0,0,292.9,928.4,4.4,,,,
2.0,12.4,63.6,8.0,2,4.0,1882.5,4.9,,,,
3.0,12.5,95.0,8.0,3,6.0,2808.3,5.5,,,,
4.0,4.0,94.0,0.0,3,94.0,3120.5,5.6,,,,
5.0,4.1,90.0,0.0,3,96.0,3160.7,5.7,,,,
6.0,4.4,91.9,0.0,3,100.0,3174.0,5.7,,,,
7.0,4.3,60.0,0.0,3,100.0,3185.3,5.7,,,,
8.0,4.2,99.0,0.0,3,99.0,3196.7,5.7,,,,
9.0,4.4,56.4,0.0,3,99.0,3207.7,5.7,,,,
10.0,4.2,94.0,0.0,3,100.0,3219.7,5.7,,,,
11.0,4.2,94.0,0.0,3,98.0,3234.9,5.7,,,,
12.0,4.3,100.0,0.0,3,101.0,3247.5,5.8,,,,
13.0,4.3,100.0,0.0,3,99.0,3262.1,5.8,,,,
14.0,4.2,100.0,0.0,3,101.0,3275.8,5.8,,,,
15.0,4.3,100.0,0.0,3,100.0,3288.0,5.8,,,,
16.0,4.2,100.0,0.0,3,100.0,3302.0,5.8,,,,
17.0,4.3,100.0,0.0,3,100.0,3316.6,5.8,,,,
18.0,4.5,84.0,0.0,3,100.0,3328.5,5.8,,,,
19.0,4.3,54.0,0.0,3,99.0,3342.0,5.8,,,,
20.0,4.3,53.5,0.0,3,100.0,3355.3,5.9,4.0,723.2,0.0,17.0
21.0,4.3,52.0,0.0,3,100.0,3368.2,5.9,,,,
22.0,4.3,57.0,0.0,3,99.0,3381.2,5.9,,,,
23.0,4.2,100.0,0.0,3,100.0,3391.5,5.9,,,,
24.0,4.4,94.0,0.0,3,100.0,3403.3,5.9,,,,
25.0,4.2,100.0,0.0,3,100.0,3417.0,5.9,,,,
26.0,4.2,100.0,0.0,3,99.0,3429.0,5.9,,,,
27.0,4.4,100.0,0.0,3,100.0,3441.4,6.0,,,,
28.0,4.3,100.0,0.0,3,100.0,3451.3,6.0,,,,
29.0,4.2,100.0,0.0,3,100.0,3461.6,6.0,,,,
30.0,4.3,53.0,0.0,3,100.0,3472.9,6.0,,,,
31.0,4.3,65.0,0.0,3,99.0,3486.7,6.0,,,,
32.0,4.3,54.5,0.0,3,100.0,3500.8,6.0,,,,
33.0,4.3,100.0,0.0,3,101.0,3514.7,6.0,,,,
34.0,4.3,100.0,0.0,3,99.0,3528.7,6.0,,,,
35.0,4.2,100.0,0.0,3,101.0,3545.2,6.1,,,,
36.0,4.5,100.0,0.0,3,99.0,3553.9,6.1,,,,
37.01,4.3,100.0,0.0,3,100.0,3567.9,6.1,,,,
38.01,4.2,100.0,0.0,3,100.0,3581.6,6.1,,,,
39.01,4.3,100.0,0.0,3,100.0,3595.3,6.1,,,,
40.01,4.3,100.0,0.0,3,100.0,3609.2,6.1,3.0,723.2,0.0,17.0
41.01,4.3,100.0,0.0,3,100.0,3621.9,6.1,,,,
42.01,4.4,100.0,0.0,3,99.0,3635.0,6.2,,,,
43.01,4.3,99.0,0.0,3,101.0,3648.7,6.2,,,,
44.01,4.3,52.0,0.0,3,100.0,3662.2,6.2,,,,
45.01,4.2,100.0,0.0,3,99.0,3669.4,6.2,,,,
46.01,4.4,90.0,0.0,3,100.0,3682.3,6.2,,,,
47.01,4.3,100.0,0.0,3,100.0,3694.7,6.2,,,,
48.01,4.2,100.0,0.0,3,100.0,3707.4,6.2,,,,
49.01,4.4,82.0,0.0,3,100.0,3717.4,6.2,,,,
50.01,4.4,50.0,0.0,3,99.0,3728.2,6.3,,,,
51.01,4.2,92.0,0.0,3,101.0,3745.1,6.3,,,,
52.01,4.3,100.0,0.0,3,99.0,3756.4,6.3,,,,
53.01,4.3,100.0,0.0,3,100.0,3770.4,6.3,,,,
54.01,4.3,100.0,0.0,3,101.0,3785.0,6.3,,,,
55.01,4.3,100.0,0.0,3,100.0,3800.6,6.3,,,,
56.01,4.5,100.0,0.0,3,100.0,3809.6,6.3,,,,
57.01,4.3,100.0,0.0,3,100.0,3822.5,6.4,,,,
58.01,4.2,100.0,0.0,3,100.0,3837.0,6.4,,,,
59.01,4.3,100.0,0.0,3,100.0,3850.5,6.4,,,,
60.01,4.2,100.0,0.0,3,100.0,3864.7,6.4,3.0,723.2,0.0,17.0
61.01,4.4,68.3,0.0,3,99.8,3879.0,6.4,,,,
62.01,4.3,100.0,0.0,3,100.2,3891.4,6.4,,,,
63.01,4.2,100.0,0.0,3,99.0,3904.3,6.4,,,,
64.01,4.3,100.0,0.0,3,101.0,3917.2,6.4,,,,
65.01,4.3,100.0,0.0,3,99.0,3929.0,6.5,,,,
66.01,4.5,82.0,0.0,3,100.0,3944.6,6.5,,,,
67.01,4.2,100.0,0.0,3,101.0,3955.9,6.5,,,,
68.01,4.2,100.0,0.0,3,99.0,3966.2,6.5,,,,
69.01,4.2,85.0,0.0,3,100.0,3976.9,6.5,,,,
70.01,4.3,100.0,0.0,3,100.0,3982.9,6.5,,,,
71.01,4.3,63.0,0.0,3,99.0,3993.7,6.5,,,,
72.01,4.3,100.0,0.0,3,100.0,4006.3,6.5,,,,
73.01,4.4,71.7,0.0,3,100.0,4021.5,6.6,,,,
74.01,4.2,100.0,0.0,3,100.0,4034.2,6.6,,,,
75.01,4.3,100.0,0.0,3,100.0,4048.5,6.6,,,,
76.01,4.3,95.0,0.0,3,100.0,4062.2,6.6,,,,
77.01,4.3,100.0,0.0,3,100.0,4076.2,6.6,,,,
78.01,4.2,100.0,0.0,3,100.0,4090.3,6.6,,,,
79.01,4.3,100.0,0.0,3,101.0,4103.8,6.6,,,,
80.01,4.3,57.6,0.0,3,100.0,4117.3,6.7,3.0,723.2,0.0,17.0
81.01,4.3,100.0,0.0,3,99.0,4130.6,6.7,,,,
82.01,4.2,100.0,0.0,3,101.0,4146.7,6.7,,,,
83.01,4.4,100.0,0.0,3,99.0,4157.6,6.7,,,,
84.01,4.3,100.0,0.0,3,101.0,4170.7,6.7,,,,
85.01,4.3,100.0,0.0,3,99.0,4182.7,6.7,,,,
86.01,4.3,100.0,0.0,3,100.0,4197.5,6.8,,,,
87.01,4.3,100.0,0.0,3,100.0,4203.0,6.8,,,,
88.01,4.3,100.0,0.0,3,100.0,4213.7,6.8,,,,
89.01,4.2,100.0,0.0,3,99.0,4224.9,6.8,,,,
90.01,4.3,98.0,0.0,3,99.0,4405.1,7.0,,,,
91.01,4.4,53.0,0.0,3,99.0,4405.3,7.0,,,,
92.01,4.4,54.0,0.0,3,99.0,4405.3,7.0,,,,
93.01,4.3,59.4,0.0,3,99.0,4405.3,7.0,,,,
94.01,4.3,48.5,0.0,3,99.9,4406.0,7.0,,,,
95.01,4.4,48.5,0.0,3,99.0,4406.0,7.0,,,,
96.01,4.3,92.0,0.0,3,98.0,4406.0,7.0,,,,
97.01,4.4,72.0,0.0,3,99.0,4408.3,7.0,,,,
98.01,4.3,67.0,0.0,3,100.0,4410.3,7.0,,,,
99.01,4.2,61.0,0.0,3,98.0,4412.4,7.0,,,,
100.01,4.3,35.0,0.0,3,100.0,4414.8,7.0,3.0,723.2,0.0,17.0
101.01,4.4,43.6,0.0,3,99.0,4416.3,7.0,,,,
102.01,4.2,71.3,0.0,3,99.0,4418.8,7.0,,,,
103.01,4.3,64.0,0.0,3,97.8,4420.9,7.0,,,,
104.01,4.2,97.0,0.0,3,99.1,4421.1,7.1,,,,
105.01,4.2,100.0,0.0,3,100.0,4421.1,7.0,,,,
106.01,4.4,90.0,0.0,3,100.0,4421.1,7.0,,,,
107.02,4.2,100.0,0.0,3,101.0,4428.1,7.1,,,,
108.02,4.3,81.0,0.0,3,99.0,4435.9,7.1,,,,
109.02,4.3,100.0,0.0,3,100.0,4443.8,7.1,,,,
110.02,4.3,100.0,0.0,3,100.0,4451.7,7.1,,,,
111.02,4.2,89.9,0.0,3,102.0,4458.8,7.1,,,,
112.02,4.4,100.0,0.0,3,100.0,4466.5,7.1,,,,
113.02,4.3,100.0,0.0,3,99.0,4474.6,7.1,,,,
114.02,4.2,100.0,0.0,3,100.0,4482.8,7.1,,,,
115.02,4.3,100.0,0.0,3,101.0,4491.1,7.1,,,,
116.02,4.4,89.1,0.0,3,99.0,4498.4,7.1,,,,
117.02,4.2,100.0,0.0,3,100.0,4505.9,7.1,,,,
118.02,4.3,80.0,0.0,3,100.0,4514.3,7.2,,,,
119.02,4.2,100.0,0.0,3,100.0,4522.4,7.2,,,,
120.02,4.2,100.0,0.0,3,100.0,4530.6,7.2,3.0,723.2,0.0,17.0
121.02,4.4,89.9,0.0,3,101.0,4538.3,7.2,,,,
122.02,4.3,100.0,0.0,3,99.0,4546.0,7.2,,,,
123.02,4.3,100.0,0.0,3,100.0,4554.4,7.2,,,,
124.02,4.2,100.0,0.0,3,100.0,4563.1,7.2,,,,
125.02,4.3,100.0,0.0,3,100.0,4571.7,7.2,,,,
126.02,4.3,100.0,0.0,3,101.0,4576.0,7.2,,,,
127.02,4.2,100.0,0.0,3,99.0,4631.0,7.2,,,,
128.02,4.3,82.2,0.0,3,100.0,4636.1,7.3,,,,
129.02,4.3,100.0,0.0,3,100.0,4641.2,7.3,,,,
130.02,4.2,100.0,0.0,3,101.0,4647.7,7.3,,,,
131.02,4.3,100.0,0.0,3,99.0,4653.3,7.3,,,,
132.02,4.3,100.0,0.0,3,100.0,4658.9,7.3,,,,
133.02,4.3,100.0,0.0,3,100.0,4664.5,7.3,,,,
134.02,4.3,100.0,0.0,3,101.0,4669.8,7.3,,,,
135.02,4.4,100.0,0.0,3,99.0,4675.2,7.3,,,,
136.02,4.3,100.0,0.0,3,100.0,4680.7,7.3,,,,
137.02,4.3,100.0,0.0,3,100.0,4685.9,7.3,,,,
138.02,4.3,98.0,0.0,3,101.0,4691.5,7.3,,,,
139.02,4.3,100.0,0.0,3,99.0,4697.0,7.3,,,,
140.02,4.3,100.0,0.0,3,100.0,4702.6,7.3,3.0,723.2,0.0,17.0
141.02,4.3,89.1,0.0,3,100.0,4708.2,7.3,,,,
142.02,4.4,100.0,0.0,3,101.0,4713.5,7.3,,,,
143.02,4.3,85.0,0.0,3,99.0,4718.9,7.3,,,,
144.02,4.3,100.0,0.0,3,100.0,4724.5,7.3,,,,
145.02,4.3,100.0,0.0,3,100.0,4729.8,7.3,,,,
146.02,4.3,100.0,0.0,3,101.0,4735.0,7.3,,,,
147.02,4.3,100.0,0.0,3,99.0,4740.5,7.3,,,,
148.02,4.3,100.0,0.0,3,100.0,4746.1,7.3,,,,
149.02,4.3,100.0,0.0,3,101.0,4751.7,7.3,,,,
150.02,4.3,100.0,0.0,3,99.0,4757.2,7.4,,,,
151.02,4.4,76.0,0.0,3,100.0,4762.6,7.4,,,,
152.02,4.4,100.0,0.0,3,100.0,4767.9,7.4,,,,
153.02,4.3,100.0,0.0,3,100.0,4773.3,7.4,,,,
154.02,4.3,100.0,0.0,3,100.0,4778.5,7.4,,,,
155.02,4.2,100.0,0.0,3,100.0,4784.0,7.4,,,,
156.02,4.3,100.0,0.0,3,101.0,4789.4,7.4,,,,
157.02,4.2,68.0,0.0,3,99.0,4795.0,7.4,,,,
158.02,4.3,80.8,0.0,3,100.0,4800.5,7.4,,,,
159.02,4.3,100.0,0.0,3,100.0,4806.1,7.4,,,,
160.02,4.2,100.0,0.0,3,100.0,4811.5,7.4,3.0,723.2,0.0,17.0
161.02,4.4,90.0,0.0,3,100.0,4811.1,7.4,,,,
162.02,4.3,100.0,0.0,3,100.0,4811.1,7.4,,,,
163.02,4.3,100.0,0.0,3,100.0,4811.1,7.4,,,,
164.02,4.3,100.0,0.0,3,99.9,4811.1,7.4,,,,
165.02,4.2,99.0,0.0,3,99.0,4862.1,7.5,,,,
166.02,4.4,100.0,0.0,3,100.0,4862.1,7.5,,,,
167.02,4.3,100.0,0.0,3,99.0,4871.4,7.5,,,,
168.02,4.3,100.0,0.0,3,101.0,4871.4,7.5,,,,
