t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,0.0,0.0,0.0,0,0.0,7.6,3.9,4.0,514.4,0.0,17.0
1.0,12.4,73.3,8.0,0,292.9,927.6,4.5,,,,
2.0,12.4,58.6,8.0,2,5.0,1882.3,5.0,,,,
3.0,12.2,59.6,8.0,3,5.0,2809.5,5.6,,,,
4.0,4.3,100.0,0.0,3,100.0,3337.9,5.9,,,,
5.0,4.5,73.0,0.0,3,104.0,3635.6,6.2,,,,
6.0,4.0,49.0,0.0,3,93.9,1886.2,5.3,,,,
7.0,12.2,90.0,8.0,3,1.0,2809.5,5.7,,,,
8.0,4.4,78.0,0.0,3,101.0,3354.4,6.0,,,,
9.0,5.0,100.0,0.0,3,119.0,3661.0,6.2,,,,
10.0,5.5,93.9,0.0,3,128.9,1886.2,5.4,,,,
11.0,12.1,67.7,8.0,3,0.0,2808.0,5.8,,,,
12.0,4.3,99.0,0.0,3,99.0,3318.7,6.1,,,,
13.0,4.3,50.0,0.0,3,104.0,3633.9,6.4,,,,
14.0,3.3,42.0,0.0,3,75.0,1886.2,5.6,,,,
15.0,12.1,60.0,8.0,3,0.0,2807.5,6.0,,,,
16.0,4.4,99.0,0.0,3,99.0,3318.3,6.4,,,,
17.0,4.5,99.0,0.0,3,103.0,3636.7,6.6,,,,
18.0,4.1,55.6,0.0,3,95.0,1886.2,5.8,,,,
19.0,12.0,55.4,8.0,3,0.0,2807.2,6.0,,,,
20.0,4.2,99.0,0.0,3,100.0,3316.2,6.1,24.0,903.3,0.0,31.0
21.0,5.6,83.2,0.0,3,132.0,3661.3,6.4,,,,
22.0,6.3,56.0,0.0,3,144.0,3664.2,6.3,,,,
23.0,1.1,24.0,0.0,3,24.0,1886.2,5.4,,,,
24.0,12.0,55.6,8.0,3,3655.7,2805.7,5.7,,,,
25.0,4.2,99.0,0.0,3,99.0,3299.8,5.9,,,,
26.0,4.4,78.2,0.0,3,101.0,3632.8,6.2,,,,
27.0,3.5,65.0,0.0,3,80.0,1886.2,5.4,,,,
28.0,12.2,58.6,8.0,3,1.0,2806.2,5.8,,,,
29.0,4.2,98.0,0.0,3,99.0,3299.9,6.1,,,,
30.0,4.4,76.0,0.0,3,103.0,3634.8,6.4,,,,
31.0,3.8,62.0,0.0,3,85.0,1886.2,5.6,,,,
32.0,12.0,89.9,8.0,3,0.0,2807.6,5.9,,,,
33.0,4.3,72.0,0.0,3,98.8,3300.4,6.1,,,,
34.0,4.4,52.0,0.0,3,103.2,3636.9,6.4,,,,
35.0,3.9,51.5,0.0,3,95.0,1886.2,5.2,,,,
36.0,12.2,58.0,8.0,3,0.0,2805.2,5.6,,,,
37.0,4.3,100.0,0.0,3,100.0,3315.9,5.9,,,,
38.0,5.6,100.0,0.0,3,129.0,3617.8,6.2,,,,
39.0,6.9,84.2,0.0,3,162.9,3663.9,6.2,,,,
40.01,1.9,44.4,0.0,3,45.0,1886.2,5.1,32.0,500.7,1.0,38.0
41.01,12.0,66.0,8.0,3,0.0,2805.8,5.6,,,,
42.01,4.3,99.0,0.0,3,100.0,3300.3,5.9,,,,
43.01,4.5,99.0,0.0,3,103.0,3636.3,6.2,,,,
44.01,3.9,45.5,0.0,3,92.0,1886.2,5.5,,,,
45.01,0.2,2.0,0.0,2,0.0,1886.2,5.5,,,,
46.01,12.3,40.8,8.0,2,1.0,1837.1,5.1,,,,
47.01,40.6,68.3,19.0,12,32.9,9776.4,9.5,,,,
48.01,47.1,100.0,0.0,12,1127.0,12437.6,11.3,,,,
49.01,44.6,100.0,0.0,12,1066.0,15013.3,12.9,,,,
50.01,58.5,100.0,0.0,12,1399.1,17725.5,15.1,,,,
51.01,69.8,100.0,0.0,12,1667.5,18549.1,15.9,,,,
