t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,4.2,100.0,0.0,0,0.0,8.2,3.6,70.0,514.4,1.0,46.0
1.0,12.3,98.0,8.0,0,291.9,936.8,4.1,,,,
2.0,12.5,64.0,8.0,2,3.0,1883.7,4.7,,,,
3.0,49.7,97.0,15.0,12,2.0,10645.2,9.7,,,,
4.0,49.9,100.0,0.0,12,1185.0,12746.2,11.0,,,,
5.0,42.6,100.0,0.0,12,1022.0,16517.7,13.7,,,,
6.0,73.9,100.0,0.0,12,1770.0,17430.1,14.5,,,,
7.0,59.5,100.0,1.0,12,1427.0,18852.2,15.7,,,,
8.0,64.1,100.0,10.0,12,1531.6,19328.0,16.2,,,,
9.0,77.7,100.0,1.0,12,1858.0,19363.6,16.2,,,,
10.0,82.0,100.0,26.0,12,1969.0,19524.6,16.3,,,,
11.0,81.6,100.0,0.0,12,1956.0,19527.3,16.3,,,,
12.0,81.8,100.0,0.0,12,1958.0,19548.6,16.3,,,,
13.0,80.9,100.0,0.0,12,1944.0,19552.0,16.3,,,,
14.0,82.4,100.0,0.0,12,1972.0,19552.4,16.3,,,,
15.0,81.6,100.0,0.0,12,1955.0,19553.0,16.3,,,,
16.0,81.2,100.0,1.0,12,1947.0,19553.5,16.3,,,,
17.0,80.9,100.0,0.0,12,1938.0,19554.6,16.4,,,,
18.0,81.9,100.0,25.0,12,1964.0,19555.4,16.4,,,,
19.0,82.0,100.0,6.1,12,1966.0,19555.8,16.4,,,,
20.0,81.7,100.0,2.0,12,1955.0,19556.1,16.4,84.0,8871.9,1.0,85.0
21.0,82.0,100.0,0.0,12,1963.0,19556.3,16.4,,,,
22.0,82.0,100.0,0.0,12,1961.0,19556.5,16.4,,,,
23.0,80.9,100.0,4.0,12,1942.0,19557.1,16.3,,,,
24.0,82.6,100.0,1.0,12,1979.0,19557.1,16.3,,,,
25.0,81.3,100.0,1.0,12,1946.0,19557.1,16.3,,,,
26.0,81.9,100.0,0.0,12,1964.0,19557.3,16.3,,,,
27.0,81.9,100.0,4.0,12,1959.0,19557.5,16.3,,,,
28.0,81.9,100.0,0.0,12,1961.0,19557.5,16.3,,,,
29.0,81.7,100.0,1.0,12,1961.4,19557.5,16.3,,,,
30.0,81.2,100.0,4.0,12,1944.4,19557.5,16.3,,,,
31.0,81.4,100.0,19.2,12,1953.0,19557.5,16.3,,,,
32.0,82.1,100.0,0.0,12,1963.0,19557.5,16.3,,,,
33.01,81.6,100.0,6.0,12,1955.1,19557.6,16.3,,,,
34.01,81.0,100.0,18.0,12,1940.0,19557.6,16.3,,,,
35.01,81.3,100.0,4.0,12,1953.0,19557.6,16.3,,,,
36.01,82.5,100.0,1.0,12,1973.0,19557.8,16.3,,,,
