t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,4.2,100.0,0.0,0,0.0,7.4,4.1,15.0,514.4,1.0,22.0
1.0,12.5,98.0,8.0,0,291.9,929.6,4.6,,,,
2.0,12.4,69.7,8.0,2,5.0,1880.9,5.2,,,,
3.0,12.6,95.0,8.0,3,4803.0,2807.4,5.7,,,,
4.0,4.2,97.0,0.0,3,98.0,3315.3,6.1,,,,
5.0,4.5,68.4,0.0,3,101.0,3862.7,6.6,,,,
6.0,6.2,96.0,0.0,3,145.0,3905.8,6.7,,,,
7.0,3.5,59.0,0.0,3,78.0,1886.0,5.4,,,,
8.0,12.1,63.6,8.0,3,0.0,2805.9,5.7,,,,
9.0,4.3,71.0,0.0,3,100.0,3331.2,6.1,,,,
10.0,4.6,60.0,0.0,3,106.0,3863.4,6.7,,,,
11.0,6.6,94.1,0.0,3,153.0,3926.8,6.7,,,,
12.0,3.5,51.5,0.0,3,76.0,1886.0,5.6,,,,
13.0,12.0,87.0,5.0,3,0.0,2804.3,6.1,,,,
14.0,4.3,99.0,0.0,3,99.0,3314.9,6.4,,,,
15.0,4.5,96.0,0.0,3,102.0,3793.0,7.0,,,,
16.0,4.9,69.0,0.0,3,112.0,3900.8,7.1,,,,
17.0,2.2,44.0,0.0,3,48.0,1886.0,5.5,,,,
18.0,12.4,91.0,8.0,3,0.0,2807.6,5.9,,,,
19.0,4.3,68.0,0.0,3,99.0,3315.6,6.2,,,,
20.0,4.4,62.0,0.0,3,104.0,3790.8,6.6,22.0,1203.8,1.0,26.0
21.0,6.4,75.0,0.0,3,146.8,3905.3,6.7,,,,
22.0,2.5,46.0,0.0,3,57.1,1886.0,5.6,,,,
23.0,12.2,69.7,8.0,3,0.0,2807.1,5.8,,,,
24.0,4.3,98.0,0.0,3,99.0,3331.7,6.2,,,,
25.0,4.8,43.4,0.0,3,108.0,3844.3,6.7,,,,
26.0,6.7,62.0,0.0,3,157.0,3929.3,6.8,,,,
27.0,3.8,55.6,0.0,3,86.0,1886.0,5.3,,,,
28.0,12.2,92.1,8.0,3,0.0,2807.5,5.7,,,,
29.0,4.2,87.0,0.0,3,100.0,3315.9,6.0,,,,
30.0,4.5,58.0,0.0,3,102.0,3881.2,6.7,,,,
31.0,4.8,59.6,0.0,3,113.0,3901.7,6.7,,,,
32.0,2.0,43.0,0.0,3,43.0,1886.0,5.6,,,,
