t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,0.0,0.0,0.0,0,0.0,7.6,4.0,34.0,542.0,2.0,42.0
1.0,12.6,61.0,5.0,0,287.9,925.4,4.5,,,,
2.0,12.4,54.5,8.0,2,8.0,1876.2,5.1,,,,
3.0,12.6,63.4,8.0,3,12.0,2801.9,5.7,,,,
4.0,4.6,99.0,0.0,3,99.0,3301.3,6.0,,,,
5.0,5.1,76.0,0.0,3,120.0,3642.3,6.3,,,,
6.0,5.9,71.7,0.0,3,132.0,3491.4,6.3,,,,
7.0,12.2,58.4,8.0,3,0.0,2801.9,5.9,,,,
8.0,4.3,99.0,0.0,3,100.0,3326.6,6.0,,,,
9.0,5.4,90.1,0.0,3,126.0,3618.1,6.3,,,,
10.0,6.8,100.0,0.0,3,157.0,3663.8,6.3,,,,
11.0,1.8,38.0,0.0,3,37.0,1886.0,5.5,,,,
12.0,12.2,67.0,8.0,3,0.0,2802.2,6.0,,,,
13.0,4.4,78.8,0.0,3,98.0,3299.3,6.3,,,,
14.0,4.4,75.8,0.0,3,103.0,3633.4,6.6,,,,
15.0,4.3,64.0,0.0,3,98.0,1886.0,5.3,,,,
16.0,12.1,81.0,8.0,3,0.0,2801.7,5.8,,,,
17.0,4.4,99.0,0.0,3,100.0,3302.5,6.0,,,,
18.0,5.4,100.0,0.0,3,121.0,3644.7,6.3,,,,
19.0,5.7,54.5,0.0,3,131.0,3492.1,6.2,,,,
20.0,12.5,91.0,6.1,3,0.0,2799.6,5.6,30.0,538.0,2.0,27.0
21.0,4.5,100.0,0.0,3,100.0,3315.0,6.0,,,,
22.0,5.3,82.0,0.0,3,122.0,3617.4,6.2,,,,
23.0,7.5,55.4,0.0,3,173.0,3663.5,6.3,,,,
24.0,3.7,59.6,0.0,3,85.0,1886.0,5.2,,,,
25.0,11.8,53.5,8.0,3,0.0,2802.1,5.7,,,,
26.0,4.5,98.0,0.0,3,99.0,3305.5,6.0,,,,
27.0,4.6,80.8,0.0,3,103.0,3633.6,6.2,,,,
28.0,4.2,61.4,0.0,3,96.9,1886.0,5.4,,,,
29.0,12.0,86.0,8.0,3,0.0,2802.0,5.9,,,,
30.0,4.4,99.0,0.0,3,99.0,3315.0,6.2,,,,
31.0,5.1,47.0,0.0,3,112.0,3640.4,6.5,,,,
32.0,5.6,71.4,0.0,3,120.9,1886.0,5.2,,,,
33.01,13.4,85.0,8.0,3,0.0,2779.7,5.6,,,,
34.01,7.3,56.0,0.0,3,99.0,3167.0,5.9,,,,
35.01,6.2,60.6,0.0,3,112.0,3600.7,6.2,,,,
36.01,5.9,87.1,0.0,3,130.0,3493.0,6.3,,,,
37.01,1.0,19.0,0.0,3,17.0,1886.0,5.5,,,,
38.01,12.0,75.0,8.0,3,0.0,2801.9,5.6,,,,
39.01,4.4,99.0,0.0,3,99.0,3315.2,6.0,,,,
40.01,4.9,100.0,0.0,3,115.0,3617.6,6.2,33.0,2149.6,2.0,33.0
41.01,7.3,95.0,0.0,3,174.0,3663.7,6.3,,,,
42.01,4.3,65.7,0.0,3,98.0,1886.0,5.4,,,,
43.01,11.9,50.5,8.0,3,1.0,2797.2,5.6,,,,
44.01,4.4,99.0,0.0,3,99.0,3265.3,5.9,,,,
45.01,4.8,99.0,0.0,3,114.0,3641.3,6.2,,,,
46.01,5.5,97.0,0.0,3,126.0,1886.0,6.1,,,,
47.01,0.3,3.0,0.0,2,0.0,1886.0,5.4,,,,
48.01,11.5,50.0,6.1,2,0.0,1826.1,5.0,,,,
49.01,15.1,58.0,9.0,4,40.0,3583.0,6.0,,,,
