t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,4.2,100.0,0.0,0,0.0,7.4,3.6,84.0,514.4,2.0,98.0
1.0,12.3,97.0,8.0,0,291.9,937.8,4.1,,,,
2.0,12.4,61.0,8.0,2,3.0,1883.2,4.7,,,,
3.0,12.3,65.0,8.0,3,3.0,2810.7,5.2,,,,
4.0,4.4,99.0,0.0,3,100.0,3360.4,5.6,,,,
5.0,4.3,61.0,0.0,3,103.0,3630.8,5.8,,,,
6.0,4.0,68.0,0.0,3,93.0,1885.1,4.9,,,,
7.0,12.2,95.0,8.0,3,0.0,2811.3,5.5,,,,
8.0,4.3,92.9,0.0,3,100.0,3363.8,5.8,,,,
9.0,5.0,57.0,0.0,3,119.0,3655.6,6.0,,,,
10.0,5.6,76.8,0.0,3,125.0,1885.1,5.2,,,,
11.0,12.1,89.0,8.0,3,0.0,2810.6,5.5,,,,
12.0,4.2,55.6,0.0,3,101.0,3338.3,5.9,,,,
13.0,4.3,74.3,0.0,3,101.0,3629.5,6.1,,,,
14.0,3.5,46.0,0.0,3,80.0,1885.1,4.8,,,,
15.0,12.4,61.6,8.0,3,0.0,2810.5,5.2,,,,
16.0,4.2,98.0,0.0,3,100.0,3343.2,5.6,,,,
17.0,4.4,100.0,0.0,3,105.0,3632.4,5.8,,,,
18.0,3.8,49.0,0.0,3,89.0,1885.1,4.8,,,,
19.0,12.1,94.9,8.0,3,0.0,2811.0,5.3,,,,
20.0,4.3,99.0,0.0,3,100.0,3359.5,5.7,25.0,983.2,0.0,31.0
21.0,5.5,95.0,0.0,3,131.0,3657.6,5.9,,,,
22.0,6.2,87.0,0.0,3,145.0,3622.2,5.9,,,,
23.0,1.0,21.2,0.0,3,22.0,1885.1,5.1,,,,
24.0,12.3,53.5,8.0,3,0.0,2809.3,5.5,,,,
25.0,4.3,72.3,0.0,3,98.9,3339.3,5.8,,,,
26.0,4.2,35.7,0.0,3,102.1,3629.7,6.0,,,,
27.0,3.3,55.6,0.0,3,76.0,1885.1,4.8,,,,
28.0,12.2,60.4,8.0,3,0.0,2808.8,5.3,,,,
29.0,4.3,99.0,0.0,3,99.0,3334.3,5.6,,,,
30.0,4.4,100.0,0.0,3,102.0,3630.5,5.9,,,,
31.0,3.7,47.0,0.0,3,84.0,1885.1,4.9,,,,
32.0,12.1,62.0,8.0,3,0.0,2809.8,5.3,,,,
33.01,4.4,100.0,0.0,3,100.0,3335.3,5.6,,,,
34.01,4.3,95.0,0.0,3,103.0,3633.0,5.9,,,,
35.01,3.9,58.6,0.0,3,91.0,1885.1,5.0,,,,
36.01,12.0,57.0,4.1,3,1.0,2807.5,5.4,,,,
37.01,4.3,90.0,0.0,3,101.0,3350.1,5.7,,,,
38.01,5.6,53.0,0.0,3,131.8,3613.7,5.9,,,,
39.01,6.8,69.7,0.0,3,161.1,3659.5,6.0,,,,
40.01,2.0,30.7,0.0,3,41.0,1885.1,5.0,33.0,514.5,1.0,38.0
41.01,12.0,56.6,8.0,3,0.0,2808.2,5.5,,,,
42.01,4.4,95.0,0.0,3,100.0,3334.4,5.8,,,,
43.01,4.4,100.0,0.0,3,103.0,3631.7,6.1,,,,
44.01,3.8,76.0,0.0,3,90.0,1885.1,5.2,,,,
45.01,0.1,1.0,0.0,2,0.0,1885.1,5.2,,,,
46.01,12.3,63.4,8.0,2,0.0,1839.6,4.9,,,,
47.01,15.2,91.1,8.0,4,5963.1,3624.9,5.8,,,,
48.01,8.4,99.0,0.0,4,197.0,4307.8,6.1,,,,
49.01,9.0,73.7,0.0,4,214.0,4435.1,6.2,,,,
50.01,8.3,98.0,0.0,4,197.6,4471.2,6.2,,,,
51.01,8.5,100.0,0.0,4,199.6,4497.0,6.2,,,,
52.01,8.4,68.7,0.0,4,197.2,4517.3,6.2,,,,
53.01,8.4,100.0,0.0,4,201.4,4541.3,6.3,,,,
54.01,8.5,100.0,0.0,4,198.0,4561.8,6.3,,,,
55.01,8.5,95.0,0.0,4,199.0,4590.2,6.3,,,,
56.01,8.5,98.0,0.0,4,199.0,4612.7,6.3,,,,
57.01,8.4,100.0,0.0,4,201.0,4640.9,6.4,,,,
58.01,8.4,100.0,0.0,4,200.0,4669.6,6.4,,,,
59.01,8.5,100.0,0.0,4,200.0,4692.9,6.4,,,,
60.01,8.4,69.3,0.0,4,200.0,4718.9,6.5,11.0,981.9,0.0,20.0
61.01,8.4,100.0,0.0,4,199.0,4746.7,6.5,,,,
62.01,8.4,100.0,0.0,4,201.0,4775.2,6.5,,,,
63.01,8.5,100.0,0.0,4,200.0,4798.2,6.6,,,,
64.01,8.4,100.0,0.0,4,199.0,4825.2,6.6,,,,
65.01,8.4,100.0,0.0,4,200.0,4851.7,6.6,,,,
66.01,8.4,69.0,0.0,4,200.0,4878.3,6.6,,,,
67.01,8.4,100.0,0.0,4,199.0,4903.1,6.6,,,,
68.01,8.4,100.0,0.0,4,200.0,4922.8,6.7,,,,
69.01,8.4,100.0,0.0,4,200.0,4947.5,6.7,,,,
70.01,8.5,95.0,0.0,4,199.0,4973.6,6.7,,,,
71.01,8.4,62.0,0.0,4,201.0,4996.8,6.7,,,,
72.01,8.4,100.0,0.0,4,199.0,5022.0,6.8,,,,
73.01,8.5,89.1,0.0,4,201.0,5043.3,6.8,,,,
74.01,8.5,81.0,0.0,4,199.0,5065.6,6.8,,,,
75.01,8.3,86.0,0.0,4,200.0,5087.2,6.8,,,,
76.01,8.5,100.0,0.0,4,199.0,5109.1,6.9,,,,
77.01,8.5,82.0,0.0,4,200.0,5135.4,6.9,,,,
78.01,8.4,96.0,0.0,4,199.0,5159.6,6.9,,,,
79.01,8.4,100.0,0.0,4,200.0,5187.3,7.0,,,,
80.01,8.5,100.0,0.0,4,200.0,5218.1,7.0,3.0,981.9,0.0,17.0
81.01,8.5,100.0,0.0,4,200.0,5236.5,7.0,,,,
82.01,8.4,100.0,0.0,4,200.0,5263.8,7.0,,,,
83.01,8.4,90.9,0.0,4,200.0,5291.8,7.1,,,,
84.01,8.4,100.0,0.0,4,200.0,5319.3,7.1,,,,
85.01,8.4,100.0,0.0,4,200.0,5349.3,7.1,,,,
86.01,8.4,100.0,0.0,4,200.0,5373.7,7.2,,,,
87.01,8.4,69.0,0.0,4,200.0,5400.5,7.2,,,,
88.01,8.6,61.0,0.0,4,201.0,5427.0,7.2,,,,
89.01,8.4,100.0,0.0,4,200.0,5452.3,7.2,,,,
90.01,8.3,88.9,0.0,4,200.0,5469.1,7.2,,,,
91.01,8.5,61.0,0.0,4,199.0,5493.9,7.3,,,,
92.01,8.4,100.0,0.0,4,200.0,5518.8,7.3,,,,
93.01,8.4,100.0,0.0,4,200.0,5541.9,7.3,,,,
94.01,8.4,100.0,0.0,4,201.0,5567.4,7.3,,,,
95.01,8.5,90.1,0.0,4,200.0,5593.8,7.4,,,,
96.01,8.5,91.0,0.0,4,200.0,5614.6,7.4,,,,
97.01,8.4,100.0,0.0,4,199.0,5635.3,7.4,,,,
98.01,8.4,96.0,0.0,4,199.0,5666.0,7.4,,,,
99.01,8.5,100.0,0.0,4,200.0,5690.0,7.5,,,,
100.01,8.5,100.0,0.0,4,200.0,5713.1,7.5,3.0,981.9,0.0,17.0
101.01,8.4,100.0,0.0,4,200.0,5726.4,7.5,,,,
102.01,8.4,100.0,0.0,4,200.0,5756.2,7.5,,,,
103.02,8.4,100.0,0.0,4,200.0,5785.5,7.6,,,,
104.02,8.4,100.0,0.0,4,200.0,5813.2,7.6,,,,
105.02,8.4,100.0,0.0,4,200.0,5840.6,7.6,,,,
106.02,8.5,100.0,0.0,4,199.0,5870.0,7.7,,,,
107.02,8.4,100.0,0.0,4,201.0,5895.9,7.7,,,,
108.02,8.5,100.0,0.0,4,200.0,5926.5,7.7,,,,
109.02,8.4,100.0,0.0,4,199.0,5952.1,7.7,,,,
110.02,8.3,83.0,0.0,4,200.0,5977.8,7.8,,,,
111.02,8.4,100.0,0.0,4,200.0,6003.3,7.8,,,,
112.02,8.5,93.1,0.0,4,201.0,6028.6,7.8,,,,
113.02,8.4,100.0,0.0,4,198.0,6057.3,7.8,,,,
114.02,8.4,100.0,0.0,4,200.0,6078.1,7.9,,,,
115.02,8.3,73.0,0.0,4,200.0,6089.0,7.9,,,,
116.02,8.5,100.0,0.0,4,201.0,6111.7,7.9,,,,
117.02,8.3,86.1,0.0,4,200.0,6136.8,7.9,,,,
118.02,8.4,100.0,0.0,4,200.0,6160.1,8.0,,,,
119.02,8.5,94.9,0.0,4,199.0,6182.4,8.0,,,,
120.02,8.5,92.9,0.0,4,200.0,6207.7,8.0,3.0,981.9,0.0,17.0
121.02,8.4,70.3,0.0,4,199.0,6228.3,8.0,,,,
122.02,8.3,80.0,0.0,4,200.0,6250.5,8.0,,,,
123.02,8.4,100.0,0.0,4,199.0,6276.9,8.1,,,,
124.02,8.5,100.0,0.0,4,201.0,6304.5,8.1,,,,
125.02,8.5,100.0,0.0,4,198.0,6331.8,8.1,,,,
126.02,8.5,100.0,0.0,4,201.8,6359.0,8.2,,,,
127.02,8.4,100.0,0.0,4,199.0,6386.4,8.2,,,,
128.02,8.5,100.0,0.0,4,199.0,6414.0,8.2,,,,
129.02,8.4,100.0,0.0,4,201.0,6446.4,8.3,,,,
130.02,8.4,100.0,0.0,4,201.0,6469.8,8.3,,,,
131.02,8.4,100.0,0.0,4,200.0,6495.5,8.3,,,,
132.02,8.4,100.0,0.0,4,200.0,6504.3,8.3,,,,
133.02,8.5,100.0,0.0,4,199.0,6531.0,8.3,,,,
134.02,8.4,99.0,0.0,4,201.0,6560.4,8.4,,,,
135.02,8.8,100.0,0.0,4,200.0,6583.6,8.4,,,,
