t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,8.3,100.0,0.0,0,0.0,7.6,3.9,4.0,514.4,0.0,16.0
1.0,12.3,84.0,8.0,0,293.0,927.6,4.4,,,,
2.0,12.3,56.4,8.0,2,4.0,1882.8,5.0,,,,
3.0,12.3,80.8,8.0,3,4.0,2810.5,5.5,,,,
4.0,4.3,68.0,0.0,3,100.0,3339.0,5.9,,,,
5.0,4.4,55.0,0.0,3,103.0,3635.5,6.1,,,,
6.0,4.2,53.0,0.0,3,99.0,1886.1,5.3,,,,
7.0,12.3,90.0,8.0,3,0.0,2810.6,5.9,,,,
8.0,4.2,98.0,0.0,3,99.0,3334.9,6.2,,,,
9.0,5.0,91.0,0.0,3,118.0,3659.8,6.5,,,,
10.0,5.6,92.0,0.0,3,130.0,1886.1,6.5,,,,
11.0,12.2,91.9,8.0,3,0.0,2809.4,5.9,,,,
12.0,4.2,99.0,0.0,3,99.0,3335.0,6.2,,,,
13.0,4.3,70.0,0.0,3,102.0,3633.7,6.4,,,,
14.0,3.5,45.5,0.0,3,79.0,1886.1,5.1,,,,
15.0,12.2,44.6,8.0,3,0.0,2808.5,5.5,,,,
16.0,4.3,100.0,0.0,3,100.0,3338.2,5.9,,,,
17.0,4.6,72.3,0.0,3,107.0,3636.1,6.1,,,,
18.0,4.0,46.0,0.0,3,93.0,1886.1,5.1,,,,
19.0,12.1,41.0,8.0,3,0.0,2809.5,5.5,,,,
20.0,4.3,62.0,0.0,3,100.0,3334.4,5.9,25.0,921.4,0.0,30.0
21.0,5.6,95.0,0.0,3,133.0,3661.7,6.2,,,,
22.0,6.1,73.7,0.0,3,144.0,3663.8,6.2,,,,
23.0,1.2,24.0,0.0,3,24.0,1886.1,5.2,,,,
24.0,12.2,51.0,8.0,3,0.0,2807.5,5.6,,,,
25.0,4.2,99.0,0.0,3,100.0,3318.3,5.9,,,,
26.0,4.3,71.3,0.0,3,101.0,3633.0,6.2,,,,
27.0,3.5,66.7,0.0,3,81.0,1886.1,5.3,,,,
28.0,12.1,85.0,8.0,3,1.0,2807.6,5.9,,,,
29.0,4.2,99.0,0.0,3,100.0,3338.2,6.2,,,,
30.0,4.3,95.0,0.0,3,103.0,3634.4,6.5,,,,
31.0,3.5,60.0,0.0,3,85.0,1886.1,5.6,,,,
32.0,12.4,49.5,8.0,3,1.0,2809.0,5.7,,,,
33.0,4.3,100.0,0.0,3,100.0,3318.4,6.1,,,,
34.0,4.4,76.0,0.0,3,102.0,3636.6,6.3,,,,
35.01,4.0,61.0,0.0,3,94.0,1886.1,5.1,,,,
36.01,11.9,74.7,8.0,3,0.0,2807.6,5.6,,,,
37.01,4.3,68.0,0.0,3,100.0,3346.7,5.9,,,,
38.01,5.7,59.4,0.0,3,130.8,3618.3,6.2,,,,
39.01,6.8,89.0,0.0,3,162.2,3664.5,6.2,,,,
40.01,1.9,43.0,0.0,3,42.0,1886.1,5.1,33.0,528.2,1.0,37.0
41.01,12.1,86.0,8.0,3,0.0,2807.9,5.6,,,,
42.01,4.2,99.0,0.0,3,100.0,3318.6,5.9,,,,
43.01,4.4,82.8,0.0,3,102.0,3636.4,6.2,,,,
44.01,4.1,69.3,0.0,3,94.0,1886.1,5.3,,,,
45.01,0.1,1.0,0.0,2,0.0,1886.1,5.3,,,,
46.01,12.1,68.0,8.0,2,0.0,1836.9,5.3,,,,
47.01,15.4,89.0,9.0,4,32.0,3615.7,6.0,,,,
48.01,8.5,92.9,0.0,4,199.0,4134.3,6.3,,,,
49.01,9.5,99.0,0.0,4,230.0,4463.1,6.5,,,,
50.01,8.4,71.0,0.0,4,199.0,4482.3,6.5,,,,
51.01,8.5,100.0,0.0,4,199.0,4507.6,6.6,,,,
52.01,8.4,100.0,0.0,4,200.0,4528.0,6.6,,,,
53.01,8.5,100.0,0.0,4,200.0,4551.1,6.6,,,,
54.01,8.4,86.0,0.0,4,199.0,4571.6,6.6,,,,
55.01,8.4,98.0,0.0,4,200.0,4599.9,6.7,,,,
56.01,8.5,100.0,0.0,4,201.0,4622.9,6.7,,,,
57.01,8.3,100.0,0.0,4,199.0,4651.1,6.7,,,,
58.01,8.6,98.0,0.0,4,201.0,4679.6,6.8,,,,
59.01,8.5,100.0,0.0,4,199.0,4703.0,6.8,,,,
60.01,8.5,65.0,0.0,4,202.0,4729.1,6.8,11.0,981.9,0.0,20.0
61.01,8.4,100.0,0.0,4,199.0,4757.0,6.8,,,,
62.01,8.5,100.0,0.0,4,201.0,4787.9,6.9,,,,
63.01,8.4,100.0,0.0,4,199.0,4809.1,6.9,,,,
64.01,8.4,100.0,0.0,4,199.0,4835.8,6.9,,,,
65.01,8.6,100.0,0.0,4,201.0,4862.6,6.9,,,,
66.01,8.5,87.0,0.0,4,200.0,4889.0,7.0,,,,
67.01,8.3,100.0,0.0,4,200.0,4911.6,7.0,,,,
68.01,8.5,100.0,0.0,4,200.0,4933.9,7.0,,,,
69.01,8.4,77.0,0.0,4,200.0,4959.2,7.0,,,,
70.01,8.5,100.0,0.0,4,199.0,4985.5,7.1,,,,
71.01,8.5,100.0,0.0,4,201.0,5008.4,7.1,,,,
72.01,8.4,100.0,0.0,4,199.0,5035.2,7.1,,,,
73.01,8.5,100.0,0.0,4,201.0,5051.7,7.1,,,,
74.01,8.5,86.9,0.0,4,199.0,5077.0,7.2,,,,
75.01,8.3,81.0,0.0,4,199.0,5098.7,7.2,,,,
76.01,8.4,78.0,0.0,4,200.0,5122.7,7.2,,,,
77.01,8.4,91.0,0.0,4,200.0,5147.7,7.2,,,,
78.01,8.4,100.0,0.0,4,199.0,5172.1,7.3,,,,
79.01,8.5,100.0,0.0,4,201.0,5200.0,7.3,,,,
80.01,8.5,100.0,0.0,4,198.0,5232.8,7.3,3.0,981.9,0.0,16.0
81.01,8.3,100.0,0.0,4,202.0,5249.7,7.3,,,,
82.01,8.5,100.0,0.0,4,198.0,5276.7,7.4,,,,
83.01,8.5,93.0,0.0,4,201.0,5304.4,7.4,,,,
84.01,8.4,100.0,0.0,4,201.0,5332.2,7.4,,,,
85.01,8.4,100.0,0.0,4,199.0,5361.4,7.5,,,,
86.01,8.4,100.0,0.0,4,201.0,5386.6,7.5,,,,
87.01,8.4,77.2,0.0,4,199.0,5412.8,7.5,,,,
88.01,8.4,80.0,0.0,4,201.0,5439.1,7.5,,,,
89.01,8.5,94.0,0.0,4,199.0,5461.9,7.6,,,,
90.01,8.5,100.0,0.0,4,201.0,5480.7,7.6,,,,
91.01,8.5,94.0,0.0,4,198.6,5507.3,7.6,,,,
92.01,8.3,99.0,0.0,4,199.0,5531.1,7.6,,,,
93.01,8.5,100.0,0.0,4,201.0,5554.4,7.7,,,,
94.01,8.4,100.0,0.0,4,201.0,5579.9,7.7,,,,
95.01,8.5,100.0,0.0,4,199.0,5605.4,7.7,,,,
96.01,8.4,100.0,0.0,4,199.4,5626.2,7.7,,,,
97.01,8.5,95.0,0.0,4,200.0,5651.7,7.8,,,,
98.01,8.3,98.0,0.0,4,200.0,5679.4,7.8,,,,
99.01,8.4,77.0,0.0,4,198.0,5701.7,7.8,,,,
100.01,8.5,90.0,0.0,4,200.0,5725.2,7.8,3.0,981.9,0.0,16.0
101.01,8.5,100.0,0.0,4,201.0,5743.2,7.9,,,,
102.01,8.5,100.0,0.0,4,199.0,5769.4,7.9,,,,
103.01,8.5,100.0,0.0,4,200.0,5798.7,7.9,,,,
104.01,8.5,100.0,0.0,4,202.0,5826.1,7.9,,,,
105.01,8.4,100.0,0.0,4,199.0,5853.6,8.0,,,,
106.01,8.5,100.0,0.0,4,200.0,5882.3,8.0,,,,
107.02,8.4,100.0,0.0,4,200.0,5908.9,8.0,,,,
108.02,8.3,100.0,0.0,4,201.0,5938.7,8.1,,,,
109.02,8.4,100.0,0.0,4,199.0,5965.0,8.1,,,,
110.02,8.4,96.0,0.0,4,200.0,5991.1,8.1,,,,
111.02,8.4,100.0,0.0,4,200.0,6016.6,8.1,,,,
112.02,8.5,100.0,0.0,4,199.0,6041.5,8.2,,,,
113.02,8.5,75.0,0.0,4,200.0,6069.6,8.2,,,,
114.02,8.5,100.0,0.0,4,199.0,6088.2,8.2,,,,
115.02,8.4,100.0,0.0,4,199.0,6101.1,8.2,,,,
116.02,8.4,100.0,0.0,4,202.0,6125.1,8.3,,,,
117.02,8.5,100.0,0.0,4,198.0,6149.9,8.3,,,,
118.02,8.5,95.0,0.0,4,200.0,6173.5,8.3,,,,
119.02,8.4,86.9,0.0,4,199.0,6194.7,8.3,,,,
120.02,8.5,100.0,0.0,4,200.0,6220.9,8.4,3.0,981.9,0.0,16.0
121.02,8.4,71.0,0.0,4,200.0,6241.2,8.4,,,,
122.02,8.4,100.0,0.0,4,201.0,6264.2,8.4,,,,
123.02,8.5,72.7,0.0,4,199.0,6291.2,8.4,,,,
124.02,8.5,100.0,0.0,4,202.0,6318.8,8.5,,,,
125.02,8.5,100.0,0.0,4,198.0,6346.4,8.5,,,,
126.02,8.5,100.0,0.0,4,199.8,6373.9,8.5,,,,
127.02,8.5,100.0,0.0,4,201.0,6401.3,8.5,,,,
128.02,8.5,93.1,0.0,4,199.0,6428.7,8.6,,,,
129.02,8.5,100.0,0.0,4,202.0,6460.7,8.6,,,,
130.02,8.4,100.0,0.0,4,198.0,6484.4,8.6,,,,
131.02,8.4,100.0,0.0,4,200.0,6509.5,8.7,,,,
132.02,8.5,100.0,0.0,4,200.0,6518.5,8.7,,,,
133.02,8.5,79.0,0.0,4,200.0,6545.9,8.7,,,,
134.02,8.4,89.9,0.0,4,200.0,6574.7,8.7,,,,
135.02,8.5,87.0,0.0,4,199.8,6598.7,8.7,,,,
136.02,8.5,100.0,0.0,4,199.8,6624.1,8.8,,,,
137.02,8.4,99.0,0.0,4,199.4,6647.9,8.8,,,,
138.02,8.3,98.0,0.0,4,200.0,6671.9,8.8,,,,
139.02,8.4,100.0,0.0,4,200.0,6700.2,8.9,,,,
140.02,8.5,100.0,0.0,4,201.0,6725.3,8.9,3.0,979.9,0.0,16.0
141.02,8.4,85.9,0.0,4,199.0,6853.8,9.0,,,,
142.02,19.2,97.0,8.0,6,200.0,8375.1,10.1,,,,
143.02,23.9,88.9,8.0,6,564.4,9203.6,10.6,,,,
144.02,11.5,80.0,0.0,14,268.5,14105.3,10.7,,,,
145.02,8.5,96.0,0.0,14,199.0,14105.3,10.7,,,,
146.02,8.4,100.0,0.0,14,199.0,14105.3,10.7,,,,
147.02,8.4,99.0,0.0,14,199.0,14105.3,10.7,,,,
148.02,8.5,95.0,0.0,14,199.0,14106.0,10.7,,,,
149.02,8.4,100.0,0.0,14,198.0,14109.6,10.7,,,,
150.02,8.6,96.0,0.0,14,200.0,14112.8,10.7,,,,
151.02,8.5,64.4,0.0,14,199.0,14117.6,10.7,,,,
152.02,8.4,95.0,0.0,14,200.0,14120.6,10.7,,,,
