t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,0.0,0.0,0.0,0,0.0,8.2,3.9,58.0,514.4,1.0,39.0
1.0,12.3,57.6,8.0,0,291.9,929.5,4.4,,,,
2.0,12.3,66.0,8.0,2,4.0,1881.2,5.0,,,,
3.0,12.5,90.0,8.0,3,7.0,2809.8,5.6,,,,
4.0,4.2,100.0,0.0,3,100.0,3338.5,5.9,,,,
5.0,4.4,74.7,0.0,3,105.0,3635.4,6.2,,,,
6.0,4.2,60.6,0.0,3,98.0,1885.7,5.1,,,,
7.0,12.2,77.0,8.0,3,0.0,2809.2,5.7,,,,
8.0,4.4,98.0,0.0,3,100.0,3329.8,5.9,,,,
9.0,5.1,75.0,0.0,3,121.0,3660.7,6.2,,,,
10.0,5.5,52.5,0.0,3,130.0,1885.7,5.8,,,,
11.0,12.4,54.5,8.0,3,0.0,2808.9,5.8,,,,
12.0,4.3,85.0,0.0,3,99.0,3337.5,6.1,,,,
13.0,4.3,76.8,0.0,3,103.0,3633.1,6.3,,,,
14.0,3.4,60.6,0.0,3,78.0,1885.7,5.7,,,,
15.0,12.0,58.0,8.0,3,0.0,2806.9,6.0,,,,
16.0,4.4,99.0,0.0,3,100.0,3332.2,6.3,,,,
17.0,4.5,73.7,0.0,3,105.0,3636.0,6.5,,,,
18.0,4.1,69.0,0.0,3,99.0,1885.7,5.5,,,,
19.0,12.1,48.0,8.0,3,0.0,2808.8,6.0,,,,
20.0,4.2,99.0,0.0,3,101.0,3344.6,6.3,25.0,921.5,0.0,30.0
21.0,5.8,95.0,0.0,3,131.0,3661.5,6.5,,,,
22.0,6.2,39.4,0.0,3,144.0,3662.8,6.5,,,,
23.0,1.1,24.5,0.0,3,26.0,1885.7,5.5,,,,
24.0,12.0,92.1,8.0,3,0.0,2808.1,6.0,,,,
25.0,4.2,98.0,0.0,3,99.0,3317.9,6.3,,,,
26.0,4.3,76.8,0.0,3,103.0,3632.7,6.6,,,,
27.0,3.5,39.0,0.0,3,80.0,1885.7,5.3,,,,
28.0,12.1,92.0,8.0,3,0.0,2806.9,5.8,,,,
29.0,4.2,100.0,0.0,3,100.0,3317.8,6.1,,,,
30.0,4.4,100.0,0.0,3,102.0,3634.1,6.4,,,,
31.0,3.7,64.6,0.0,3,87.0,1885.7,5.1,,,,
32.0,12.1,90.1,8.0,3,0.0,2805.7,5.6,,,,
33.0,4.3,98.0,0.0,3,100.0,3299.9,5.9,,,,
34.0,4.3,100.0,0.0,3,104.0,3636.2,6.2,,,,
35.01,4.0,66.0,0.0,3,96.9,1885.7,5.0,,,,
36.01,12.0,57.4,8.0,3,0.0,2805.5,5.6,,,,
37.01,4.3,83.0,0.0,3,99.0,3315.6,5.9,,,,
38.01,5.5,100.0,0.0,3,130.0,3617.7,6.2,,,,
39.01,6.9,85.9,0.0,3,162.9,3663.7,6.2,,,,
40.01,2.2,44.0,0.0,3,44.0,1885.7,5.4,33.0,514.4,1.0,38.0
41.01,12.1,57.6,8.0,3,1.0,2804.6,5.6,,,,
42.01,4.3,55.6,0.0,3,100.0,3299.5,5.9,,,,
43.01,4.5,71.3,0.0,3,103.9,3635.3,6.2,,,,
44.01,4.1,57.0,0.0,3,95.0,1885.7,5.2,,,,
45.01,0.1,1.0,0.0,2,0.0,1885.7,5.2,,,,
46.01,12.0,41.8,8.0,2,0.0,1835.9,5.2,,,,
47.01,15.3,53.5,9.0,4,32.0,3614.4,6.1,,,,
48.01,9.8,100.0,0.0,4,230.0,4121.0,6.3,,,,
49.01,8.4,71.0,0.0,4,199.0,4460.6,6.5,,,,
50.01,8.4,93.1,0.0,4,201.0,4479.5,6.5,,,,
51.01,8.5,97.0,0.0,4,200.0,4506.2,6.6,,,,
52.01,8.3,97.0,0.0,4,199.0,4526.6,6.6,,,,
53.01,8.4,82.2,0.0,4,200.0,4549.3,6.6,,,,
54.01,8.6,74.7,0.0,4,198.0,4570.4,6.6,,,,
55.01,8.4,85.0,0.0,4,200.0,4598.2,6.7,,,,
56.01,8.4,100.0,0.0,4,200.0,4620.5,6.7,,,,
57.01,8.5,100.0,0.0,4,200.0,4648.1,6.7,,,,
58.01,8.4,100.0,0.0,4,200.0,4676.0,6.8,,,,
59.01,8.4,100.0,0.0,4,200.0,4699.3,6.8,,,,
60.01,8.5,64.0,0.0,4,200.0,4725.7,6.8,11.0,981.9,0.0,20.0
61.01,8.4,100.0,0.0,4,200.0,4753.1,6.8,,,,
62.01,8.4,96.0,0.0,4,201.0,4781.4,6.9,,,,
63.01,8.4,100.0,0.0,4,200.0,4805.0,6.9,,,,
64.01,8.4,100.0,0.0,4,199.0,4831.7,6.9,,,,
65.01,8.5,99.0,0.0,4,201.0,4857.8,6.9,,,,
66.01,8.3,100.0,0.0,4,199.0,4884.1,7.0,,,,
67.01,8.7,54.0,0.0,4,200.0,4908.5,7.0,,,,
68.01,8.4,85.9,0.0,4,201.0,4928.6,7.0,,,,
69.01,8.4,60.0,0.0,4,198.0,4952.8,7.0,,,,
70.01,8.4,83.0,0.0,4,201.0,4977.1,7.1,,,,
71.01,8.4,67.3,0.0,4,198.0,5000.6,7.1,,,,
72.01,8.5,100.0,0.0,4,202.0,5025.7,7.1,,,,
73.01,8.4,100.0,0.0,4,199.0,5049.3,7.1,,,,
74.01,8.5,100.0,0.0,4,200.0,5069.8,7.2,,,,
75.01,8.4,100.0,0.0,4,200.0,5090.8,7.2,,,,
76.01,8.4,100.0,0.0,4,199.0,5112.3,7.2,,,,
77.01,8.5,54.0,0.0,4,199.0,5137.6,7.2,,,,
78.01,8.5,91.0,0.0,4,201.0,5160.3,7.3,,,,
79.01,8.5,100.0,0.0,4,199.0,5187.7,7.3,,,,
80.01,8.4,100.0,0.0,4,201.0,5215.1,7.3,3.0,981.9,0.0,17.0
