t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,4.2,100.0,0.0,0,0.0,7.4,3.8,1.0,514.4,0.0,15.0
1.0,12.4,94.9,8.0,0,292.9,930.0,4.4,,,,
2.0,12.4,94.0,8.0,2,3.0,1882.5,4.9,,,,
3.0,16.3,70.0,8.9,4,5.0,3716.9,6.0,,,,
4.0,9.2,100.0,0.0,4,215.4,4366.4,6.4,,,,
5.0,8.4,100.0,0.0,4,200.0,4467.8,6.5,,,,
6.0,8.5,100.0,0.0,4,199.0,4492.0,6.5,,,,
7.0,8.4,100.0,0.0,4,199.0,4515.1,6.5,,,,
8.0,8.4,100.0,0.0,4,200.0,4537.6,6.5,,,,
9.0,8.3,100.0,0.0,4,200.0,4559.0,6.6,,,,
10.0,8.5,100.0,0.0,4,200.0,4582.3,6.6,,,,
11.0,8.4,100.0,0.0,4,198.0,4611.8,6.6,,,,
12.0,8.5,100.0,0.0,4,202.0,4635.8,6.6,,,,
13.0,8.5,100.0,0.0,4,200.0,4664.1,6.7,,,,
14.0,8.5,100.0,0.0,4,200.0,4691.7,6.7,,,,
15.0,8.4,97.0,0.0,4,200.0,4714.4,6.7,,,,
16.0,8.5,100.0,0.0,4,199.0,4741.9,6.8,,,,
17.0,8.3,100.0,0.0,4,201.0,4770.3,6.8,,,,
18.0,8.5,100.0,0.0,4,200.0,4796.9,6.8,,,,
19.0,8.5,100.0,0.0,4,200.0,4821.6,6.8,,,,
20.0,8.5,100.0,0.0,4,199.0,4848.1,6.9,5.0,981.9,0.0,17.0
21.0,8.5,100.0,0.0,4,200.0,4875.9,6.9,,,,
22.0,8.4,72.3,0.0,4,201.0,4900.9,6.9,,,,
23.0,8.3,96.0,0.0,4,199.0,4920.0,6.9,,,,
24.0,8.5,100.0,0.0,4,200.0,4945.2,7.0,,,,
25.0,8.3,87.0,0.0,4,201.0,4970.9,7.0,,,,
26.0,8.5,92.0,0.0,4,198.0,4994.1,7.0,,,,
27.0,8.4,100.0,0.0,4,200.0,5019.0,7.0,,,,
28.0,8.5,100.0,0.0,4,200.0,5044.2,7.1,,,,
29.0,8.4,100.0,0.0,4,200.0,5059.9,7.1,,,,
30.0,8.5,100.0,0.0,4,200.0,5086.2,7.1,,,,
31.0,8.4,93.0,0.0,4,200.0,5106.4,7.1,,,,
32.0,8.4,100.0,0.0,4,200.0,5132.7,7.1,,,,
33.0,8.4,100.0,0.0,4,199.0,5155.2,7.2,,,,
34.0,8.4,100.0,0.0,4,199.0,5182.2,7.2,,,,
35.0,8.4,100.0,0.0,4,201.0,5209.9,7.2,,,,
36.0,8.4,100.0,0.0,4,200.0,5235.2,7.3,,,,
37.0,8.5,100.0,0.0,4,199.0,5258.9,7.3,,,,
38.01,8.4,100.0,0.0,4,200.0,5286.4,7.3,,,,
39.01,8.4,100.0,0.0,4,201.0,5313.8,7.4,,,,
40.01,8.5,100.0,0.0,4,200.0,5341.4,7.4,3.0,981.9,0.0,17.0
41.01,8.4,100.0,0.0,4,199.0,5369.1,7.4,,,,
42.01,8.4,56.4,0.0,4,200.0,5395.4,7.4,,,,
43.01,8.4,64.6,0.0,4,200.0,5421.6,7.4,,,,
44.01,8.5,69.3,0.0,4,200.0,5447.5,7.5,,,,
45.01,8.5,100.0,0.0,4,200.0,5463.0,7.5,,,,
46.01,8.4,59.6,0.0,4,200.0,5488.7,7.5,,,,
47.01,8.4,88.1,0.0,4,198.0,5514.2,7.5,,,,
48.01,8.4,91.0,0.0,4,201.0,5538.6,7.6,,,,
49.01,8.4,95.0,0.0,4,200.0,5562.4,7.6,,,,
50.01,8.5,100.0,0.0,4,200.0,5590.9,7.6,,,,
51.01,8.5,97.0,0.0,4,200.0,5611.9,7.6,,,,
52.01,8.5,72.0,0.0,4,200.0,5632.5,7.7,,,,
53.01,8.3,53.5,0.0,4,200.0,5662.9,7.7,,,,
54.01,8.4,67.0,0.0,4,200.0,5687.3,7.7,,,,
55.01,8.5,100.0,0.0,4,199.0,5708.9,7.7,,,,
56.01,8.3,97.0,0.0,4,200.0,5732.7,7.8,,,,
57.01,8.4,100.0,0.0,4,199.0,5750.3,7.8,,,,
58.01,8.4,100.0,0.0,4,200.0,5779.2,7.8,,,,
59.01,8.5,100.0,0.0,4,201.0,5806.9,7.9,,,,
60.01,8.5,100.0,0.0,4,200.0,5834.3,7.9,3.0,981.9,0.0,17.0
61.01,8.4,100.0,0.0,4,199.0,5865.6,7.9,,,,
62.01,8.5,100.0,0.0,4,200.0,5889.4,8.0,,,,
63.01,8.4,100.0,0.0,4,202.0,5917.0,8.0,,,,
64.01,8.6,75.0,0.0,4,198.0,5945.9,8.0,,,,
65.01,8.5,100.0,0.0,4,201.0,5972.5,8.0,,,,
66.01,8.5,100.0,0.0,4,199.0,5998.2,8.0,,,,
67.01,8.4,83.8,0.0,4,199.0,6023.3,8.1,,,,
68.01,8.4,73.0,0.0,4,201.0,6048.0,8.1,,,,
69.01,8.3,82.0,0.0,4,200.0,6074.9,8.1,,,,
70.01,8.5,81.2,0.0,4,198.0,6087.6,8.1,,,,
71.01,8.7,100.0,0.0,4,200.0,6106.4,8.2,,,,
72.01,8.4,100.0,0.0,4,201.0,6131.7,8.2,,,,
73.01,8.4,100.0,0.0,4,199.0,6156.2,8.2,,,,
74.01,8.3,95.0,0.0,4,200.0,6178.4,8.2,,,,
75.01,8.4,53.5,0.0,4,199.0,6199.7,8.3,,,,
76.01,8.4,99.0,0.0,4,202.0,6226.2,8.3,,,,
77.01,8.3,91.9,0.0,4,198.0,6246.4,8.3,,,,
78.01,8.6,100.0,0.0,4,201.0,6270.6,8.3,,,,
79.01,8.4,100.0,0.0,4,199.0,6298.2,8.4,,,,
80.01,8.4,100.0,0.0,4,201.0,6325.5,8.4,3.0,979.9,0.0,17.0
81.01,8.5,100.0,0.0,4,199.0,6352.9,8.4,,,,
82.01,8.3,100.0,0.0,4,200.0,6380.5,8.5,,,,
83.01,8.4,100.0,0.0,4,201.0,6407.7,8.5,,,,
84.01,8.6,100.0,0.0,4,201.0,6435.4,8.5,,,,
85.01,8.4,100.0,0.0,4,199.0,6466.2,8.5,,,,
86.01,8.4,100.0,0.0,4,200.0,6491.9,8.6,,,,
87.01,8.4,100.0,0.0,4,199.8,6511.7,8.6,,,,
88.01,8.4,100.0,0.0,4,200.0,6525.8,8.6,,,,
89.01,8.5,69.3,0.0,4,200.0,6551.9,8.6,,,,
90.01,8.4,93.0,0.0,4,200.0,6579.6,8.6,,,,
91.01,8.4,83.0,0.0,4,199.0,6604.4,8.7,,,,
92.01,8.4,85.1,0.0,4,199.8,6629.9,8.7,,,,
93.01,8.4,88.0,0.0,4,199.0,6652.4,8.7,,,,
94.01,8.4,95.0,0.0,4,200.0,6678.0,8.8,,,,
95.01,8.5,100.0,0.0,4,200.0,6708.8,8.8,,,,
96.01,8.4,100.0,0.0,4,200.0,6730.0,8.8,,,,
97.01,8.4,100.0,0.0,4,199.0,7141.1,9.2,,,,
98.01,26.7,100.0,13.1,6,195.8,8845.4,10.3,,,,
99.01,16.7,99.0,0.0,6,397.0,9237.3,10.5,,,,
100.01,9.8,75.2,0.0,14,229.0,14104.1,10.6,3.0,982.0,0.0,17.0
101.01,8.4,89.9,0.0,14,199.0,14104.3,10.6,,,,
102.01,8.4,99.0,0.0,14,198.0,14104.3,10.6,,,,
103.01,8.5,99.0,0.0,14,199.8,14104.3,10.6,,,,
104.01,8.5,83.8,0.0,14,198.2,14106.0,10.6,,,,
105.01,8.4,69.0,0.0,14,200.0,14109.4,10.6,,,,
