t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,4.2,100.0,0.0,0,0.0,7.4,3.9,59.0,514.4,2.0,43.0
1.0,12.2,93.0,8.0,0,292.9,927.7,4.5,,,,
2.0,12.7,78.8,8.0,2,5.0,1882.3,5.1,,,,
3.0,16.2,77.2,8.1,4,2545.0,3703.0,6.1,,,,
4.0,9.8,100.0,0.0,4,228.8,4333.9,6.5,,,,
5.0,8.5,97.0,0.0,4,200.8,4456.7,6.6,,,,
6.0,8.6,100.0,0.0,4,200.4,4479.2,6.6,,,,
7.0,8.6,100.0,0.0,4,198.2,4501.9,6.6,,,,
8.0,8.5,97.0,0.0,4,200.0,4524.1,6.6,,,,
9.0,8.5,100.0,0.0,4,199.0,4544.7,6.7,,,,
10.0,8.3,81.0,0.0,4,200.0,4568.4,6.7,,,,
11.0,8.6,80.0,0.0,4,200.0,4597.6,6.7,,,,
12.0,8.6,100.0,0.0,4,200.0,4620.8,6.7,,,,
13.0,8.6,100.0,0.0,4,200.0,4649.3,6.8,,,,
14.0,8.5,51.0,0.0,4,200.0,4677.1,6.8,,,,
15.0,8.5,100.0,0.0,4,200.0,4699.6,6.8,,,,
16.0,8.4,93.1,0.0,4,200.0,4726.6,6.8,,,,
17.0,8.6,100.0,0.0,4,200.0,4754.7,6.9,,,,
18.0,8.4,100.0,0.0,4,200.0,4784.5,6.9,,,,
19.0,8.5,50.0,0.0,4,200.0,4806.6,6.9,,,,
20.0,8.5,100.0,0.0,4,200.0,4832.9,7.0,6.0,981.9,1.0,19.0
21.0,8.7,82.0,0.0,4,199.0,4860.4,7.0,,,,
22.0,8.5,85.1,0.0,4,200.0,4885.7,7.0,,,,
23.0,8.5,100.0,0.0,4,200.0,4905.2,7.0,,,,
24.0,8.5,83.8,0.0,4,201.0,4930.1,7.1,,,,
25.0,8.5,97.0,0.0,4,199.0,4955.1,7.1,,,,
26.0,8.5,88.9,0.0,4,199.0,4979.8,7.1,,,,
27.0,8.5,100.0,0.0,4,201.0,5004.4,7.1,,,,
28.0,8.5,100.0,0.0,4,201.0,5030.1,7.2,,,,
29.0,8.5,100.0,0.0,4,200.0,5045.5,7.2,,,,
30.0,8.6,89.9,0.0,4,200.0,5072.3,7.2,,,,
31.0,8.4,72.3,0.0,4,199.0,5092.5,7.2,,,,
32.0,8.4,96.0,0.0,4,201.0,5116.7,7.2,,,,
33.0,8.5,76.0,0.0,4,198.0,5141.3,7.3,,,,
34.0,8.6,100.0,0.0,4,200.0,5167.1,7.3,,,,
35.01,8.5,100.0,0.0,4,200.0,5195.1,7.3,,,,
36.01,8.5,100.0,0.0,4,200.0,5224.7,7.4,,,,
37.01,8.5,100.0,0.0,4,199.0,5243.6,7.4,,,,
38.01,8.4,100.0,0.0,4,201.0,5271.2,7.4,,,,
39.01,8.5,51.0,0.0,4,200.0,5298.8,7.4,,,,
40.01,8.4,100.0,0.0,4,201.0,5326.3,7.5,3.0,981.9,0.0,16.0
41.01,8.5,100.0,0.0,4,199.0,5354.8,7.5,,,,
42.01,8.5,100.0,0.0,4,200.0,5380.7,7.5,,,,
43.01,8.6,70.3,0.0,4,200.0,5407.0,7.5,,,,
44.01,8.5,83.0,0.0,4,200.0,5432.8,7.6,,,,
45.01,8.4,100.0,0.0,4,199.0,5451.4,7.6,,,,
46.01,8.5,78.2,0.0,4,201.0,5473.5,7.6,,,,
47.01,8.5,60.6,0.0,4,199.0,5499.8,7.6,,,,
48.01,8.6,100.0,0.0,4,201.0,5524.3,7.7,,,,
49.01,8.4,73.7,0.0,4,199.0,5547.8,7.7,,,,
50.01,8.5,100.0,0.0,4,199.0,5574.6,7.7,,,,
51.01,8.5,100.0,0.0,4,201.0,5598.0,7.7,,,,
52.01,8.5,100.0,0.0,4,199.0,5618.8,7.8,,,,
53.01,8.5,89.1,0.0,4,200.0,5648.8,7.8,,,,
54.01,8.5,100.0,0.0,4,199.0,5673.4,7.8,,,,
55.01,8.5,97.0,0.0,4,200.0,5694.0,7.8,,,,
56.01,8.4,100.0,0.0,4,199.0,5718.2,7.9,,,,
57.01,8.6,100.0,0.0,4,201.0,5735.6,7.9,,,,
58.01,8.5,100.0,0.0,4,200.0,5762.6,7.9,,,,
59.01,8.5,100.0,0.0,4,201.0,5791.5,8.0,,,,
60.01,8.5,100.0,0.0,4,199.0,5818.9,8.0,3.0,981.9,0.0,16.0
61.01,8.5,100.0,0.0,4,200.0,5848.7,8.0,,,,
62.01,8.5,100.0,0.0,4,200.0,5874.6,8.0,,,,
63.01,8.5,100.0,0.0,4,200.0,5901.8,8.1,,,,
64.01,8.5,100.0,0.0,4,200.0,5931.0,8.1,,,,
65.01,8.5,89.0,0.0,4,200.0,5957.5,8.1,,,,
66.01,8.6,93.1,0.0,4,200.0,5983.3,8.1,,,,
67.01,8.5,87.1,0.0,4,201.0,6008.6,8.2,,,,
68.01,8.5,88.0,0.0,4,200.0,6033.4,8.2,,,,
69.01,8.4,87.9,0.0,4,198.0,6060.6,8.2,,,,
70.01,8.6,100.0,0.0,4,200.0,6077.1,8.2,,,,
71.01,8.5,100.0,0.0,4,200.0,6092.1,8.3,,,,
72.01,8.6,100.0,0.0,4,199.0,6116.5,8.3,,,,
73.01,8.5,100.0,0.0,4,201.0,6141.0,8.3,,,,
74.01,8.6,100.0,0.0,4,200.0,6164.3,8.3,,,,
75.01,8.5,60.0,0.0,4,199.0,6185.3,8.4,,,,
76.01,8.5,100.0,0.0,4,201.0,6211.3,8.4,,,,
77.01,8.5,84.0,0.0,4,198.0,6231.4,8.4,,,,
78.01,8.5,92.0,0.0,4,200.0,6254.5,8.4,,,,
79.01,8.6,100.0,0.0,4,199.0,6282.0,8.5,,,,
80.01,8.4,100.0,0.0,4,200.0,6309.4,8.5,3.0,981.9,0.0,16.0
81.01,8.6,100.0,0.0,4,201.0,6336.8,8.5,,,,
82.01,8.5,100.0,0.0,4,201.0,6364.1,8.6,,,,
83.01,8.5,100.0,0.0,4,201.0,6391.5,8.6,,,,
84.01,8.5,100.0,0.0,4,199.0,6418.9,8.6,,,,
85.01,8.6,100.0,0.0,4,200.0,6450.6,8.7,,,,
86.01,8.4,100.0,0.0,4,200.0,6474.0,8.7,,,,
87.01,8.4,88.0,0.0,4,199.0,6498.6,8.7,,,,
88.01,8.6,100.0,0.0,4,201.0,6508.0,8.7,,,,
89.01,8.5,81.0,0.0,4,198.0,6535.3,8.7,,,,
90.01,8.4,76.2,0.0,4,202.0,6563.6,8.8,,,,
91.01,8.6,78.2,0.0,4,199.0,6587.6,8.8,,,,
92.01,8.4,97.0,0.0,4,200.0,6612.6,8.8,,,,
93.01,8.4,93.0,0.0,4,199.0,6636.2,8.8,,,,
94.01,8.5,100.0,0.0,4,201.0,6660.8,8.9,,,,
95.01,8.5,100.0,0.0,4,200.0,6689.1,8.9,,,,
96.01,8.4,100.0,0.0,4,200.0,6713.8,8.9,,,,
97.01,8.5,100.0,0.0,4,199.0,6803.3,9.0,,,,
98.01,19.3,100.0,8.0,6,200.0,8255.7,10.1,,,,
99.01,24.0,80.8,8.0,6,566.0,9187.6,10.7,,,,
100.01,11.6,89.0,0.0,14,268.0,14093.8,10.6,3.0,982.0,0.0,16.0
101.01,8.5,97.0,0.0,14,197.0,14093.8,10.6,,,,
102.02,8.6,69.3,0.0,14,198.0,14093.8,10.6,,,,
103.02,8.7,100.0,0.0,14,196.0,14093.8,10.6,,,,
104.02,8.4,94.9,0.0,14,197.0,14093.8,10.6,,,,
105.02,8.6,74.0,0.0,14,198.0,14094.0,10.6,,,,
106.02,8.6,76.0,0.0,14,197.0,14097.7,10.6,,,,
107.02,8.5,100.0,0.0,14,195.0,14099.8,10.6,,,,
108.02,8.5,100.0,0.0,14,196.0,14103.0,10.6,,,,
109.02,8.4,52.0,0.0,14,197.0,14106.7,10.6,,,,
110.02,8.6,100.0,0.0,14,195.8,14109.0,10.6,,,,
111.02,8.5,72.3,0.0,14,196.0,14111.8,10.6,,,,
112.02,8.5,80.0,0.0,14,199.0,14115.2,10.6,,,,
113.02,8.5,96.0,0.0,14,199.0,14116.0,10.6,,,,
114.02,8.6,52.0,0.0,14,200.0,14116.8,10.6,,,,
115.02,8.5,100.0,0.0,14,202.0,14122.4,10.6,,,,
116.02,8.5,100.0,0.0,14,198.0,14136.5,10.7,,,,
117.02,8.4,100.0,0.0,14,201.0,14150.9,10.7,,,,
118.02,8.4,100.0,0.0,14,199.0,14166.3,10.7,,,,
119.02,8.6,100.0,0.0,14,200.0,14180.5,10.7,,,,
120.02,8.4,100.0,0.0,14,200.0,14194.6,10.7,3.0,982.0,0.0,16.0
121.02,8.5,100.0,0.0,14,200.0,14208.8,10.7,,,,
122.02,8.6,88.1,0.0,14,201.0,14223.6,10.8,,,,
123.02,8.5,100.0,0.0,14,199.0,14239.6,10.8,,,,
124.02,8.6,100.0,0.0,14,201.0,14254.4,10.8,,,,
125.02,8.5,100.0,0.0,14,200.0,14268.8,10.8,,,,
126.02,8.5,100.0,0.0,14,199.0,14278.0,10.8,,,,
127.02,8.6,100.0,0.0,14,201.0,14284.0,10.8,,,,
128.02,8.5,100.0,0.0,14,199.0,14299.2,10.8,,,,
129.02,8.4,51.5,0.0,14,201.0,14315.3,10.8,,,,
130.02,8.5,100.0,0.0,14,200.0,14330.0,10.9,,,,
131.02,8.4,100.0,0.0,14,199.0,14344.2,10.9,,,,
132.02,8.5,82.0,0.0,14,202.0,14359.0,10.9,,,,
133.02,8.6,100.0,0.0,14,200.0,14374.4,10.9,,,,
134.02,8.4,98.0,0.0,14,199.0,14482.6,11.0,,,,
135.02,8.6,100.0,0.0,14,201.0,14492.0,11.0,,,,
136.02,8.5,100.0,0.0,14,200.0,14502.8,11.0,,,,
137.02,8.4,100.0,0.0,14,199.0,14514.5,11.0,,,,
138.02,8.5,100.0,0.0,14,200.0,14525.3,11.1,,,,
139.02,8.4,100.0,0.0,14,200.0,14536.2,11.1,,,,
140.02,8.5,100.0,0.0,14,200.0,14547.3,11.1,3.0,982.0,0.0,16.0
141.02,8.5,100.0,0.0,14,202.0,14557.4,11.1,,,,
142.02,8.4,100.0,0.0,14,199.0,14567.2,11.1,,,,
143.02,8.6,100.0,0.0,14,199.0,14576.9,11.1,,,,
144.02,8.5,74.0,0.0,14,202.0,14587.8,11.1,,,,
145.02,8.5,100.0,0.0,14,198.0,14598.7,11.1,,,,
146.02,8.5,100.0,0.0,14,201.0,14609.9,11.2,,,,
147.02,8.5,100.0,0.0,14,201.0,14620.6,11.2,,,,
148.02,8.5,100.0,0.0,14,200.0,14631.3,11.2,,,,
149.02,8.5,100.0,0.0,14,199.0,14641.2,11.2,,,,
150.02,8.4,100.0,0.0,14,201.0,14651.0,11.2,,,,
151.02,8.5,100.0,0.0,14,201.0,14660.9,11.2,,,,
152.02,8.6,100.0,0.0,14,199.0,14671.6,11.2,,,,
153.02,8.5,100.0,0.0,14,199.0,14682.5,11.2,,,,
154.02,8.6,51.5,0.0,14,203.0,14693.5,11.2,,,,
155.02,8.5,100.0,0.0,14,199.0,14704.2,11.2,,,,
156.02,8.6,100.0,0.0,14,199.0,14714.5,11.3,,,,
157.02,8.4,100.0,0.0,14,202.0,14724.5,11.3,,,,
158.02,8.4,100.0,0.0,14,199.0,14734.2,11.3,,,,
159.02,8.5,100.0,0.0,14,200.0,14744.3,11.3,,,,
160.02,8.7,100.0,0.0,6,200.0,9888.3,11.3,3.0,982.0,0.0,16.0
161.02,8.5,100.0,0.0,6,200.0,9899.4,11.3,,,,
162.02,8.5,100.0,0.0,6,201.0,9910.5,11.3,,,,
163.02,8.4,100.0,0.0,6,198.0,9921.0,11.3,,,,
164.02,8.5,100.0,0.0,6,201.0,9924.2,11.3,,,,
165.02,8.6,100.0,0.0,6,199.0,9920.5,11.3,,,,
166.02,8.4,100.0,0.0,6,200.0,9921.5,11.3,,,,
167.02,8.4,92.1,0.0,6,200.0,9955.0,11.3,,,,
168.02,8.6,97.0,0.0,6,201.0,9978.0,11.4,,,,
169.02,8.5,100.0,0.0,6,199.0,9987.3,11.4,,,,
170.02,8.5,100.0,0.0,6,200.0,9996.7,11.4,,,,
171.02,8.5,100.0,0.0,6,202.0,9996.7,11.4,,,,
172.02,8.5,100.0,0.0,6,199.0,9996.7,11.4,,,,
173.02,8.5,68.3,0.0,6,198.0,9996.9,11.4,,,,
174.02,8.4,82.2,0.0,6,199.0,9996.9,11.4,,,,
175.02,8.7,78.8,0.0,6,200.0,9996.9,11.4,,,,
176.02,8.5,100.0,0.0,6,200.0,9996.9,11.4,,,,
177.02,8.3,74.0,0.0,6,199.0,9996.9,11.4,,,,
178.02,8.5,69.3,0.0,6,199.0,9996.9,11.4,,,,
179.03,8.4,73.7,0.0,6,200.0,9996.9,11.4,,,,
180.03,8.6,73.3,0.0,6,200.0,9996.9,11.4,9.0,992.7,0.0,18.0
181.03,8.5,77.0,0.0,6,199.0,9996.9,11.4,,,,
182.03,8.7,100.0,0.0,6,201.0,10011.2,11.4,,,,
183.03,8.4,100.0,0.0,6,200.0,10149.2,11.5,,,,
184.03,8.6,87.0,0.0,6,200.0,10260.6,11.6,,,,
185.03,8.5,100.0,0.0,6,200.0,10530.0,11.9,,,,
186.03,8.5,100.0,0.0,6,200.0,10618.1,12.0,,,,
187.03,8.5,100.0,0.0,6,200.0,10658.5,12.0,,,,
188.03,8.5,100.0,0.0,6,200.0,10661.5,12.0,,,,
