t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,n_helper_procs,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,20.8,100.0,0.0,0,0,0.0,9.0,8.1,6.0,808.7,3.0,14.0
1.0,15.8,58.0,8.1,0,0,270.6,915.0,8.7,,,,
2.0,15.5,71.7,8.2,0,2,20.0,1848.4,9.3,,,,
3.0,13.6,50.0,8.0,0,3,31.1,2765.5,9.8,,,,
4.0,4.5,56.0,0.0,1,2,99.0,3094.5,10.0,,,,
5.0,4.4,88.0,0.0,1,2,101.9,3602.1,10.4,,,,
6.0,6.0,64.4,0.0,1,2,141.9,3654.1,10.4,,,,
7.0,2.0,38.6,0.0,1,2,37.0,1895.4,9.5,,,,
8.0,11.1,36.0,8.0,0,3,0.0,2771.0,10.0,,,,
9.0,4.7,99.0,0.0,1,2,98.9,3114.8,10.2,,,,
10.0,5.0,49.5,0.0,1,2,106.7,3622.6,10.4,,,,
11.0,7.3,62.6,0.0,1,2,161.4,3674.2,10.4,,,,
12.0,2.9,51.5,0.0,1,2,63.0,1895.4,9.6,,,,
13.0,11.5,43.0,8.0,0,3,0.0,2768.5,9.8,,,,
14.0,4.5,100.0,0.0,1,2,100.0,3098.6,10.0,,,,
15.0,4.5,84.2,0.0,1,2,102.0,3599.8,10.4,,,,
16.0,4.7,53.5,0.0,1,2,107.0,3584.0,10.5,,,,
17.0,12.1,63.0,8.0,0,3,0.0,2770.9,9.8,,,,
18.0,4.7,99.0,0.0,1,2,101.0,3100.2,10.0,,,,
19.0,4.7,84.0,0.0,1,2,101.0,3604.4,10.4,,,,
20.0,6.0,62.0,0.0,1,2,141.0,3654.5,10.4,31.0,1313.1,1.0,36.0
21.0,2.0,37.0,0.0,1,2,35.0,1895.4,9.6,,,,
22.0,10.9,50.5,8.0,0,3,0.0,2768.3,10.0,,,,
23.0,4.5,65.0,0.0,1,2,99.0,3114.3,10.1,,,,
24.0,5.0,87.9,0.0,1,2,110.0,3626.4,10.5,,,,
25.0,6.7,63.0,0.0,1,2,154.0,3673.8,10.5,,,,
26.0,5.4,51.0,0.0,1,2,118.0,1895.4,9.5,,,,
27.0,11.1,38.0,8.0,0,3,0.0,2770.7,9.9,,,,
28.0,7.8,48.0,0.0,1,2,100.0,3095.0,10.1,,,,
29.0,5.0,87.0,0.0,1,2,101.0,3599.5,10.4,,,,
30.0,5.0,42.0,0.0,1,2,110.0,3645.4,10.5,,,,
31.0,12.5,59.6,8.0,0,3,0.0,2764.8,9.7,,,,
32.0,4.5,77.0,0.0,1,2,100.0,3094.5,9.8,,,,
33.0,4.4,89.0,0.0,1,2,101.0,3600.3,10.3,,,,
34.0,5.9,64.0,0.0,1,2,128.9,3648.7,10.3,,,,
35.0,12.2,89.0,8.0,1,2,3119.4,2767.1,9.7,,,,
36.0,4.8,81.8,0.0,1,2,99.0,3095.6,9.8,,,,
37.0,4.5,76.2,0.0,1,2,102.0,3605.2,10.3,,,,
