t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,n_helper_procs,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,6.2,100.0,0.0,0,0,0.0,8.4,9.2,14.0,1072.5,4.0,33.0
1.0,15.0,80.8,8.0,0,0,282.0,921.1,9.7,,,,
2.0,16.2,73.0,8.1,0,2,19.0,1848.1,10.1,,,,
3.0,15.4,58.6,8.1,0,3,30.0,2764.1,10.6,,,,
4.0,6.8,47.5,0.0,1,2,100.0,3092.2,10.8,,,,
5.0,7.7,69.0,0.0,1,2,102.0,3594.9,11.3,,,,
6.0,9.0,73.7,0.0,1,2,144.0,3652.6,11.3,,,,
7.0,5.1,56.0,0.0,1,2,55.0,1894.7,10.3,,,,
8.0,13.3,42.4,8.0,0,3,0.0,2765.7,10.5,,,,
9.0,6.6,98.0,0.0,1,2,99.9,3109.2,10.7,,,,
10.0,7.4,86.1,0.0,1,2,102.0,3613.5,11.1,,,,
11.0,10.4,74.3,0.0,1,2,155.0,3673.5,11.1,,,,
12.0,6.2,50.5,0.0,1,2,86.0,1894.7,10.2,,,,
13.0,13.3,39.4,8.1,0,3,0.0,2764.8,10.5,,,,
14.0,6.7,76.2,0.0,1,2,99.0,3092.9,10.7,,,,
15.0,7.2,100.0,0.0,1,2,102.0,3598.6,11.1,,,,
16.0,7.3,76.0,0.0,1,2,105.0,3644.5,11.0,,,,
17.0,4.2,39.4,0.0,1,2,38.0,1894.7,9.9,,,,
18.0,13.4,45.0,8.0,0,3,1.0,2761.3,10.4,,,,
19.0,6.4,55.6,0.0,1,2,99.0,3093.0,10.6,,,,
20.0,8.7,92.1,0.0,1,2,102.0,3596.4,11.0,41.0,1688.1,2.0,40.0
21.0,9.2,68.7,0.0,1,2,141.0,3653.0,11.1,,,,
22.0,5.2,50.0,0.0,1,2,51.0,1894.7,10.2,,,,
23.0,12.7,43.4,8.0,0,3,0.0,2764.8,10.7,,,,
24.0,6.8,78.2,0.0,1,2,100.0,3108.5,10.7,,,,
25.0,6.6,70.0,0.0,1,2,101.0,3610.6,11.1,,,,
26.0,9.5,63.0,0.0,1,2,149.0,3673.1,11.2,,,,
27.0,8.7,79.0,0.0,1,2,143.9,3471.1,11.1,,,,
28.0,13.9,35.4,8.0,0,3,0.0,2763.9,10.7,,,,
29.0,6.6,51.5,0.0,1,2,100.4,3092.1,10.8,,,,
30.0,7.1,93.1,0.0,1,2,100.0,3597.9,11.1,,,,
31.0,7.4,45.5,0.0,1,2,108.0,3643.6,11.1,,,,
32.0,3.3,34.7,0.0,1,2,36.0,1894.7,10.4,,,,
33.0,13.3,43.0,8.1,0,3,0.0,2763.9,10.9,,,,
34.0,7.1,66.7,0.0,1,2,99.0,3092.7,11.0,,,,
35.0,6.8,99.0,0.0,1,2,102.0,3599.9,11.4,,,,
36.0,8.2,72.7,0.0,1,2,122.0,3646.0,11.5,,,,
37.0,4.4,45.0,0.0,1,2,48.0,1894.7,10.4,,,,
38.0,13.3,62.0,8.0,0,3,0.0,2758.7,10.8,,,,
39.0,6.8,54.0,0.0,1,2,100.0,3089.5,11.0,,,,
40.0,7.1,99.0,0.0,1,2,100.0,3593.1,11.4,11.0,1564.0,2.0,40.0
41.0,9.0,86.7,0.0,1,2,137.0,3649.6,11.5,,,,
42.0,5.3,57.6,0.0,1,2,57.0,1894.7,10.2,,,,
43.0,13.0,68.0,8.0,0,3,1.0,2764.7,10.7,,,,
44.0,10.4,72.0,1.0,1,2,100.0,3109.3,11.0,,,,
45.0,5.8,81.8,0.0,1,2,101.0,3605.8,11.3,,,,
46.0,8.0,97.0,0.0,1,2,151.0,3672.7,11.3,,,,
47.0,8.6,75.0,0.0,1,2,172.0,3674.4,11.3,,,,
48.0,13.7,84.2,8.0,1,2,2891.0,2763.9,10.9,,,,
49.0,7.1,83.0,0.0,1,2,99.0,3092.8,11.1,,,,
50.01,5.7,94.0,0.0,1,2,103.0,3601.5,11.5,,,,
51.01,7.1,51.0,0.0,1,2,135.0,3649.5,11.5,,,,
52.01,3.2,42.0,0.0,1,2,44.0,1894.7,10.5,,,,
53.01,11.6,37.4,6.1,0,3,0.0,2761.9,10.8,,,,
54.01,6.6,81.8,0.0,1,2,99.0,3092.2,11.0,,,,
55.01,5.4,68.0,0.0,1,2,101.0,3597.1,11.4,,,,
56.01,7.9,68.7,0.0,1,2,150.9,3655.2,11.5,,,,
57.01,3.4,42.9,0.0,1,2,52.0,1894.7,10.6,,,,
58.01,12.5,40.6,8.0,0,3,0.0,2761.6,10.8,,,,
59.01,5.4,99.0,0.0,1,2,100.0,3092.8,11.0,,,,
60.01,5.5,100.0,0.0,1,2,102.0,3596.1,11.3,40.0,1730.5,1.0,37.0
61.01,7.5,92.0,0.0,1,2,144.0,3654.8,11.4,,,,
62.01,3.4,49.0,0.0,1,2,48.0,1894.7,10.5,,,,
63.01,11.8,35.0,8.0,0,3,0.0,2763.9,10.9,,,,
64.01,5.5,98.0,0.0,1,2,99.0,3108.8,10.9,,,,
65.01,5.3,60.0,0.0,1,2,101.0,3614.1,11.2,,,,
66.01,7.5,100.0,0.0,1,2,154.0,3673.0,11.2,,,,
67.01,7.6,91.0,0.0,1,2,155.0,3613.7,11.2,,,,
68.01,13.0,46.9,8.0,0,3,0.0,2761.4,10.6,,,,
69.01,5.5,65.0,0.0,1,2,99.0,3109.0,10.8,,,,
70.01,5.4,48.5,0.0,1,2,101.0,3613.6,11.2,,,,
71.01,7.9,57.0,0.0,1,2,154.0,3676.2,11.2,,,,
72.01,7.3,86.0,0.0,1,2,140.0,3510.9,11.2,,,,
73.01,12.1,38.8,8.0,0,3,0.0,2763.3,10.5,,,,
74.01,5.4,76.0,0.0,1,2,101.0,3092.4,10.7,,,,
75.01,5.8,100.0,0.0,1,2,102.0,3601.6,11.1,,,,
76.01,7.4,77.8,0.0,1,2,143.0,3653.5,11.2,,,,
77.01,3.2,48.5,0.0,1,2,47.0,1894.7,10.3,,,,
78.01,12.2,53.5,8.0,0,3,0.0,2763.4,10.8,,,,
79.01,5.3,96.0,0.0,1,2,100.0,3092.7,10.9,,,,
80.01,5.5,61.4,0.0,1,2,101.0,3598.4,11.4,46.0,1595.1,1.0,36.0
81.01,5.9,57.0,0.0,1,2,109.0,3644.3,11.4,,,,
82.01,13.7,35.4,8.1,0,3,0.0,2763.2,10.9,,,,
83.01,5.5,99.0,0.0,1,2,101.2,3108.4,11.1,,,,
84.01,5.7,50.5,0.0,1,2,100.0,3610.0,11.4,,,,
85.01,7.7,100.0,0.0,1,2,153.0,3671.5,11.4,,,,
86.01,7.5,84.8,0.0,1,2,152.0,3517.8,11.3,,,,
87.01,12.6,75.5,8.1,0,3,0.0,2762.4,10.7,,,,
88.01,5.5,99.0,0.0,1,2,99.0,3108.8,10.9,,,,
89.01,5.2,77.0,0.0,1,2,100.0,3609.4,11.3,,,,
90.01,7.5,89.0,0.0,1,2,151.7,3673.5,11.4,,,,
91.01,7.1,73.0,0.0,1,2,135.2,1894.7,10.1,,,,
92.01,12.0,39.0,8.0,0,3,0.0,2762.6,10.6,,,,
93.01,5.3,79.0,0.0,1,2,100.0,3092.8,10.7,,,,
94.01,5.5,50.0,0.0,1,2,101.0,3595.1,11.1,,,,
95.01,7.2,99.0,0.0,1,2,142.0,3652.8,11.2,,,,
96.01,3.8,49.0,0.0,1,2,49.0,1894.7,10.3,,,,
97.01,11.7,56.4,7.1,0,3,0.0,2757.0,10.5,,,,
98.01,5.3,48.5,0.0,1,2,98.8,3089.0,10.6,,,,
99.01,5.7,61.6,0.0,1,2,100.2,3594.4,11.0,,,,
100.01,7.0,89.9,0.0,1,2,144.0,3653.0,11.0,87.0,1559.3,2.0,40.0
101.01,3.4,49.0,0.0,1,2,53.0,1894.7,10.1,,,,
102.01,12.4,50.0,8.0,0,3,0.0,2762.9,10.5,,,,
103.01,5.4,98.0,0.0,1,2,100.0,3109.2,10.6,,,,
104.01,5.5,100.0,0.0,1,2,100.0,3606.7,11.0,,,,
105.01,8.8,100.0,0.0,1,2,170.0,3676.6,11.1,,,,
106.01,8.0,97.0,0.0,1,2,151.0,3678.5,11.1,,,,
107.01,3.4,47.0,0.0,1,2,45.0,1894.7,10.2,,,,
108.01,11.6,55.6,8.0,0,3,0.0,2761.5,10.6,,,,
109.01,7.0,67.0,0.0,1,2,99.0,3092.9,10.7,,,,
110.01,5.3,100.0,0.0,1,2,104.0,3595.6,11.1,,,,
111.01,8.0,89.0,0.0,1,2,151.0,3655.4,11.1,,,,
112.01,3.7,58.0,0.0,1,2,58.0,1894.7,9.9,,,,
113.01,12.0,46.5,8.0,0,3,0.0,2761.2,10.3,,,,
114.01,5.7,77.0,0.0,1,2,99.2,3093.1,10.5,,,,
115.01,5.4,84.8,0.0,1,2,100.0,3595.8,10.9,,,,
116.01,7.1,52.0,0.0,1,2,137.0,3649.6,10.9,,,,
117.01,3.2,50.5,0.0,1,2,49.0,1894.7,10.0,,,,
118.01,12.2,57.1,8.0,0,3,0.0,2759.2,10.5,,,,
119.01,5.2,49.5,0.0,1,2,100.0,3093.4,10.6,,,,
120.01,5.5,100.0,0.0,1,2,101.0,3599.1,11.0,54.0,1678.4,2.0,36.0
121.01,7.0,52.0,0.0,1,2,141.0,3652.8,11.0,,,,
122.01,3.4,47.5,0.0,1,2,48.0,1894.7,10.3,,,,
123.01,12.0,53.0,8.1,0,3,0.0,2759.7,10.7,,,,
124.01,5.3,95.0,0.0,1,2,100.0,3106.3,10.9,,,,
125.01,5.4,60.4,0.0,1,2,101.0,3608.2,11.3,,,,
126.01,7.4,90.9,0.0,1,2,151.0,3673.8,11.4,,,,
127.01,7.4,85.1,0.0,1,2,131.0,1894.7,10.3,,,,
128.01,11.8,45.5,8.0,0,3,0.0,2759.5,10.7,,,,
129.01,5.3,100.0,0.0,1,2,100.0,3091.9,10.9,,,,
130.01,5.5,84.8,0.0,1,2,100.0,3600.0,11.3,,,,
131.01,6.5,47.5,0.0,1,2,118.0,3646.6,11.3,,,,
132.01,2.6,44.4,0.0,1,2,42.0,1894.7,10.1,,,,
133.01,11.8,43.4,8.0,0,3,0.0,2758.8,10.6,,,,
134.01,5.3,75.0,0.0,1,2,100.0,3090.5,10.7,,,,
135.01,5.5,100.0,0.0,1,2,101.0,3595.2,11.2,,,,
136.01,6.6,78.2,0.0,1,2,131.0,3647.9,11.2,,,,
137.01,3.5,44.9,0.0,1,2,52.0,1894.7,10.1,,,,
138.01,11.8,46.1,6.0,0,3,0.0,2754.4,10.5,,,,
139.01,5.4,93.1,0.0,1,2,100.0,3088.3,10.7,,,,
140.01,5.5,83.0,0.0,1,2,101.0,3588.2,11.1,40.0,1577.8,1.0,39.0
141.01,7.4,52.0,0.0,1,2,142.0,3651.3,11.1,,,,
142.01,3.4,43.4,0.0,1,2,52.0,1894.7,10.4,,,,
143.01,12.0,48.0,8.0,0,3,0.0,2756.2,10.8,,,,
144.01,5.6,56.0,0.0,1,2,100.0,3104.5,10.9,,,,
145.01,5.5,56.6,0.0,1,2,100.0,3603.3,11.2,,,,
146.01,8.6,100.0,0.0,1,2,169.0,3675.4,11.3,,,,
147.02,7.7,90.9,0.0,1,2,151.0,3677.1,11.3,,,,
148.02,3.0,31.3,0.0,1,2,41.0,1894.7,10.4,,,,
149.02,11.5,36.0,7.9,0,3,0.0,2755.7,10.6,,,,
150.02,5.4,49.0,0.0,1,2,99.1,3088.6,10.8,,,,
151.02,5.5,100.0,0.0,1,2,102.0,3592.1,11.1,,,,
152.02,6.9,81.8,0.0,1,2,135.0,3649.1,11.1,,,,
153.02,3.2,44.0,0.0,1,2,51.0,1894.7,10.1,,,,
154.02,1.0,6.9,0.0,0,2,0.0,1894.7,10.1,,,,
155.02,11.8,38.4,8.0,0,2,1.0,1479.7,9.7,,,,
156.02,19.3,62.0,11.0,2,6,1081.7,3013.4,10.4,,,,
157.02,26.6,99.0,0.0,7,1,594.2,7480.9,13.3,,,,
158.02,31.8,100.0,0.0,7,1,724.0,9260.6,14.2,,,,
159.02,27.3,84.0,3.0,7,1,602.6,9623.3,14.5,,,,
160.02,27.5,100.0,0.0,7,1,599.4,9682.2,14.5,100.0,2406.8,1.0,85.0
161.02,26.9,100.0,0.0,7,1,597.6,9744.6,14.6,,,,
162.02,27.1,100.0,0.0,7,1,600.8,9808.7,14.6,,,,
163.02,26.7,100.0,0.0,7,1,598.6,9874.4,14.7,,,,
164.02,26.9,71.0,1.0,7,1,599.4,9929.8,14.7,,,,
165.02,26.7,100.0,0.0,7,1,596.8,9995.6,14.8,,,,
166.02,26.6,100.0,0.0,7,1,601.4,10070.0,14.9,,,,
167.02,26.8,100.0,0.0,7,1,598.8,10148.6,15.0,,,,
168.02,26.5,100.0,0.0,7,1,600.0,10229.4,15.0,,,,
169.02,28.5,100.0,0.0,7,1,603.0,10302.7,15.2,,,,
170.02,26.9,100.0,0.0,7,1,598.8,10367.2,15.2,,,,
171.02,26.8,100.0,0.0,7,1,598.2,10444.3,15.3,,,,
172.02,26.5,100.0,0.0,7,1,600.2,10523.4,15.3,,,,
173.02,26.7,100.0,0.0,7,1,598.8,10605.2,15.4,,,,
174.02,26.7,86.0,0.0,7,1,603.0,10669.3,15.5,,,,
175.02,26.6,100.0,0.0,7,1,598.4,10743.0,15.5,,,,
176.02,26.8,100.0,0.0,7,1,599.0,10817.9,15.6,,,,
177.02,26.9,100.0,0.0,7,1,600.0,10891.2,15.7,,,,
178.02,26.9,100.0,0.0,7,1,601.0,10953.5,15.7,,,,
179.02,26.8,98.0,0.0,7,1,599.9,11014.6,15.8,,,,
180.02,26.3,100.0,0.0,7,1,599.6,11082.5,15.9,100.0,2409.9,1.0,92.0
181.02,26.8,100.0,0.0,7,1,599.2,11153.4,15.9,,,,
182.02,26.6,100.0,0.0,7,1,597.8,11217.7,16.0,,,,
183.02,26.7,100.0,0.0,7,1,601.0,11287.5,16.1,,,,
184.02,26.6,100.0,0.0,7,1,596.0,11350.5,16.1,,,,
185.02,26.8,100.0,0.0,7,1,601.4,11394.9,16.2,,,,
186.02,26.6,92.0,0.0,7,1,597.0,11468.8,16.3,,,,
187.02,26.9,100.0,0.0,7,1,601.0,11530.1,16.3,,,,
188.02,26.4,100.0,0.0,7,1,598.0,11602.5,16.4,,,,
189.02,26.8,100.0,0.0,7,1,597.0,11671.8,16.5,,,,
190.02,26.4,100.0,0.0,7,1,601.0,11744.2,16.6,,,,
191.02,27.0,100.0,0.0,7,1,602.0,11822.6,16.6,,,,
192.02,26.6,100.0,0.0,7,1,599.4,11905.3,16.7,,,,
193.02,26.9,100.0,0.0,7,1,600.6,11960.2,16.8,,,,
194.02,26.7,100.0,0.0,7,1,598.8,12036.0,16.9,,,,
195.02,26.7,100.0,0.0,7,1,599.2,12114.0,17.0,,,,
196.02,26.6,100.0,0.0,7,1,602.0,12192.1,17.0,,,,
197.02,26.4,100.0,0.0,7,1,597.0,12271.3,17.1,,,,
198.02,26.6,100.0,0.0,7,1,602.0,12345.7,17.2,,,,
199.02,26.7,100.0,0.0,7,1,600.0,12418.8,17.3,,,,
200.02,26.5,100.0,0.0,7,1,599.4,12491.0,17.3,100.0,2407.9,1.0,92.0
201.02,28.8,73.7,3.0,7,1,599.0,12559.3,17.4,,,,
202.02,26.9,100.0,0.0,7,1,600.6,12603.1,17.4,,,,
203.02,26.6,100.0,0.0,7,1,597.8,12672.7,17.5,,,,
204.02,26.7,100.0,1.0,7,1,601.6,12744.7,17.6,,,,
205.02,26.6,100.0,0.0,7,1,598.4,12809.4,17.6,,,,
206.02,26.7,100.0,0.0,7,1,600.6,12872.4,17.7,,,,
207.02,26.8,100.0,0.0,7,1,594.8,12941.4,17.8,,,,
208.02,26.9,100.0,0.0,7,1,602.0,13010.4,17.8,,,,
209.02,26.5,100.0,0.0,7,1,598.0,13070.4,17.9,,,,
210.02,27.0,73.7,0.0,7,1,598.0,13129.8,17.9,,,,
211.02,26.9,100.0,0.0,7,1,598.4,13221.0,18.0,,,,
212.02,26.6,100.0,0.0,7,1,600.0,13292.4,18.1,,,,
213.02,26.5,100.0,0.0,7,1,599.6,13357.6,18.2,,,,
214.02,28.0,100.0,0.0,7,1,599.0,13410.3,18.2,,,,
215.02,26.5,100.0,0.0,7,1,601.0,13474.1,18.3,,,,
216.02,27.0,100.0,0.0,7,1,598.0,13551.1,18.4,,,,
217.02,26.8,100.0,0.0,7,1,600.0,13632.3,18.5,,,,
218.02,26.9,100.0,0.0,7,1,603.0,13709.6,18.6,,,,
219.02,26.8,100.0,0.0,7,1,601.0,13793.0,18.7,,,,
220.02,26.7,100.0,0.0,7,1,597.2,13871.6,18.7,100.0,2394.2,1.0,93.0
221.02,26.7,100.0,0.0,7,1,600.8,13943.0,18.8,,,,
222.02,26.6,100.0,0.0,7,1,599.0,14023.6,18.9,,,,
223.02,26.5,100.0,0.0,7,1,600.0,14094.5,18.9,,,,
224.02,26.7,100.0,0.0,7,1,601.0,14165.6,19.0,,,,
225.02,26.7,99.0,1.0,7,1,599.0,14236.3,19.1,,,,
226.02,27.2,100.0,0.0,7,1,600.4,14304.5,19.1,,,,
227.02,26.9,100.0,0.0,7,1,599.6,14376.7,19.2,,,,
228.02,27.9,100.0,1.0,7,1,599.0,14437.1,19.3,,,,
229.02,28.7,100.0,1.0,7,1,599.0,14473.5,19.4,,,,
230.02,26.6,100.0,0.0,7,1,597.0,14523.0,19.4,,,,
231.02,26.5,100.0,0.0,7,1,601.0,14589.1,19.5,,,,
232.02,26.4,100.0,0.0,7,1,596.0,14657.8,19.5,,,,
233.02,26.7,100.0,0.0,7,1,602.0,14723.4,19.6,,,,
234.02,26.7,100.0,0.0,7,1,597.0,14794.5,19.7,,,,
235.02,26.6,100.0,0.0,7,1,601.4,14865.0,19.8,,,,
236.02,26.8,100.0,0.0,7,1,596.2,14928.1,19.8,,,,
237.02,26.6,100.0,0.0,7,1,601.0,14995.1,19.9,,,,
238.02,27.0,100.0,0.0,7,1,600.0,15069.7,20.0,,,,
239.02,26.7,100.0,0.0,7,1,600.0,15147.5,20.1,,,,
240.02,26.7,100.0,0.0,7,1,600.0,15225.0,20.2,100.0,2407.9,1.0,93.0
241.02,26.8,100.0,0.0,7,1,598.0,15303.1,20.2,,,,
242.02,26.9,100.0,0.0,7,1,602.0,15378.9,20.3,,,,
243.02,26.9,100.0,0.0,7,1,600.0,15454.8,20.4,,,,
244.02,26.5,100.0,0.0,7,1,599.0,15536.4,20.5,,,,
245.02,26.6,100.0,0.0,7,1,600.0,15615.3,20.6,,,,
246.02,26.9,100.0,0.0,7,1,601.0,15675.5,20.6,,,,
247.02,26.6,100.0,0.0,7,1,600.4,15734.6,20.7,,,,
248.02,26.9,100.0,0.0,7,1,597.6,15771.0,20.7,,,,
249.02,26.6,87.0,0.0,7,1,600.4,15845.6,20.8,,,,
250.02,27.0,100.0,0.0,7,1,598.0,15918.3,20.9,,,,
251.02,28.1,99.0,1.0,7,1,601.2,15983.4,20.9,,,,
252.02,26.9,100.0,0.0,7,1,597.8,16312.3,21.3,,,,
253.02,44.0,100.0,15.8,7,3,600.0,18164.9,22.5,,,,
254.02,35.4,100.0,0.0,7,7,793.2,21012.3,22.7,,,,
255.02,28.0,100.0,0.0,7,11,626.0,23505.8,22.8,,,,
256.02,26.8,100.0,0.0,7,11,598.0,23565.7,22.8,,,,
257.02,26.8,100.0,0.0,7,11,600.0,23604.9,22.9,,,,
258.02,26.7,100.0,0.0,7,11,595.0,23853.6,23.2,,,,
259.02,40.2,100.0,9.0,7,15,596.4,26470.7,25.0,,,,
260.02,58.5,100.0,25.7,7,19,1345.0,30708.8,26.0,100.0,2408.1,1.0,94.0
261.03,37.1,100.0,0.0,7,28,833.0,36539.4,26.3,,,,
262.03,26.7,99.0,0.0,7,31,591.0,38368.3,26.2,,,,
263.03,26.7,98.0,1.0,7,31,592.0,38372.8,26.2,,,,
264.03,26.5,92.0,0.0,7,31,595.4,38375.6,26.2,,,,
265.03,26.6,88.0,0.0,7,31,592.6,38378.6,26.2,,,,
266.03,26.9,68.3,0.0,7,31,594.0,38382.9,26.2,,,,
267.03,26.7,100.0,0.0,7,31,596.0,38389.4,26.2,,,,
268.03,27.0,88.9,0.0,7,31,595.0,38395.8,26.2,,,,
269.03,28.1,71.0,3.0,7,31,594.0,38412.3,26.2,,,,
270.03,26.9,100.0,0.0,7,31,595.4,38432.2,26.2,,,,
271.03,26.6,100.0,0.0,7,31,595.0,38450.9,26.2,,,,
272.03,26.8,100.0,0.0,7,31,593.0,38472.1,26.3,,,,
273.03,26.7,100.0,0.0,7,31,598.0,38489.7,26.3,,,,
274.03,27.0,100.0,0.0,7,31,599.0,38503.3,26.3,,,,
275.03,26.3,100.0,0.0,7,31,599.0,38519.1,26.3,,,,
