t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,n_helper_procs,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,0.0,0.0,0.0,0,0,0.0,7.5,8.4,5.0,957.9,3.0,24.0
1.0,13.5,40.8,8.1,0,0,230.9,548.9,8.7,,,,
2.0,3.5,46.5,0.0,0,0,67.0,916.1,9.0,,,,
3.0,14.6,68.0,8.0,0,2,30.0,1881.0,9.5,,,,
4.0,14.1,74.5,8.0,0,3,44.0,2792.1,10.0,,,,
5.0,4.9,85.1,0.0,1,2,87.0,3041.3,10.2,,,,
6.0,3.7,70.3,0.0,1,2,71.0,3405.4,10.4,,,,
7.0,11.2,57.4,2.0,1,2,107.0,3694.2,10.8,,,,
8.0,6.1,51.0,0.0,1,2,111.8,3541.2,10.6,,,,
9.0,11.5,40.4,8.1,0,3,0.0,2793.8,10.1,,,,
10.0,5.8,79.0,0.0,1,2,100.8,3130.3,10.3,,,,
11.0,5.8,91.0,0.0,1,2,100.2,3635.1,10.7,,,,
12.0,5.8,53.0,0.0,1,2,132.0,3694.8,10.8,,,,
13.0,13.6,65.7,8.0,0,3,0.0,2790.8,10.1,,,,
14.0,5.6,76.5,0.0,1,2,100.0,3144.9,10.3,,,,
15.0,6.7,100.0,0.0,1,2,101.0,3634.2,10.9,,,,
16.0,7.9,71.3,0.0,1,2,147.0,3715.6,10.9,,,,
17.0,8.3,79.8,0.0,1,2,175.7,3717.7,10.9,,,,
18.0,13.2,45.0,8.0,0,3,0.0,2792.0,10.3,,,,
19.0,6.5,69.0,0.0,1,2,101.0,3129.0,10.3,,,,
20.0,6.2,82.8,0.0,1,2,100.0,3630.0,10.6,13.0,1546.7,4.0,23.0
21.0,6.4,100.0,0.0,1,2,146.0,3698.7,10.7,,,,
22.0,2.3,47.0,0.0,1,2,48.0,1941.6,10.0,,,,
23.0,10.5,41.6,8.0,0,3,0.0,2794.4,10.4,,,,
24.0,8.7,70.7,0.0,1,2,100.0,3130.8,10.6,,,,
25.0,4.9,82.0,0.0,1,2,100.0,3629.9,11.0,,,,
26.0,7.1,56.4,0.0,1,2,155.0,3699.4,11.0,,,,
27.0,3.4,44.4,0.0,1,2,69.0,1941.6,9.7,,,,
28.0,10.9,32.0,8.0,0,3,0.0,2790.7,10.1,,,,
29.0,4.5,92.0,0.0,1,2,99.0,3148.1,10.3,,,,
30.0,4.4,85.1,0.0,1,2,101.0,3650.5,10.7,,,,
31.0,7.2,71.0,0.0,1,2,164.0,3718.5,10.8,,,,
32.0,7.2,68.0,0.0,1,2,168.9,3719.8,10.8,,,,
33.0,12.1,74.7,8.0,0,3,0.0,2790.4,10.4,,,,
34.0,4.6,100.0,0.0,1,2,101.0,3131.7,10.6,,,,
35.0,4.8,84.0,0.0,1,2,101.0,3638.6,11.0,,,,
36.0,6.9,96.0,0.0,1,2,155.0,3699.9,11.1,,,,
37.0,3.0,55.6,0.0,1,2,52.0,1941.6,10.1,,,,
38.0,10.8,42.6,8.0,0,3,0.0,2790.9,10.4,,,,
39.0,4.3,93.0,0.0,1,2,100.0,3147.8,10.4,,,,
40.0,4.6,99.0,0.0,1,2,100.0,3648.0,10.7,12.0,2590.3,1.0,32.0
41.0,6.9,72.3,0.0,1,2,159.0,3716.0,10.8,,,,
42.0,8.0,74.0,0.0,1,2,182.9,3717.7,10.8,,,,
43.0,2.3,40.0,0.0,1,2,48.0,1941.6,9.7,,,,
44.0,10.7,34.3,8.0,0,3,0.0,2788.6,10.2,,,,
45.0,5.7,79.8,0.0,1,2,100.0,3130.1,10.3,,,,
46.0,4.7,100.0,0.0,1,2,101.0,3634.9,10.7,,,,
47.01,6.6,67.7,0.0,1,2,150.0,3699.8,10.7,,,,
48.01,2.3,42.0,0.0,1,2,50.0,1941.6,9.6,,,,
49.01,10.6,50.5,8.0,0,3,0.0,2790.0,10.1,,,,
50.01,4.7,87.9,0.0,1,2,100.0,3132.3,10.3,,,,
51.01,4.7,77.5,0.0,1,2,100.0,3640.0,10.7,,,,
52.01,6.6,71.0,0.0,1,2,151.6,3700.3,10.7,,,,
53.01,2.4,42.4,0.0,1,2,51.1,1941.6,9.7,,,,
54.01,10.5,41.0,8.0,0,3,0.0,2787.5,10.1,,,,
55.01,4.5,90.0,0.0,1,2,100.0,3146.6,10.2,,,,
56.01,4.8,72.3,0.0,1,2,101.0,3643.0,10.6,,,,
57.01,8.1,82.0,0.0,1,2,181.0,3719.5,10.7,,,,
58.01,7.5,66.7,0.0,1,2,168.9,3720.8,10.6,,,,
59.01,4.0,49.5,0.0,1,2,90.0,1941.6,9.6,,,,
60.01,0.3,2.0,0.0,0,2,0.0,1941.6,9.6,1.0,1170.6,1.0,9.0
61.01,10.5,33.0,8.0,0,2,0.0,1305.3,9.3,,,,
62.01,16.7,94.9,9.0,1,7,77.8,2933.9,9.9,,,,
63.01,25.7,78.2,0.0,7,1,597.2,7540.2,12.7,,,,
64.01,30.4,100.0,0.0,7,1,720.6,9256.3,13.6,,,,
65.01,23.6,87.0,0.0,7,1,559.0,9614.2,13.9,,,,
66.01,25.5,100.0,0.0,7,1,595.0,9668.2,13.9,,,,
67.01,25.4,100.0,0.0,7,1,601.0,9733.8,14.0,,,,
68.01,25.5,100.0,0.0,7,1,598.0,9797.9,14.0,,,,
69.01,25.2,100.0,0.0,7,1,599.0,9866.0,14.1,,,,
70.01,25.4,100.0,0.0,7,1,598.0,9923.2,14.1,,,,
71.01,25.6,100.0,0.0,7,1,601.6,9990.7,14.2,,,,
