t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,n_helper_procs,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,4.2,100.0,0.0,0,0,0.0,7.5,12.2,11.0,1468.8,4.0,33.0
1.0,21.6,66.3,8.3,0,0,270.9,921.8,12.8,,,,
2.0,16.2,56.6,8.0,0,2,17.0,1852.4,13.2,,,,
3.0,17.2,42.4,8.0,0,3,31.0,2769.4,13.7,,,,
4.0,7.2,43.0,0.0,1,2,99.0,3098.0,13.8,,,,
5.0,9.3,100.0,0.0,1,2,103.0,3601.3,14.2,,,,
6.0,11.0,88.9,0.0,1,2,139.9,3657.6,14.3,,,,
7.0,10.6,53.3,0.0,1,2,53.0,1898.2,13.1,,,,
8.0,18.9,100.0,8.1,0,3,0.0,2767.0,13.5,,,,
9.0,11.1,78.8,0.0,1,2,100.0,3095.0,13.7,,,,
10.0,8.4,100.0,0.0,1,2,102.0,3596.0,14.0,,,,
11.0,11.4,46.5,0.0,1,2,122.0,3651.5,14.1,,,,
12.0,8.4,50.0,0.0,1,2,55.0,1898.2,13.2,,,,
13.0,14.4,48.5,8.0,0,3,1.0,2769.5,13.5,,,,
14.0,9.5,53.5,0.0,1,2,100.9,3113.9,13.7,,,,
15.0,8.0,100.0,0.0,1,2,101.1,3614.8,13.9,,,,
16.0,10.8,70.0,0.0,1,2,154.0,3677.0,14.0,,,,
17.0,9.9,63.4,0.0,1,2,155.0,3679.0,14.0,,,,
18.0,15.4,58.6,7.2,0,3,0.0,2768.4,13.3,,,,
19.0,8.0,99.0,0.0,1,2,100.0,3098.3,13.5,,,,
20.0,7.4,55.0,0.0,1,2,101.0,3600.3,13.9,17.0,2071.9,3.0,37.0
21.0,10.5,59.0,0.0,1,2,137.0,3655.3,13.9,,,,
22.0,5.9,31.6,0.0,1,2,54.0,1898.2,13.2,,,,
23.0,14.1,35.4,8.0,0,3,0.0,2770.0,13.3,,,,
24.0,7.7,99.0,0.0,1,2,99.0,3098.3,13.4,,,,
25.0,7.8,100.0,0.0,1,2,103.0,3601.8,13.8,,,,
26.0,9.8,83.8,0.0,1,2,144.0,3659.8,13.9,,,,
27.0,5.7,48.0,0.0,1,2,54.0,1898.2,12.8,,,,
28.0,15.7,61.0,8.1,0,3,0.0,2764.8,13.2,,,,
29.0,7.6,98.0,0.0,1,2,100.0,3110.5,13.3,,,,
30.0,7.2,55.4,0.0,1,2,100.0,3604.2,13.8,,,,
31.0,9.7,79.2,0.0,1,2,156.0,3680.4,13.8,,,,
32.0,8.5,55.6,0.0,1,2,139.0,3527.4,13.8,,,,
33.0,14.4,56.0,8.1,0,3,0.0,2769.7,13.1,,,,
34.0,6.9,99.0,0.0,1,2,99.0,3098.4,13.3,,,,
35.0,7.5,96.0,0.0,1,2,101.0,3601.7,13.7,,,,
36.0,8.9,79.0,0.0,1,2,144.0,3659.4,13.7,,,,
37.0,5.9,58.6,0.0,1,2,54.0,1898.2,12.8,,,,
38.0,13.9,62.0,8.0,0,3,1.0,2770.0,13.3,,,,
39.0,7.6,100.0,0.0,1,2,100.0,3114.7,13.5,,,,
40.0,7.3,75.0,0.0,1,2,100.0,3616.7,13.9,15.0,2859.7,2.0,44.0
41.0,9.6,91.9,0.0,1,2,154.0,3678.2,13.9,,,,
42.0,9.7,79.0,0.0,1,2,152.0,3561.5,13.8,,,,
43.0,16.2,44.0,9.0,0,3,0.0,2766.3,13.3,,,,
44.0,7.4,99.0,0.0,1,2,99.2,3097.8,13.4,,,,
45.0,7.6,73.7,0.0,1,2,101.0,3598.1,13.8,,,,
46.0,9.2,62.0,0.0,1,2,140.0,3657.8,13.8,,,,
47.0,5.2,57.0,0.0,1,2,55.0,1898.2,12.9,,,,
48.0,13.6,54.0,7.2,0,3,0.0,2763.6,13.3,,,,
49.0,7.0,100.0,0.0,1,2,102.0,3094.4,13.5,,,,
50.0,7.5,99.0,0.0,1,2,100.0,3591.2,13.9,,,,
51.0,9.3,70.7,0.0,1,2,141.9,3657.5,13.9,,,,
