t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,n_helper_procs,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,4.2,100.0,0.0,0,0,0.0,7.5,12.2,10.0,1364.8,3.0,33.0
1.0,15.1,66.3,8.0,0,0,274.9,921.2,12.7,,,,
2.0,16.8,54.5,9.0,0,2,16.0,1851.1,13.2,,,,
3.0,15.8,60.0,8.0,0,3,29.0,2766.3,13.7,,,,
4.0,7.2,50.0,0.0,1,2,100.0,3094.9,13.9,,,,
5.0,7.2,100.0,0.0,1,2,102.0,3604.3,14.3,,,,
6.0,9.3,81.0,0.0,1,2,140.0,3654.9,14.3,,,,
7.0,9.0,67.0,0.0,1,2,49.0,1895.7,13.2,,,,
8.0,17.6,100.0,8.0,0,3,0.0,2767.1,13.7,,,,
9.0,11.7,99.0,0.0,1,2,101.0,3095.4,13.9,,,,
10.0,12.2,100.0,0.0,1,2,100.0,3596.5,14.8,,,,
11.0,44.3,81.8,35.4,1,2,119.0,3648.4,15.1,,,,
12.0,11.4,99.0,0.0,1,2,66.0,1895.7,14.0,,,,
13.0,17.4,61.6,8.0,0,3,0.0,2762.1,14.2,,,,
14.0,10.5,100.0,0.0,1,2,100.0,3106.7,14.3,,,,
15.0,11.3,100.0,0.0,1,2,101.0,3593.5,14.7,,,,
16.0,10.0,76.8,0.0,1,2,154.0,3673.5,14.2,,,,
17.0,10.8,72.3,0.0,1,2,154.0,3675.6,14.2,,,,
18.0,3.9,35.4,0.0,1,2,32.0,1895.7,13.0,,,,
19.0,14.1,46.5,8.0,0,3,0.0,2768.3,13.4,,,,
20.0,7.0,73.7,0.0,1,2,100.0,3095.3,13.6,9.0,1543.2,2.0,39.0
21.0,9.4,54.0,0.0,1,2,101.0,3603.9,14.1,,,,
22.0,7.5,48.5,0.0,1,2,111.0,3649.7,14.2,,,,
23.0,4.9,50.0,0.0,1,2,47.0,1895.7,13.1,,,,
24.0,13.5,35.0,8.0,0,3,0.0,2766.9,13.5,,,,
25.0,6.8,83.0,0.0,1,2,100.0,3094.8,13.7,,,,
26.0,7.3,96.0,0.0,1,2,101.0,3604.0,14.1,,,,
27.0,8.8,50.0,0.0,1,2,145.0,3655.8,14.2,,,,
28.0,4.4,38.0,0.0,1,2,51.0,1895.7,13.3,,,,
29.0,14.8,57.0,8.0,0,3,1.0,2766.0,13.8,,,,
30.0,6.7,98.0,0.0,1,2,100.0,3110.9,13.9,,,,
31.0,7.6,99.0,0.0,1,2,101.0,3609.0,14.3,,,,
32.0,9.0,87.9,0.0,1,2,154.0,3677.8,14.4,,,,
33.0,9.3,92.9,0.0,1,2,140.0,3524.5,14.3,,,,
34.0,13.5,43.0,7.1,0,3,0.0,2766.5,13.6,,,,
35.0,6.8,49.0,0.0,1,2,99.0,3094.6,13.7,,,,
36.0,7.2,84.0,0.0,1,2,100.0,3597.9,14.1,,,,
37.0,9.0,52.5,0.0,1,2,144.0,3655.4,14.2,,,,
38.0,6.8,34.7,0.0,1,2,56.0,1895.7,13.3,,,,
39.0,15.1,52.5,8.0,0,3,0.0,2758.2,13.6,,,,
40.0,10.4,98.0,0.0,1,2,100.0,3106.2,13.8,10.0,1704.5,3.0,33.0
41.0,8.8,100.0,0.0,1,2,101.0,3570.3,14.2,,,,
42.0,9.9,77.7,0.0,1,2,146.7,3675.2,14.3,,,,
43.0,10.0,60.6,0.0,1,2,147.2,3522.1,14.3,,,,
44.0,14.5,33.0,8.0,0,3,0.0,2767.0,13.7,,,,
45.0,9.0,95.0,0.0,1,2,101.0,3095.1,13.7,,,,
46.0,7.7,95.0,0.0,1,2,99.7,3598.4,14.1,,,,
47.0,9.4,60.6,0.0,1,2,141.8,3655.3,14.1,,,,
48.0,5.0,31.6,0.0,1,2,54.2,1895.7,13.5,,,,
49.0,19.2,55.0,8.0,0,3,0.0,2763.7,13.9,,,,
