t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,n_helper_procs,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,4.2,100.0,0.0,0,0,0.0,7.6,3.9,2.0,502.6,0.0,14.0
1.0,12.2,88.9,8.0,0,0,292.9,927.9,4.4,,,,
2.0,12.6,85.0,8.0,0,2,5.0,1878.3,5.0,,,,
3.0,49.4,81.0,20.0,0,12,10.0,10581.7,9.9,,,,
4.0,42.0,100.0,0.0,10,2,997.0,12357.0,11.1,,,,
5.0,48.7,100.0,0.0,10,2,1164.0,14382.1,12.2,,,,
6.0,42.0,100.0,0.0,10,2,1003.0,14674.0,12.4,,,,
7.0,41.9,100.0,0.0,10,2,1000.0,14790.1,12.6,,,,
8.0,41.8,100.0,0.0,10,2,997.0,14877.1,12.6,,,,
9.0,41.8,100.0,0.0,10,2,998.0,14972.3,12.7,,,,
10.0,42.1,100.0,0.0,10,2,997.0,15060.2,12.8,,,,
11.0,41.7,100.0,0.0,10,2,997.0,15151.4,12.9,,,,
12.0,41.9,100.0,0.0,10,2,998.0,15260.8,13.0,,,,
13.0,41.9,100.0,0.0,10,2,1003.0,15359.2,13.2,,,,
14.0,41.8,100.0,0.0,10,2,995.0,15465.5,13.3,,,,
15.0,41.9,100.0,0.0,10,2,1003.0,15578.2,13.4,,,,
16.0,41.7,100.0,0.0,10,2,998.0,15684.2,13.5,,,,
17.0,42.0,100.0,0.0,10,2,1000.0,15783.6,13.6,,,,
18.0,41.8,100.0,0.0,10,2,1000.0,15894.2,13.7,,,,
19.0,41.9,100.0,0.0,10,2,1000.9,16006.7,13.9,,,,
20.0,41.9,100.0,0.0,10,2,998.0,16115.1,14.0,100.0,2673.8,0.0,83.0
21.0,41.9,100.0,0.0,10,2,998.0,16220.1,14.1,,,,
22.0,41.9,100.0,0.0,10,2,1003.0,16323.6,14.2,,,,
23.0,41.8,100.0,0.0,10,2,999.0,16428.8,14.3,,,,
24.0,41.9,100.0,0.0,10,2,998.0,16534.0,14.4,,,,
25.0,41.9,100.0,0.0,10,2,999.0,16634.5,14.5,,,,
26.0,41.7,100.0,0.0,10,2,1001.0,16725.2,14.6,,,,
27.0,41.8,100.0,0.0,10,2,997.0,16817.3,14.7,,,,
28.0,41.8,100.0,0.0,10,2,1001.0,16914.4,14.8,,,,
29.0,42.1,100.0,0.0,10,2,995.0,17014.9,14.9,,,,
30.0,41.9,100.0,0.0,10,2,999.0,17113.7,15.0,,,,
31.0,41.8,100.0,0.0,10,2,1000.0,17215.0,15.1,,,,
32.0,42.2,100.0,0.0,10,2,1003.0,17308.0,15.2,,,,
33.0,41.7,100.0,0.0,10,2,999.0,17400.6,15.3,,,,
34.0,41.8,100.0,0.0,10,2,994.0,17485.6,15.3,,,,
35.0,41.9,100.0,0.0,10,2,1000.0,17580.6,15.4,,,,
36.0,41.8,100.0,0.0,10,2,999.0,17679.8,15.6,,,,
37.0,41.9,100.0,0.0,10,2,995.0,17784.5,15.7,,,,
38.0,41.9,100.0,0.0,10,2,1000.0,17896.0,15.8,,,,
39.0,41.8,100.0,0.0,10,2,1001.0,18004.6,15.9,,,,
40.0,41.8,100.0,0.0,10,2,999.0,18112.0,16.0,100.0,2671.8,0.0,83.0
