t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,n_helper_procs,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,0.0,0.0,0.0,0,0,0.0,7.7,3.9,1.0,502.6,0.0,13.0
1.0,12.3,63.6,8.0,0,0,292.5,928.3,4.4,,,,
2.0,12.5,82.8,8.1,0,2,6.0,1878.1,5.0,,,,
3.0,49.0,87.1,21.0,0,12,11.0,10570.7,10.0,,,,
4.0,41.9,100.0,0.0,10,2,997.0,12423.9,11.2,,,,
5.0,48.3,100.0,0.0,10,2,1156.2,14372.6,12.3,,,,
6.0,42.1,100.0,0.0,10,2,998.0,14680.4,12.5,,,,
7.0,41.9,100.0,0.0,10,2,999.0,14794.2,12.6,,,,
8.0,41.7,100.0,0.0,10,2,996.0,14883.1,12.7,,,,
9.0,41.8,100.0,0.0,10,2,1000.0,14976.9,12.8,,,,
10.0,41.8,100.0,0.0,10,2,997.0,15064.6,12.8,,,,
11.0,42.0,100.0,0.0,10,2,997.0,15155.5,12.9,,,,
12.0,41.8,100.0,0.0,10,2,995.0,15264.1,13.0,,,,
13.0,42.1,100.0,0.0,10,2,1001.0,15358.5,13.2,,,,
14.0,41.8,100.0,0.0,10,2,1000.0,15470.6,13.3,,,,
15.0,41.8,100.0,0.0,10,2,1001.0,15579.9,13.4,,,,
16.0,41.9,100.0,0.0,10,2,999.0,15683.5,13.5,,,,
17.0,42.1,100.0,0.0,10,2,1000.0,15787.5,13.6,,,,
18.0,42.0,100.0,0.0,10,2,999.0,15896.1,13.7,,,,
19.0,41.8,100.0,0.0,10,2,999.0,16009.5,13.8,,,,
20.0,41.8,100.0,0.0,10,2,998.0,16113.4,13.9,100.0,2673.8,0.0,85.0
21.0,41.7,100.0,0.0,10,2,1000.0,16218.5,14.1,,,,
22.0,41.9,100.0,0.0,10,2,998.0,16324.3,14.2,,,,
23.0,41.9,100.0,0.0,10,2,999.0,16427.4,14.3,,,,
24.0,41.9,100.0,0.0,10,2,1001.0,16533.8,14.4,,,,
25.0,41.9,100.0,0.0,10,2,998.0,16630.1,14.5,,,,
26.0,41.9,100.0,0.0,10,2,996.0,16727.8,14.6,,,,
27.0,41.8,100.0,0.0,10,2,1002.0,16817.8,14.6,,,,
28.0,42.0,100.0,0.0,10,2,1000.0,16915.3,14.7,,,,
29.0,41.9,100.0,0.0,10,2,998.0,17014.7,14.9,,,,
30.0,41.9,100.0,0.0,10,2,996.0,17112.2,15.0,,,,
31.0,41.8,100.0,0.0,10,2,1001.0,17209.0,15.1,,,,
32.0,41.8,100.0,0.0,10,2,995.0,17300.8,15.2,,,,
33.0,41.9,100.0,0.0,10,2,997.0,17398.9,15.3,,,,
34.0,41.9,100.0,0.0,10,2,1001.0,17485.5,15.3,,,,
35.0,41.9,100.0,0.0,10,2,997.0,17592.2,15.4,,,,
36.0,41.8,100.0,0.0,10,2,999.2,17687.3,15.5,,,,
37.0,41.8,100.0,0.0,10,2,1000.0,17786.9,15.7,,,,
38.0,41.9,100.0,0.0,10,2,995.0,17897.3,15.8,,,,
39.0,41.9,100.0,0.0,10,2,1001.0,18006.1,15.9,,,,
40.0,41.9,100.0,0.0,10,2,998.0,18111.4,16.0,100.0,2673.8,0.0,85.0
41.0,41.8,100.0,0.0,10,2,998.0,18214.6,16.1,,,,
42.0,41.9,100.0,0.0,10,2,1003.0,18322.8,16.2,,,,
