t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,n_helper_procs,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,4.2,100.0,0.0,0,0,0.0,7.3,3.9,8.0,487.6,0.0,29.0
1.0,12.3,99.0,8.0,0,0,292.9,927.7,4.4,,,,
2.0,12.4,99.0,8.0,0,2,7.0,1877.1,5.0,,,,
3.0,48.7,87.0,19.2,0,12,11.0,10555.0,9.9,,,,
4.0,41.9,100.0,0.0,10,2,997.0,12324.8,11.1,,,,
5.0,47.9,100.0,0.0,10,2,1137.6,14374.0,12.2,,,,
6.0,42.0,100.0,0.0,10,2,1005.0,14681.0,12.5,,,,
7.0,41.8,100.0,0.0,10,2,995.0,14791.4,12.6,,,,
8.0,41.8,100.0,0.0,10,2,998.0,14882.2,12.7,,,,
9.0,42.0,100.0,0.0,10,2,1000.0,14978.3,12.8,,,,
10.0,41.9,100.0,0.0,10,2,995.0,15061.5,12.9,,,,
11.0,41.9,100.0,0.0,10,2,1000.0,15155.3,12.9,,,,
12.0,41.9,100.0,0.0,10,2,997.0,15261.7,13.1,,,,
13.0,41.8,100.0,0.0,10,2,998.0,15356.2,13.2,,,,
14.0,41.8,100.0,0.0,10,2,1001.0,15466.4,13.3,,,,
15.0,42.0,100.0,0.0,10,2,999.0,15579.4,13.4,,,,
16.0,41.8,100.0,0.0,10,2,999.6,15683.9,13.5,,,,
17.0,41.7,100.0,0.0,10,2,1000.0,15789.4,13.6,,,,
18.0,41.8,100.0,0.0,10,2,1000.0,15897.4,13.8,,,,
19.0,41.9,100.0,0.0,10,2,999.0,16007.7,13.9,,,,
20.0,41.8,100.0,0.0,10,2,1000.0,16116.2,14.0,100.0,2658.7,0.0,84.0
21.0,41.9,100.0,0.0,10,2,1001.0,16222.8,14.1,,,,
22.0,41.7,100.0,0.0,10,2,1000.0,16331.0,14.2,,,,
23.0,42.2,100.0,0.0,10,2,995.0,16432.0,14.3,,,,
24.0,42.2,100.0,0.0,10,2,1001.0,16536.8,14.4,,,,
25.0,41.8,100.0,0.0,10,2,999.0,16634.7,14.5,,,,
26.0,42.0,100.0,0.0,10,2,1001.0,16727.9,14.6,,,,
27.0,41.9,100.0,0.0,10,2,996.0,16822.8,14.7,,,,
28.0,41.8,100.0,0.0,10,2,1002.0,16918.8,14.8,,,,
29.0,41.9,100.0,0.0,10,2,998.0,17015.9,14.9,,,,
30.0,41.9,100.0,0.0,10,2,994.0,17113.6,15.0,,,,
31.0,41.8,100.0,0.0,10,2,1002.0,17212.4,15.1,,,,
32.0,41.8,100.0,0.0,10,2,997.0,17309.3,15.2,,,,
33.0,41.8,100.0,0.0,10,2,1002.0,17401.2,15.3,,,,
34.0,41.9,100.0,0.0,10,2,999.0,17495.3,15.4,,,,
35.0,41.9,100.0,0.0,10,2,997.0,17596.3,15.5,,,,
36.0,41.9,100.0,0.0,10,2,999.8,17691.5,15.6,,,,
37.0,41.8,100.0,0.0,10,2,997.0,17795.4,15.7,,,,
38.0,42.0,100.0,0.0,10,2,1000.0,17901.3,15.8,,,,
39.0,42.0,100.0,0.0,10,2,1001.0,18008.2,15.9,,,,
40.0,41.8,100.0,0.0,10,2,995.0,18117.0,16.0,100.0,2656.7,0.0,84.0
41.0,42.0,100.0,0.0,10,2,1002.0,18222.0,16.2,,,,
42.0,41.8,100.0,0.0,10,2,1000.0,18324.9,16.3,,,,
43.0,41.6,100.0,0.0,10,2,1000.0,18433.5,16.4,,,,
44.0,41.9,100.0,0.0,10,2,1000.0,18531.2,16.5,,,,
45.0,41.9,100.0,0.0,10,2,1000.0,18638.2,16.6,,,,
46.0,41.8,100.0,0.0,10,2,999.0,18748.3,16.7,,,,
47.0,41.9,100.0,0.0,10,2,1000.0,18853.8,16.8,,,,
48.0,41.8,100.0,0.0,10,2,997.0,18961.8,16.9,,,,
49.0,41.8,100.0,0.0,10,2,999.0,19062.0,17.0,,,,
50.01,42.0,100.0,0.0,10,2,998.0,19158.2,17.1,,,,
51.01,41.8,100.0,0.0,10,2,1000.0,19247.6,17.2,,,,
52.01,41.8,100.0,0.0,10,2,999.0,19333.3,17.3,,,,
53.01,41.8,100.0,0.0,10,2,998.0,19429.7,17.4,,,,
54.01,42.3,100.0,0.0,10,2,1000.0,19523.0,17.5,,,,
55.01,41.8,100.0,0.0,10,2,995.0,19625.6,17.6,,,,
56.01,41.8,100.0,0.0,10,2,1003.0,19726.8,17.7,,,,
57.01,41.8,100.0,0.0,10,2,998.0,19828.5,17.8,,,,
58.01,38.6,100.0,0.0,10,2,910.0,19930.7,17.9,,,,
59.01,37.9,100.0,0.0,10,2,906.0,18181.8,16.7,,,,
60.01,37.8,100.0,0.0,9,2,899.0,18274.1,16.8,100.0,2444.0,0.0,83.0
61.01,37.6,100.0,0.0,9,2,896.0,18371.0,16.9,,,,
62.01,37.6,100.0,0.0,9,2,901.0,18475.6,17.0,,,,
63.01,37.8,100.0,0.0,9,2,899.0,18575.2,17.1,,,,
64.01,37.7,100.0,0.0,9,2,896.1,18666.5,17.2,,,,
65.01,37.9,100.0,0.0,9,2,901.0,18750.9,17.3,,,,
66.01,37.7,100.0,0.0,9,2,899.0,18851.8,17.4,,,,
67.01,37.6,100.0,0.0,9,2,900.0,18955.4,17.5,,,,
68.01,37.9,100.0,0.0,9,2,900.0,19053.5,17.6,,,,
69.01,37.7,100.0,0.0,9,2,900.0,19159.3,17.7,,,,
70.01,37.7,100.0,0.0,9,2,899.0,19261.6,17.8,,,,
71.01,37.7,100.0,0.0,9,2,899.0,19358.0,17.9,,,,
72.01,37.8,100.0,0.0,9,2,897.0,19448.4,18.0,,,,
73.01,37.6,100.0,0.0,9,2,899.0,19548.7,18.1,,,,
74.01,37.7,100.0,0.0,9,2,901.0,19647.7,18.2,,,,
75.01,37.7,100.0,0.0,9,2,899.0,19749.5,18.3,,,,
76.01,37.6,100.0,0.0,9,2,896.1,19847.0,18.4,,,,
77.01,37.7,100.0,0.0,9,2,900.0,19939.1,18.5,,,,
78.01,37.8,100.0,0.0,9,2,900.0,20038.4,18.6,,,,
79.01,37.6,100.0,0.0,9,2,899.0,20131.4,18.7,,,,
80.01,37.7,100.0,0.0,9,2,897.1,20204.9,18.8,100.0,2444.0,0.0,83.0
81.01,37.6,100.0,0.0,9,2,900.0,20298.7,18.9,,,,
82.01,37.6,100.0,0.0,9,2,897.0,20391.9,19.0,,,,
83.01,37.8,100.0,0.0,9,2,901.0,20485.3,19.1,,,,
84.01,38.0,100.0,0.0,9,2,898.0,20590.8,19.2,,,,
85.01,37.7,100.0,0.0,9,2,900.0,20687.6,19.3,,,,
86.01,37.6,100.0,0.0,9,2,898.0,20787.1,19.4,,,,
87.01,37.7,100.0,0.0,9,2,899.0,20875.3,19.5,,,,
88.01,37.6,100.0,0.0,9,2,902.0,20969.6,19.6,,,,
89.01,38.4,100.0,0.0,9,3,898.0,21397.6,19.9,,,,
90.01,46.9,100.0,8.1,9,3,1116.9,22212.6,20.5,,,,
91.01,41.0,100.0,0.0,9,7,980.0,24864.3,20.7,,,,
92.01,38.6,100.0,0.0,9,8,894.6,25291.2,21.1,,,,
93.01,46.8,100.0,8.0,9,8,1120.1,26085.5,21.6,,,,
94.01,41.1,100.0,0.0,9,12,979.0,28731.4,21.8,,,,
95.01,37.8,100.0,0.0,9,12,896.0,28812.3,21.9,,,,
96.01,37.7,100.0,0.0,9,12,900.0,28894.8,21.9,,,,
97.01,37.6,100.0,0.0,9,12,896.0,28981.0,22.0,,,,
98.01,37.6,100.0,0.0,9,12,898.0,29039.5,22.1,,,,
99.01,37.6,100.0,0.0,9,12,896.9,29092.2,22.1,,,,
