t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,n_helper_procs,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,6.2,50.0,0.0,0,0,0.0,8.2,8.0,6.0,1224.6,3.0,19.0
1.0,13.0,66.0,8.1,0,0,279.9,926.9,8.6,,,,
2.0,12.9,53.5,5.1,0,2,8.0,1869.9,9.2,,,,
3.0,12.8,58.0,8.0,0,3,17.0,2780.6,9.7,,,,
4.0,15.8,97.0,8.0,1,3,96.0,4002.8,10.4,,,,
5.0,23.5,86.0,9.0,2,3,266.0,5545.5,11.4,,,,
6.0,27.4,100.0,8.0,3,3,389.9,7291.1,12.5,,,,
7.0,34.7,99.0,8.9,4,3,576.4,9064.3,13.7,,,,
8.0,40.5,90.0,9.0,5,3,724.0,10907.5,14.9,,,,
9.0,49.2,97.0,8.9,6,3,961.5,12513.5,16.0,,,,
10.0,55.1,99.0,8.1,8,2,2345.8,14254.2,17.1,,,,
11.0,63.6,100.0,13.9,8,3,1340.6,15918.6,18.2,,,,
12.0,62.5,100.0,1.0,9,2,1492.3,16511.5,18.6,,,,
13.0,65.2,100.0,0.0,9,2,1549.0,17338.6,19.3,,,,
14.0,71.0,100.0,1.0,9,2,1694.0,17647.2,19.6,,,,
15.0,69.5,100.0,0.0,9,2,1656.0,17828.2,19.7,,,,
16.0,72.8,100.0,1.0,9,2,1738.0,17874.0,19.8,,,,
17.0,73.0,100.0,0.0,9,2,1736.0,17927.2,19.8,,,,
18.0,74.4,100.0,1.0,9,2,1776.1,17933.7,19.8,,,,
19.0,72.9,100.0,2.0,9,2,1735.0,17934.1,19.8,,,,
20.0,68.8,100.0,1.0,9,2,1647.0,17934.5,19.8,100.0,15240.2,5.0,122.0
21.0,72.4,100.0,0.0,9,2,1730.7,17935.2,19.8,,,,
22.0,73.8,100.0,0.0,9,2,1764.5,17935.6,19.8,,,,
23.0,72.9,100.0,1.0,9,2,1734.0,17935.8,19.8,,,,
24.0,73.9,100.0,1.0,9,2,1766.0,17940.9,19.8,,,,
25.0,72.1,100.0,2.0,9,2,1725.5,17941.8,19.8,,,,
26.0,71.8,100.0,1.0,9,2,1712.0,17942.0,19.8,,,,
27.0,72.6,100.0,2.0,9,2,1732.0,17942.4,19.8,,,,
28.0,73.2,100.0,16.8,9,2,1746.1,17942.7,19.8,,,,
29.0,74.5,100.0,0.0,9,2,1776.0,17942.7,19.8,,,,
30.0,73.1,100.0,2.0,9,2,1746.0,17944.4,19.8,,,,
31.0,73.3,100.0,0.0,9,2,1752.0,17944.8,19.8,,,,
32.0,74.8,100.0,11.0,9,2,1791.0,17944.8,19.8,,,,
33.0,72.9,100.0,2.0,9,2,1727.0,17944.8,19.8,,,,
34.0,73.9,100.0,7.0,9,2,1724.0,17945.0,19.8,,,,
35.0,73.8,100.0,2.0,9,2,1761.1,17945.7,19.8,,,,
36.0,74.8,100.0,2.0,9,2,1783.0,17946.1,19.8,,,,
37.0,73.4,100.0,4.0,9,2,1742.0,17946.1,19.8,,,,
38.0,70.2,100.0,1.0,9,2,1669.0,17946.1,19.8,,,,
39.0,73.3,100.0,3.0,9,2,1737.1,17946.1,19.8,,,,
40.0,74.4,100.0,9.0,9,2,1766.0,17946.1,19.8,100.0,15259.2,5.0,124.0
41.0,72.8,100.0,1.0,9,2,1733.0,17946.1,19.7,,,,
42.0,74.8,100.0,20.8,9,2,1769.0,17946.3,19.7,,,,
43.0,74.4,100.0,10.0,9,2,1738.0,17946.5,19.7,,,,
44.0,75.0,100.0,2.0,9,2,1764.0,17946.5,19.7,,,,
45.0,74.9,100.0,1.0,9,2,1766.0,17946.7,19.7,,,,
46.0,73.9,100.0,13.1,9,2,1683.0,17946.7,19.7,,,,
47.0,73.5,100.0,5.0,9,2,1729.2,17946.7,19.7,,,,
48.0,71.9,100.0,0.0,9,2,1722.0,17946.7,19.7,,,,
49.0,73.6,100.0,6.1,9,2,1758.7,17946.9,19.7,,,,
50.0,74.2,100.0,1.0,9,2,1769.5,17947.1,19.7,,,,
51.0,75.0,100.0,2.0,9,2,1791.0,17947.1,19.7,,,,
52.0,73.2,100.0,5.0,9,2,1737.0,17947.1,19.7,,,,
53.0,73.8,100.0,2.0,9,2,1761.0,17947.1,19.7,,,,
54.0,73.5,100.0,2.0,9,2,1752.0,17947.2,19.7,,,,
55.0,73.8,100.0,1.0,9,2,1758.0,17947.4,19.7,,,,
56.0,72.9,100.0,0.0,9,2,1746.0,17947.4,19.7,,,,
57.0,71.1,100.0,1.0,9,2,1690.8,17947.4,19.7,,,,
58.0,74.1,100.0,10.8,9,2,1775.0,17947.4,19.7,,,,
59.0,74.5,100.0,1.0,9,2,1776.0,17947.4,19.7,,,,
