t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,n_helper_procs,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,16.7,100.0,0.0,0,0,0.0,7.4,14.0,100.0,3362.8,5.0,85.0
1.0,80.5,100.0,23.5,0,0,202.7,873.0,14.5,,,,
2.0,79.2,99.0,21.2,0,2,77.1,1123.1,8.6,,,,
3.0,12.7,55.0,6.0,2,1,6044.4,1955.4,8.0,,,,
4.0,8.2,67.7,2.0,2,1,151.8,2829.9,8.6,,,,
5.0,5.8,38.0,0.0,2,1,101.0,3344.5,8.9,,,,
6.0,6.8,99.0,0.0,2,1,119.0,3645.7,9.2,,,,
7.0,7.0,81.0,0.0,2,1,136.0,3493.7,9.1,,,,
8.0,7.4,17.3,4.0,2,1,5507.1,1917.3,8.0,,,,
9.0,9.1,57.4,3.0,2,1,167.7,2815.7,8.5,,,,
10.0,5.6,84.8,0.0,2,1,101.0,3336.1,8.9,,,,
11.0,7.6,57.4,0.0,2,1,132.0,3621.8,9.1,,,,
12.0,7.5,61.0,0.0,2,1,152.0,3665.7,9.2,,,,
13.0,8.7,49.5,5.0,2,1,4883.1,1947.7,8.1,,,,
14.0,9.6,91.8,3.0,2,1,172.3,2825.0,8.6,,,,
15.0,5.5,95.0,0.0,2,1,102.0,3344.1,8.9,,,,
16.0,6.2,57.0,0.0,2,1,102.0,3635.6,9.2,,,,
17.0,9.1,68.0,3.0,2,1,5256.9,1912.9,8.3,,,,
18.0,9.8,69.7,4.0,2,1,201.3,2817.0,8.6,,,,
19.0,6.4,83.0,0.0,2,1,101.0,3321.3,8.9,,,,
20.0,6.4,47.5,0.0,2,1,116.0,3645.5,9.2,71.0,1663.7,5.0,47.0
21.0,7.1,50.5,0.0,2,1,135.0,3493.9,9.1,,,,
22.0,4.9,14.1,3.0,1,2,0.0,1912.8,8.0,,,,
23.0,11.2,70.0,5.0,2,1,215.3,2814.1,8.5,,,,
24.0,6.6,56.1,0.0,2,1,100.0,3336.2,8.9,,,,
25.0,7.6,55.4,0.0,2,1,129.0,3619.8,9.1,,,,
26.0,9.5,57.6,0.0,2,1,171.0,3666.2,9.1,,,,
27.0,8.8,71.0,3.0,1,2,0.0,1917.1,8.3,,,,
28.0,10.9,56.6,5.1,2,1,220.3,2815.1,8.5,,,,
29.0,6.7,58.6,0.0,2,1,100.0,3339.6,8.9,,,,
30.0,6.1,49.5,0.0,2,1,102.0,3634.9,9.1,,,,
31.0,9.2,41.6,2.0,2,1,4841.0,1912.7,8.1,,,,
32.0,12.1,58.4,5.1,2,1,231.0,2813.5,8.5,,,,
33.0,6.7,63.0,0.0,2,1,99.0,3302.0,8.9,,,,
34.0,6.8,73.3,0.0,2,1,111.0,3641.3,9.1,,,,
35.0,6.8,40.0,0.0,2,1,125.0,1887.2,8.2,,,,
36.01,4.6,15.7,2.0,2,1,4652.7,1913.9,8.1,,,,
37.01,12.6,83.0,6.1,2,1,243.0,2813.9,8.7,,,,
38.01,5.8,43.0,0.0,2,1,99.0,3302.0,8.9,,,,
39.01,6.9,72.0,0.0,2,1,114.0,3644.9,9.2,,,,
40.01,7.9,72.7,0.0,2,1,131.0,3452.9,9.2,8.0,1230.2,3.0,18.0
41.01,4.0,10.9,1.0,2,1,3861.1,1911.6,8.4,,,,
42.01,13.1,59.0,7.0,2,1,260.5,2811.5,8.9,,,,
43.01,5.7,68.0,0.0,2,1,100.0,3317.7,9.2,,,,
44.01,7.2,46.5,0.0,2,1,121.0,3619.8,9.3,,,,
45.01,9.8,67.0,0.0,2,1,172.0,3665.5,9.3,,,,
46.01,8.0,85.9,0.0,2,1,5253.8,1910.5,8.3,,,,
47.01,13.8,59.0,8.0,2,1,275.5,2811.9,8.6,,,,
48.01,5.3,93.9,0.0,2,1,99.0,3302.0,9.0,,,,
49.01,7.0,87.1,0.0,2,1,118.0,3644.5,9.2,,,,
50.01,7.8,53.0,0.0,2,1,130.0,3492.2,9.2,,,,
51.01,2.5,9.1,0.0,1,2,0.0,1905.3,8.2,,,,
52.01,13.9,85.0,6.1,2,1,287.0,2809.2,8.7,,,,
53.01,5.7,68.6,0.0,2,1,100.0,3301.4,8.9,,,,
54.01,6.9,97.0,0.0,2,1,123.0,3645.9,9.2,,,,
55.01,7.4,57.6,0.0,2,1,136.0,3518.4,9.2,,,,
56.01,2.6,21.0,0.0,1,2,0.0,1902.2,8.2,,,,
57.01,13.9,83.0,6.1,2,1,284.0,2808.2,8.7,,,,
58.01,5.4,69.3,0.0,2,1,100.0,3301.5,9.1,,,,
59.01,6.9,71.7,0.0,2,1,118.0,3646.0,9.3,,,,
60.01,7.0,38.4,0.0,2,1,135.0,3492.2,9.2,14.0,1402.6,5.0,25.0
61.01,3.2,17.2,0.0,1,2,1.0,1899.0,8.1,,,,
62.01,14.1,53.1,8.1,2,1,291.0,2810.0,8.6,,,,
63.01,5.8,72.3,0.0,2,1,100.0,3317.8,8.9,,,,
64.01,7.1,54.5,0.0,2,1,114.0,3620.5,9.2,,,,
65.01,8.7,59.0,0.0,2,1,171.0,3666.0,9.2,,,,
66.01,8.5,75.0,0.0,2,1,144.0,1887.2,8.4,,,,
67.01,2.5,8.9,0.0,1,2,0.0,1896.8,8.0,,,,
68.01,13.5,67.0,5.1,2,1,287.1,2807.6,8.6,,,,
69.01,5.9,65.7,0.0,2,1,100.0,3295.9,8.9,,,,
70.01,7.8,64.4,0.0,2,1,130.0,3622.3,9.1,,,,
71.01,8.5,77.0,0.0,2,1,165.0,3668.4,9.2,,,,
72.01,5.6,82.0,0.0,1,1,1.0,1887.2,8.1,,,,
