t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb
0.0,8.3,100.0,0.0,0,0.0,7.8,4.2,0.0,770.0
1.0,10.6,41.8,8.0,0,240.9,701.0,4.6,,
2.0,9.5,70.4,5.9,2,9335.9,1015.6,4.8,,
3.01,11.5,79.4,5.9,14,149.5,2133.5,5.5,,
4.01,58.9,97.0,25.3,14,1398.6,12393.9,11.4,,
5.01,63.4,100.0,20.0,14,1479.3,15063.7,12.7,,
6.01,43.9,79.6,2.0,14,1032.0,16337.4,13.3,,
7.01,47.7,94.0,0.0,14,1132.2,19937.7,16.4,,
8.01,90.2,100.0,22.8,14,2161.6,20674.0,17.0,,
9.01,96.4,100.0,42.6,14,2284.4,20976.6,17.3,,
10.01,63.1,100.0,13.3,14,1459.0,22717.4,18.9,,
11.01,76.0,100.0,15.7,14,1795.9,22858.7,19.0,,
12.01,98.2,100.0,81.0,14,2348.8,23096.9,19.2,,
13.01,95.7,100.0,75.0,14,2289.1,23258.6,19.3,,
14.01,94.3,100.0,20.2,14,2260.9,23286.4,19.4,,
15.01,94.9,100.0,40.0,14,2270.5,23310.0,19.4,,
16.01,94.6,100.0,47.0,14,2263.7,23317.3,19.4,,
17.01,94.5,100.0,44.4,14,2256.8,23318.3,19.4,,
18.01,94.9,100.0,38.6,14,2273.2,23318.6,19.4,,
19.02,94.7,100.0,71.0,14,2265.1,23319.2,19.4,,
20.02,93.6,100.0,62.4,14,2242.3,23319.2,19.4,100.0,10588.2
21.02,94.7,100.0,25.5,14,2263.9,23319.4,19.4,,
22.02,91.3,100.0,13.0,14,2187.2,23320.5,19.4,,
23.02,93.3,100.0,50.5,14,2228.3,23320.9,19.4,,
24.02,94.8,100.0,12.1,14,2268.5,23321.6,19.4,,
25.02,97.0,100.0,75.0,14,2326.0,23322.2,19.4,,
26.02,94.1,100.0,34.3,14,2245.4,23322.6,19.4,,
27.02,94.4,100.0,65.7,14,2266.4,23323.3,19.4,,
28.02,93.7,100.0,37.4,14,2244.2,23323.7,19.4,,
29.02,93.9,100.0,9.9,14,2247.8,23324.3,19.4,,
30.02,91.4,100.0,7.1,14,2189.0,23324.4,19.4,,
31.02,94.1,100.0,55.0,14,2250.0,23324.4,19.4,,
