t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb
0.0,8.3,100.0,0.0,0,0.0,8.0,5.9,10.0,818.9
1.0,12.3,57.4,7.1,0,257.0,866.5,6.5,,
2.0,5.0,91.9,0.0,2,91.0,1041.4,6.6,,
3.0,11.0,34.3,8.0,2,231.0,1636.9,7.0,,
4.0,4.9,95.0,0.0,2,100.0,1964.3,7.2,,
5.0,13.2,60.0,8.0,3,13.0,2820.0,7.6,,
6.0,4.6,100.0,0.0,3,100.0,2953.9,7.8,,
7.0,4.8,95.9,0.0,3,100.0,3204.0,7.9,,
8.0,7.7,59.8,0.0,3,100.0,3559.6,8.1,,
9.0,6.6,94.9,0.0,3,120.0,3770.9,8.4,,
10.0,3.6,45.5,0.0,3,72.0,3777.9,8.4,,
11.0,3.6,60.6,0.0,3,38.0,1972.9,7.5,,
12.0,12.3,47.0,8.1,3,2.0,2817.5,7.6,,
13.0,5.1,87.1,0.0,3,100.0,2941.5,7.7,,
14.0,5.2,99.0,0.0,3,100.0,3218.2,7.9,,
15.0,4.7,100.0,0.0,3,101.0,3575.4,8.2,,
16.0,5.8,93.0,0.0,3,136.0,3794.6,8.4,,
17.0,4.9,44.6,0.0,3,97.0,3795.9,8.4,,
18.0,2.7,50.0,0.0,3,52.0,1972.9,7.4,,
19.0,13.4,72.3,8.0,3,2.0,2812.0,7.6,,
20.0,7.1,49.5,1.0,3,100.0,2930.1,7.7,1.0,861.8
21.0,5.6,91.0,0.0,3,100.0,3196.4,7.9,,
22.0,6.4,64.0,0.0,3,101.0,3558.9,8.2,,
23.0,5.0,100.0,0.0,3,108.0,3766.8,8.4,,
24.0,2.6,42.6,0.0,3,50.0,3767.3,8.4,,
25.0,3.0,40.8,0.0,3,25.0,1972.9,7.4,,
26.0,12.1,51.5,8.0,3,1.0,2819.8,7.7,,
27.0,4.5,100.0,0.0,3,101.0,2986.2,7.8,,
28.0,5.7,92.9,0.0,3,102.0,3204.9,7.9,,
29.0,5.5,98.0,0.0,3,100.0,3559.7,8.1,,
30.0,5.7,98.0,0.0,3,129.0,3778.4,8.3,,
31.0,3.3,45.0,0.0,3,71.0,3779.0,8.3,,
32.0,1.9,40.0,0.0,3,40.0,1972.9,7.4,,
33.0,11.3,52.0,8.0,3,2.0,2820.0,7.6,,
34.0,4.5,100.0,0.0,3,100.0,2986.2,7.7,,
35.0,4.8,99.0,0.0,3,100.0,3221.0,7.9,,
36.0,4.5,66.0,0.0,3,102.0,3576.2,8.2,,
37.0,6.7,57.0,0.0,3,153.0,3794.8,8.4,,
38.0,7.2,70.7,0.0,3,168.0,3796.9,8.4,,
39.01,1.6,25.5,0.0,3,31.0,3779.4,8.4,,
40.01,1.7,25.0,0.0,3,26.0,1972.9,7.2,4.0,833.2
41.01,11.7,62.4,8.0,3,0.0,2819.6,7.6,,
42.01,4.5,90.0,0.0,3,100.0,2950.6,7.7,,
43.01,4.7,63.3,0.0,3,102.0,3204.2,7.8,,
44.01,4.7,90.9,0.0,3,101.0,3559.7,8.2,,
45.01,5.1,62.6,0.0,3,112.0,3767.1,8.3,,
46.01,2.2,31.7,0.0,3,46.0,3676.2,8.3,,
47.01,1.0,19.2,0.0,3,20.0,1972.9,7.4,,
48.01,11.0,44.0,8.0,3,0.0,2820.3,7.6,,
49.01,4.6,100.0,0.0,3,99.0,2954.8,7.8,,
50.01,4.8,99.0,0.0,3,100.0,3205.2,7.9,,
51.01,4.8,95.0,0.0,3,100.0,3560.2,8.2,,
52.01,5.5,94.9,0.0,3,127.0,3773.5,8.3,,
53.01,3.8,50.5,0.0,3,61.0,3652.5,8.3,,
54.01,1.2,17.0,0.0,3,18.0,1972.9,7.4,,
55.01,11.1,51.5,8.0,3,0.0,2818.5,7.6,,
56.01,4.5,67.0,0.0,3,99.0,2948.8,7.8,,
57.01,4.6,99.0,0.0,3,100.0,3204.0,7.9,,
58.01,4.6,96.0,0.0,3,101.0,3559.7,8.1,,
59.01,5.9,56.0,0.0,3,129.0,3777.9,8.4,,
60.01,2.6,16.8,0.0,3,50.0,3778.2,8.4,4.0,1476.3
61.01,2.2,45.5,0.0,3,48.0,1972.9,7.4,,
62.01,11.7,56.0,8.0,3,0.0,2818.0,7.6,,
63.01,4.4,97.0,0.0,3,100.0,2946.6,7.8,,
64.01,4.9,97.0,0.0,3,99.0,3218.2,7.9,,
65.01,4.6,97.0,0.0,3,101.0,3575.9,8.2,,
66.01,6.7,100.0,0.0,3,148.0,3750.7,8.3,,
67.01,8.5,84.2,0.0,3,175.0,3796.8,8.4,,
68.01,2.4,18.2,0.0,3,49.0,3797.3,8.4,,
69.01,2.1,43.0,0.0,3,45.0,1972.9,7.4,,
70.01,10.8,47.0,8.0,3,0.0,2818.1,7.6,,
71.01,4.7,100.0,0.0,3,100.0,2950.4,7.8,,
72.01,4.7,99.0,0.0,3,99.0,3204.0,7.9,,
73.01,4.5,61.0,0.0,3,102.0,3560.2,8.2,,
74.01,5.7,100.0,0.0,3,130.0,3777.3,8.4,,
75.01,3.2,24.2,0.0,3,47.0,3777.3,8.4,,
76.01,2.2,44.6,0.0,3,44.0,1972.9,7.4,,
77.01,11.0,42.9,8.1,3,1.0,2812.4,7.6,,
78.01,4.6,90.9,0.0,3,100.0,2931.1,7.7,,
79.01,4.5,96.1,0.0,3,100.0,3199.1,7.9,,
80.01,4.5,100.0,0.0,3,101.0,3559.7,8.2,49.0,1390.4
81.01,5.8,100.0,0.0,3,128.0,3777.8,8.4,,
82.01,4.1,46.5,0.0,3,86.0,3778.6,8.4,,
83.01,2.6,48.5,0.0,3,51.0,1972.9,7.4,,
84.01,11.5,51.5,8.0,3,0.0,2807.4,7.6,,
85.01,4.5,93.1,0.0,3,101.0,2930.2,7.7,,
86.01,4.9,100.0,0.0,3,101.0,3196.4,7.8,,
87.01,4.5,100.0,0.0,3,100.0,3559.9,8.1,,
88.01,5.5,98.0,0.0,3,126.0,3777.8,8.3,,
89.01,4.1,47.0,0.0,3,83.0,3779.1,8.3,,
90.01,2.6,47.0,0.0,3,53.0,1972.9,7.5,,
91.01,0.5,3.0,0.0,2,1.0,1972.9,7.5,,
92.01,2.0,34.0,0.0,2,0.0,1036.0,7.0,,
93.01,12.2,65.0,8.0,2,262.0,1884.4,7.2,,
94.01,9.3,63.6,2.0,14,84.9,2332.3,7.5,,
95.01,29.9,79.2,24.2,14,689.4,3902.5,8.4,,
96.01,33.1,99.0,18.0,14,747.0,6493.8,9.9,,
97.01,48.9,84.0,27.3,14,1118.5,9432.9,11.6,,
98.01,57.3,98.0,26.7,14,1313.9,12718.5,13.5,,
99.01,57.4,100.0,9.0,14,1329.8,16687.8,16.1,,
100.01,60.1,100.0,1.0,14,1415.2,18558.6,17.6,100.0,5142.6
101.01,72.9,100.0,10.9,14,1736.5,20233.6,18.8,,
102.01,76.0,100.0,4.1,14,1809.3,21303.2,19.7,,
103.01,79.7,100.0,2.0,14,1906.1,22177.3,20.4,,
104.02,82.6,100.0,15.8,14,1969.0,22853.8,20.9,,
105.02,92.4,100.0,64.0,14,2208.9,23147.7,21.2,,
106.02,89.0,100.0,32.3,14,2122.8,23418.1,21.4,,
107.02,88.4,100.0,27.6,14,2108.8,23590.6,21.6,,
108.02,92.6,100.0,22.0,14,2198.2,23611.8,21.6,,
109.02,96.4,100.0,44.9,14,2303.5,23656.4,21.7,,
110.02,94.2,100.0,59.0,14,2249.6,23704.2,21.7,,
111.02,94.3,100.0,52.0,14,2252.1,23748.7,21.7,,
112.03,95.3,100.0,71.0,14,2265.8,23754.7,21.7,,
113.03,97.1,100.0,55.0,14,2320.1,23765.4,21.7,,
114.03,93.4,100.0,24.0,14,2233.1,23771.8,21.7,,
115.03,92.5,100.0,38.0,14,2207.9,23772.9,21.7,,
116.03,95.7,100.0,63.6,14,2291.2,23774.2,21.7,,
117.03,94.7,100.0,39.4,14,2260.4,23774.6,21.7,,
118.03,93.0,100.0,23.2,14,2224.5,23774.8,21.7,,
119.03,95.6,100.0,55.0,14,2285.8,23775.5,21.7,,
120.03,91.7,100.0,34.3,14,2184.9,23775.7,21.7,100.0,10722.0
121.03,95.8,100.0,69.7,14,2293.7,23776.1,21.7,,
122.03,96.7,100.0,67.7,14,2304.6,23776.3,21.7,,
123.03,96.5,100.0,57.0,14,2304.1,23776.8,21.7,,
124.03,96.1,100.0,69.7,14,2295.2,23777.4,21.7,,
125.04,96.9,100.0,46.5,14,2313.8,23777.6,21.7,,
126.04,96.8,100.0,62.6,14,2315.7,23777.6,21.7,,
127.04,96.1,100.0,77.8,14,2271.4,23778.0,21.7,,
128.04,93.9,100.0,44.4,14,2244.3,23778.1,21.7,,
129.04,97.7,100.0,87.0,14,2336.9,23778.7,21.6,,
130.04,95.3,100.0,73.3,14,2267.6,23778.7,21.6,,
131.04,93.7,100.0,31.7,14,2240.7,23779.1,21.6,,
132.04,92.2,100.0,40.4,14,2200.6,23779.5,21.6,,
133.04,96.3,100.0,43.0,14,2298.7,23779.6,21.6,,
134.04,94.5,100.0,28.0,14,2255.6,23779.6,21.6,,
135.05,96.0,100.0,59.0,14,2299.6,23780.0,21.6,,
136.05,95.2,100.0,67.0,14,2269.6,23780.0,21.6,,
137.05,94.0,100.0,37.6,14,2238.7,23780.0,21.6,,
138.05,94.5,100.0,41.0,14,2257.4,23780.0,21.6,,
139.05,94.5,100.0,53.1,14,2262.1,23780.4,21.6,,
140.05,91.5,100.0,35.4,14,2185.3,23780.6,21.6,100.0,10680.8
141.05,95.5,100.0,58.6,14,2283.8,23780.6,21.6,,
142.05,94.4,100.0,51.5,14,2250.6,23780.8,21.6,,
143.05,95.5,100.0,67.0,14,2278.6,23781.1,21.6,,
144.06,94.8,100.0,58.4,14,2265.3,23781.1,21.6,,
145.06,95.3,100.0,42.4,14,2270.3,23781.1,21.6,,
146.06,89.9,100.0,16.8,14,2142.8,23781.1,21.6,,
147.06,95.5,100.0,41.4,14,2280.6,23781.5,21.6,,
148.06,96.2,100.0,56.6,14,2296.6,23781.7,21.6,,
149.06,94.8,100.0,59.6,14,2268.8,23781.9,21.6,,
150.06,95.4,100.0,38.4,14,2281.5,23782.1,21.6,,
151.06,96.0,100.0,40.0,14,2290.7,23782.3,21.6,,
152.06,92.2,100.0,47.5,14,2193.1,23782.3,21.6,,
153.06,93.2,100.0,42.0,14,2226.0,23782.3,21.6,,
154.06,93.4,100.0,55.6,14,2223.2,23782.5,21.6,,
155.07,90.0,100.0,33.0,14,2139.7,23782.6,21.6,,
156.07,96.4,100.0,32.3,14,2304.8,23782.6,21.6,,
157.07,97.2,100.0,67.3,14,2322.2,23782.8,21.6,,
158.07,95.8,100.0,72.0,14,2286.3,23783.0,21.6,,
159.07,94.2,100.0,31.4,14,2249.7,23783.0,21.5,,
160.07,95.9,100.0,34.3,14,2286.9,23783.2,21.6,100.0,10680.8
161.07,95.0,100.0,64.6,14,2271.0,23783.4,21.6,,
162.07,96.3,100.0,69.0,14,2292.6,23783.4,21.6,,
163.07,97.7,100.0,78.0,14,2331.5,23783.4,21.6,,
164.07,94.4,100.0,48.5,14,2257.3,23783.4,21.6,,
165.07,93.4,100.0,18.0,14,2234.1,23783.4,21.6,,
166.07,96.8,100.0,81.2,14,2313.1,23783.4,21.6,,
167.07,95.8,100.0,71.0,14,2288.0,23783.4,21.5,,
168.07,93.4,100.0,51.5,14,2191.0,23783.4,21.5,,
169.07,95.0,100.0,23.8,14,2261.4,23783.4,21.5,,
170.07,94.3,100.0,51.5,14,2249.0,23783.4,21.6,,
171.07,95.7,100.0,49.5,14,2286.0,23783.6,21.6,,
172.08,95.1,100.0,60.4,14,2272.2,23783.6,21.6,,
173.08,92.1,100.0,32.3,14,2200.2,23783.8,21.6,,
174.08,96.6,100.0,61.0,14,2307.4,23783.8,21.6,,
175.08,97.1,100.0,80.8,14,2319.6,23784.0,21.6,,
176.08,95.4,100.0,50.5,14,2280.1,23784.0,21.6,,
177.08,95.5,100.0,70.7,14,2277.0,23784.0,21.6,,
178.08,94.7,100.0,66.3,14,2264.8,23784.0,21.6,,
179.08,97.0,100.0,73.7,14,2316.9,23784.0,21.6,,
180.08,95.9,100.0,49.0,14,2291.4,23784.0,21.6,100.0,10680.8
181.08,92.3,100.0,49.5,14,2207.0,23784.0,21.6,,
182.08,93.8,100.0,69.7,14,2240.4,23784.0,21.5,,
183.08,94.7,100.0,67.7,14,2260.2,23784.0,21.5,,
184.08,95.6,100.0,50.5,14,2287.8,23784.0,21.5,,
185.08,94.2,100.0,62.4,14,2249.1,23784.0,21.5,,
186.08,95.4,100.0,47.0,14,2278.4,23784.0,21.5,,
187.08,97.2,100.0,85.9,14,2316.8,23784.0,21.5,,
188.08,94.1,100.0,72.3,14,2248.8,23784.1,21.5,,
189.08,95.8,100.0,73.0,14,2288.1,23784.1,21.5,,
