t_rel,sys_cpu_pct,percore_max_pct,percore_min_pct,n_workers,n_helper_procs,tree_cpu_pct,tree_rss_mb,host_mem_used_pct,gpu_util_pct,gpu_mem_mb,gpu_mem_busy_pct,gpu_power_w
0.0,12.5,100.0,0.0,0,0,0.0,7.7,6.9,5.0,936.3,4.0,13.0
1.0,14.5,63.4,8.1,0,0,284.9,920.4,7.5,,,,
2.0,13.7,56.6,8.0,0,2,12.0,1847.9,8.0,,,,
3.0,13.5,61.0,8.0,0,3,24.0,2766.6,8.6,,,,
4.0,4.0,44.4,0.0,1,2,79.0,3017.4,8.7,,,,
5.0,3.1,70.7,0.0,1,2,70.0,3374.5,9.0,,,,
6.0,4.5,56.0,0.0,1,2,98.9,3672.4,9.2,,,,
7.0,5.4,55.0,0.0,1,2,119.1,3520.0,9.2,,,,
8.0,11.9,42.4,8.0,0,3,0.0,2768.6,8.6,,,,
9.0,4.9,100.0,0.0,1,2,100.0,3113.8,8.8,,,,
10.0,4.9,100.0,0.0,1,2,109.0,3615.5,9.2,,,,
11.0,7.0,79.8,0.0,1,2,155.0,3661.7,9.3,,,,
12.0,1.9,38.4,0.0,1,2,38.0,1885.6,8.1,,,,
13.0,12.0,63.4,8.0,0,3,0.0,2768.9,8.6,,,,
14.0,5.2,99.0,0.0,1,2,100.0,3098.4,8.8,,,,
15.0,4.5,97.0,0.0,1,2,101.0,3592.3,9.2,,,,
16.0,4.5,61.0,0.0,1,2,102.0,3479.2,9.2,,,,
17.0,12.0,47.5,8.1,0,3,0.0,2767.6,8.6,,,,
18.0,4.8,96.9,0.0,1,2,100.0,3096.5,8.8,,,,
19.0,4.8,62.0,0.0,1,2,103.0,3590.3,9.2,,,,
20.0,5.4,74.0,0.0,1,2,119.0,3618.4,9.2,57.0,1448.4,1.0,53.0
21.0,12.6,82.2,8.0,0,3,0.0,2767.2,8.6,,,,
22.0,4.8,77.0,0.0,1,2,100.0,3111.0,8.8,,,,
23.0,4.9,99.0,0.0,1,2,106.0,3613.8,9.2,,,,
24.0,7.8,92.9,0.0,1,2,169.0,3660.7,9.2,,,,
25.0,2.8,46.0,0.0,1,2,59.0,1885.6,8.2,,,,
26.0,11.8,37.4,7.0,0,3,0.0,2767.1,8.6,,,,
27.0,5.2,98.0,0.0,1,2,100.0,3094.8,8.7,,,,
28.0,4.6,62.0,0.0,1,2,100.0,3586.0,9.1,,,,
29.0,4.6,56.4,0.0,1,2,103.0,3477.5,9.1,,,,
30.0,12.1,42.4,8.0,0,3,0.0,2767.1,8.5,,,,
31.0,4.8,92.1,0.0,1,2,99.8,3095.5,8.7,,,,
32.0,4.5,82.8,0.0,1,2,101.1,3587.8,9.1,,,,
33.0,4.5,71.0,0.0,1,2,103.0,3504.4,9.2,,,,
34.0,12.4,67.0,8.0,0,3,0.0,2766.5,8.5,,,,
35.0,4.9,77.8,0.0,1,2,100.0,3092.0,8.7,,,,
36.0,4.6,78.0,0.0,1,2,102.0,3590.4,9.1,,,,
37.0,4.9,69.7,0.0,1,2,102.0,3618.4,9.1,,,,
38.0,12.7,47.5,8.0,0,3,0.0,2767.7,8.5,,,,
39.01,4.9,98.0,0.0,1,2,100.0,3112.1,8.7,,,,
40.01,4.9,64.0,0.0,1,2,110.0,3615.7,9.1,67.0,2562.0,2.0,71.0
41.01,7.2,85.0,0.0,1,2,165.0,3662.2,9.2,,,,
42.01,4.2,60.6,0.0,1,2,92.0,1885.6,7.9,,,,
43.01,11.7,67.0,8.0,0,3,0.0,2767.0,8.5,,,,
44.01,5.0,97.1,0.0,1,2,100.0,3095.7,8.6,,,,
45.01,4.5,85.0,0.0,1,2,102.0,3590.2,9.0,,,,
46.01,4.5,54.0,0.0,1,2,103.0,3573.3,9.1,,,,
47.01,13.4,56.0,8.0,0,3,0.0,2766.8,8.5,,,,
48.01,4.8,100.0,0.0,1,2,100.0,3095.6,8.6,,,,
49.01,4.8,100.0,0.0,1,2,104.0,3593.7,9.1,,,,
50.01,6.2,89.0,0.0,1,2,141.0,3642.0,9.1,,,,
51.01,12.9,66.0,8.0,0,3,0.0,2766.2,8.4,,,,
52.01,4.7,67.0,0.0,1,2,102.0,3091.4,8.6,,,,
53.01,4.6,81.0,0.0,1,2,102.0,3590.4,9.0,,,,
54.01,5.9,48.0,0.0,1,2,133.0,3636.6,9.1,,,,
55.01,12.7,57.6,8.0,0,3,0.0,2765.8,8.5,,,,
56.01,4.7,73.3,0.0,1,2,99.0,3105.8,8.6,,,,
57.01,4.9,100.0,0.0,1,2,107.0,3615.3,9.1,,,,
58.01,7.2,96.0,0.0,1,2,162.0,3662.0,9.1,,,,
59.01,5.2,78.0,0.0,1,2,106.0,1885.8,8.1,,,,
60.01,11.8,36.0,8.1,0,3,0.0,2764.8,8.6,4.0,903.3,2.0,20.0
61.01,4.7,99.0,0.0,1,2,99.0,3105.7,8.8,,,,
62.01,4.6,62.4,0.0,1,2,104.0,3612.1,9.1,,,,
63.01,7.0,86.9,0.0,1,2,159.9,3664.3,9.1,,,,
64.01,3.9,58.0,0.0,1,2,86.0,1885.8,8.1,,,,
65.01,11.6,49.0,8.0,0,3,0.0,2766.2,8.6,,,,
66.01,4.7,99.0,0.0,1,2,99.0,3091.9,8.7,,,,
67.01,5.0,81.0,0.0,1,2,101.0,3590.5,9.1,,,,
68.01,5.4,44.6,0.0,1,2,123.0,3636.0,9.2,,,,
69.01,12.7,65.0,8.0,0,3,0.0,2764.5,8.5,,,,
70.01,4.7,100.0,0.0,1,2,100.0,3090.2,8.6,,,,
71.01,4.4,93.1,0.0,1,2,101.0,3586.9,9.0,,,,
72.01,4.5,59.4,0.0,1,2,102.0,3477.1,9.1,,,,
73.01,12.0,66.7,6.0,0,3,0.0,2764.3,8.6,,,,
74.01,5.1,60.6,0.0,1,2,100.0,3104.4,8.8,,,,
75.01,5.1,99.0,0.0,1,2,109.0,3615.4,9.2,,,,
76.01,6.8,92.0,0.0,1,2,162.0,3661.9,9.3,,,,
77.01,4.2,64.0,0.0,1,2,91.0,1885.8,8.3,,,,
78.01,11.8,59.0,8.0,0,3,0.0,2764.3,8.6,,,,
79.01,4.9,63.0,0.0,1,2,100.0,3104.6,8.7,,,,
80.01,4.7,83.2,0.0,1,2,106.0,3615.2,9.1,65.0,2199.7,1.0,59.0
81.01,7.3,67.0,0.0,1,2,166.0,3662.5,9.1,,,,
82.01,2.7,43.0,0.0,1,2,57.0,1885.8,7.9,,,,
83.01,11.4,43.4,4.1,0,3,0.0,2762.2,8.4,,,,
84.01,4.8,82.8,0.0,1,2,100.0,3087.4,8.6,,,,
