model,author,date,solution_type,arc_agi_1,arc_agi_2,arc_agi_3,cost_per_task,total_cost
Claude Opus 4.8 (Low),Anthropic,2026-06-01,CoT,88.0,62.0,,1.68,
Claude Opus 4.8 (Medium),Anthropic,2026-06-01,CoT,91.0,71.0,,2.39,
Claude Opus 4.8 (High),Anthropic,2026-06-01,CoT,92.0,72.0,1.0,2.74,$10.0K
Claude Opus 4.8 (Max),Anthropic,2026-06-01,CoT,92.0,,,2.33,
Gemini 3.5 Flash (Minimal),Google,2026-05-19,CoT,48.0,8.0,,0.107,
Gemini 3.5 Flash (High),Google,2026-05-19,CoT,92.0,72.0,,0.85,
GPT-5.5 Pro (High),OpenAI,2026-04-23,CoT,96.0,84.0,,10.51,
GPT-5.5 Pro (xHigh),OpenAI,2026-04-23,CoT,95.0,84.0,,10.76,
GPT-5.5 (High),OpenAI,2026-04-23,CoT,,,0.0,,$10.0K
GPT-5.5 (Low),OpenAI,2026-04-22,CoT,76.0,33.0,,0.35,
GPT-5.5 (Medium),OpenAI,2026-04-22,CoT,92.0,70.0,,0.86,
GPT-5.5 (High),OpenAI,2026-04-22,CoT,94.0,83.0,,1.45,
GPT-5.5 (xHigh),OpenAI,2026-04-22,CoT,95.0,85.0,,1.87,
Claude 4.7 (Low),Anthropic,2026-04-16,CoT,91.0,62.0,,2.38,
Claude 4.7 (Medium),Anthropic,2026-04-16,CoT,91.0,67.0,,2.96,
Claude 4.7 (High),Anthropic,2026-04-16,CoT,93.0,68.0,,3.17,
Claude 4.7 (Max),Anthropic,2026-04-16,CoT,92.0,75.0,,7.43,
Opus 4.7 (High),Anthropic,2026-04-16,CoT,,,0.0,,$10.0K
GPT-5.4 Mini (xHigh),OpenAI,2026-03-17,CoT,63.0,18.0,,0.75,
GPT-5.4 Mini (High),OpenAI,2026-03-17,CoT,58.0,13.0,,0.56,
GPT-5.4 Mini (Medium),OpenAI,2026-03-17,CoT,40.0,4.0,,0.33,
GPT-5.4 Mini (Low),OpenAI,2026-03-17,CoT,13.0,1.0,,0.06,
GPT-5.4 Nano (xHigh),OpenAI,2026-03-17,CoT,51.0,5.0,,0.16,
GPT-5.4 Nano (High),OpenAI,2026-03-17,CoT,38.0,3.0,,0.13,
GPT-5.4 Nano (Medium),OpenAI,2026-03-17,CoT,33.0,1.0,,0.06,
GPT-5.4 Nano (Low),OpenAI,2026-03-17,CoT,18.0,1.0,,0.01,
Grok 4.20 (Reasoning),xAI,2026-03-09,CoT,89.0,65.0,,0.92,
Grok 4.20 (Beta Reasoning),xAI,2026-03-05,CoT,,,0.0,,$3.8K
GPT-5.4 (High),OpenAI,2026-03-05,CoT,,,0.0,,$5.2K
Gemini 3.1 Pro (Preview),Google,2026-03-05,CoT,,,0.0,,$2.2K
GPT-5.4 (Low),OpenAI,2026-03-04,CoT,68.0,29.0,,0.27,
GPT-5.4 (Medium),OpenAI,2026-03-04,CoT,86.0,55.0,,0.68,
GPT-5.4 (High),OpenAI,2026-03-04,CoT,92.0,67.0,,1.02,
GPT-5.4 (xHigh),OpenAI,2026-03-04,CoT,93.0,74.0,,1.52,
GPT-5.4 Pro (xHigh),OpenAI,2026-03-04,CoT,94.0,83.0,,16.41,
GLM-5,Z.ai,2026-02-20,CoT,44.0,4.0,,0.27,
Gemini 3.1 Pro (Preview),Google,2026-02-19,CoT,98.0,77.0,,0.962,
Claude Sonnet 4.6 (Max),Anthropic,2026-02-17,CoT,86.0,58.0,,2.72,
Claude Sonnet 4.6 (High),Anthropic,2026-02-17,CoT,86.0,60.0,,2.7,
Gemini 3 Deep Think (Preview),Google,2026-02-12,CoT,87.0,45.0,,77.16,
Gemini 3 Deep Think (2/26),Google,2026-02-12,CoT,96.0,84.0,,13.62,
Minimax M2.5,Minimax,2026-02-12,CoT,63.0,4.0,,0.17,
"Claude Opus 4.6 (120K, Low)",Anthropic,2026-02-05,CoT,86.0,64.0,,2.25,
"Claude Opus 4.6 (120K, Medium)",Anthropic,2026-02-05,CoT,92.0,66.0,,2.72,
"Claude Opus 4.6 (120K, High)",Anthropic,2026-02-05,CoT,94.0,69.0,,3.47,
"Claude Opus 4.6 (120K, Max)",Anthropic,2026-02-05,CoT,93.0,68.0,,3.64,
GPT-5.2 (Refine.),Johan Land,2026-02-03,Refinement,94.0,72.0,,38.99,
Kimi K2.5,Moonshot AI,2026-01-27,CoT,65.0,11.0,,0.28,
Gemini 3 Flash Preview (Minimal),Google,2025-12-17,CoT,21.0,3.0,,0.021,
Gemini 3 Flash Preview (Low),Google,2025-12-17,CoT,29.0,1.0,,0.025,
Gemini 3 Flash Preview (Medium),Google,2025-12-17,CoT,57.0,12.0,,0.082,
Gemini 3 Flash Preview (High),Google,2025-12-17,CoT,84.0,33.0,,0.231,
Anthropic Opus 4.6 (Max),Anthropic,2025-12-17,CoT,,,0.0,,$8.9K
GPT-5.2,OpenAI,2025-12-11,Base LLM,12.0,0.0,,0.082,
GPT-5.2 (Low),OpenAI,2025-12-11,CoT,55.0,9.0,,0.264,
GPT-5.2 (Medium),OpenAI,2025-12-11,CoT,72.0,26.0,,0.759,
GPT-5.2 (High),OpenAI,2025-12-11,CoT,78.0,43.0,,1.39,
GPT-5.2 (xHigh),OpenAI,2025-12-11,CoT,86.0,52.0,,1.9,
GPT-5.2 Pro (Medium),OpenAI,2025-12-11,CoT,81.0,38.0,,8.99,
GPT-5.2 Pro (High),OpenAI,2025-12-11,CoT,85.0,54.0,,15.72,
GPT-5.2 Pro (xHigh),OpenAI,2025-12-11,CoT,90.0,,,11.65,
Gemini 3 Pro (Refine.),Poetiq,2025-12-04,Refinement,,54.0,,30.57,
Deepseek V3.2,Deepseek,2025-12-01,Base LLM,57.0,4.0,,0.12,
"Opus 4.5 (Thinking, None)",Anthropic,2025-11-24,CoT,40.0,7.0,,0.22,
"Opus 4.5 (Thinking, 1K)",Anthropic,2025-11-24,CoT,35.0,9.0,,0.23,
"Opus 4.5 (Thinking, 8K)",Anthropic,2025-11-24,CoT,58.0,13.0,,0.48,
"Opus 4.5 (Thinking, 16K)",Anthropic,2025-11-24,CoT,72.0,22.0,,0.79,
"Opus 4.5 (Thinking, 32K)",Anthropic,2025-11-24,CoT,75.0,30.0,,1.29,
"Opus 4.5 (Thinking, 64K)",Anthropic,2025-11-24,CoT,80.0,37.0,,2.4,
Gemini 3 Pro,Google,2025-11-18,CoT,75.0,31.0,,0.811,
"GPT-5.1 (Thinking, None)",OpenAI,2025-11-13,CoT,5.0,0.0,,0.058,
"GPT-5.1 (Thinking, Low)",OpenAI,2025-11-13,CoT,33.0,1.0,,0.129,
"GPT-5.1 (Thinking, Medium)",OpenAI,2025-11-13,CoT,57.0,6.0,,0.421,
"GPT-5.1 (Thinking, High)",OpenAI,2025-11-13,CoT,72.0,17.0,,1.17,
Grok 4 (Fast Reasoning),xAI,2025-10-21,CoT,48.0,5.0,,0.061,
Tiny Recursion Model (TRM),Bespoke,2025-10-07,N/A,40.0,6.0,,2.1,
GPT-5 Pro,OpenAI,2025-10-06,CoT,70.0,18.0,,7.14,
Claude Haiku 4.5,Anthropic,2025-10-01,Base LLM,14.0,1.0,,0.043,
Claude Haiku 4.5 (Thinking 1K),Anthropic,2025-10-01,CoT,16.0,1.0,,0.047,
Claude Haiku 4.5 (Thinking 8K),Anthropic,2025-10-01,CoT,25.0,1.0,,0.091,
Claude Haiku 4.5 (Thinking 16K),Anthropic,2025-10-01,CoT,37.0,2.0,,0.139,
Claude Haiku 4.5 (Thinking 32K),Anthropic,2025-10-01,CoT,47.0,4.0,,0.377,
Claude Sonnet 4.5,Anthropic,2025-09-29,Base LLM,25.0,3.0,,0.13,
Claude Sonnet 4.5 (Thinking 1K),Anthropic,2025-09-29,CoT,31.0,5.0,,0.142,
Claude Sonnet 4.5 (Thinking 8K),Anthropic,2025-09-29,CoT,46.0,6.0,,0.235,
Claude Sonnet 4.5 (Thinking 16K),Anthropic,2025-09-29,CoT,48.0,6.0,,0.35,
Claude Sonnet 4.5 (Thinking 32K),Anthropic,2025-09-29,CoT,63.0,13.0,,0.759,
GPT-5 (High),OpenAI,2025-08-07,CoT,65.0,9.0,,0.73,
GPT-5 (Medium),OpenAI,2025-08-07,CoT,56.0,7.0,,0.449,
GPT-5 (Low),OpenAI,2025-08-07,CoT,44.0,1.0,,0.19,
GPT-5 (Minimal),OpenAI,2025-08-07,Base LLM,6.0,0.0,,0.056,
GPT-5 Mini (High),OpenAI,2025-08-07,CoT,54.0,4.0,,0.198,
GPT-5 Mini (Medium),OpenAI,2025-08-07,CoT,37.0,4.0,,0.063,
GPT-5 Mini (Low),OpenAI,2025-08-07,CoT,26.0,0.0,,0.019,
